Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	26295.46	0.00	-38721.25
0.10	23713.80	0.00	-39211.62
0.20	20980.08	0.00	-39547.24
0.30	18101.89	0.00	-39726.79
0.40	15088.88	0.00	-39749.55
0.50	11952.71	0.00	-39615.44
0.60	8707.05	0.00	-39324.99
0.70	5367.49	0.00	-38879.33
0.80	1951.41	0.00	-38280.24
0.90	-1522.11	0.00	-37530.08
1.00	-5032.48	0.00	-36631.80
1.10	-8557.79	0.00	-35588.95
1.20	-12075.01	0.00	-34405.64
1.30	-15560.25	0.00	-33086.56
1.40	-18988.98	0.00	-31636.90
1.50	-22336.31	0.00	-30062.38
1.60	-25577.29	0.00	-28369.21
1.70	-28687.16	0.00	-26564.09
1.80	-31641.64	0.00	-24654.13
1.90	-34417.25	0.00	-22646.87
2.00	-36991.55	0.00	-20550.24
2.10	-39343.41	0.00	-18372.50
2.20	-41453.30	0.00	-16122.26
2.30	-43303.52	0.00	-13808.39
2.40	-44878.36	0.00	-11440.02
2.50	-46164.40	0.00	-9026.50
2.60	-47150.57	0.00	-6577.36
2.70	-47828.37	0.00	-4102.27
2.80	-48191.91	0.00	-1610.98
2.90	-48254.13	0.00	886.67
3.00	-48200.25	0.00	3380.81
3.10	-48082.29	0.00	5861.61
3.20	-47897.95	0.00	8319.28
3.30	-47643.73	0.00	10744.12
3.40	-47315.05	0.00	13126.56
3.50	-46906.32	0.00	15457.19
3.60	-46411.10	0.00	17726.82
3.70	-45822.24	0.00	19926.48
3.80	-45132.03	0.00	22047.51
3.90	-44332.43	0.00	24081.53
4.00	-43415.25	0.00	26020.51
4.10	-42372.36	0.00	27856.79
4.20	-41195.90	0.00	29583.14
4.30	-39878.51	0.00	31192.74
4.40	-38413.57	0.00	32679.23
4.50	-36795.38	0.00	34036.76
4.60	-35019.35	0.00	35259.95
4.70	-33082.25	0.00	36344.00
4.80	-30982.33	0.00	37284.60
4.90	-28719.50	0.00	38078.07
5.00	-26295.46	0.00	38721.25
5.10	-23713.80	0.00	39211.62
5.20	-20980.08	0.00	39547.24
5.30	-18101.89	0.00	39726.79
5.40	-15088.88	0.00	39749.55
5.50	-11952.71	0.00	39615.44
5.60	-8707.05	0.00	39324.99
5.70	-5367.49	0.00	38879.33
5.80	-1951.41	0.00	38280.24
5.90	1522.11	0.00	37530.08
6.00	5032.48	0.00	36631.80
6.10	8557.79	0.00	35588.95
6.20	12075.01	0.00	34405.64
6.30	15560.25	0.00	33086.56
6.40	18988.98	0.00	31636.90
