Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	7806.32	0.00	-5018.94
0.10	6978.10	0.00	-5093.23
0.20	6108.05	0.00	-5147.42
0.30	5198.62	0.00	-5181.30
0.40	4252.77	0.00	-5194.73
0.50	3273.98	0.00	-5187.66
0.60	2266.25	0.00	-5160.12
0.70	1234.06	0.00	-5112.21
0.80	182.37	0.00	-5044.12
0.90	-883.42	0.00	-4956.13
1.00	-1957.53	0.00	-4848.58
1.10	-3033.82	0.00	-4721.90
1.20	-4105.86	0.00	-4576.58
1.30	-5166.99	0.00	-4413.19
1.40	-6210.40	0.00	-4232.39
1.50	-7229.14	0.00	-4034.89
1.60	-8216.26	0.00	-3821.46
1.70	-9164.86	0.00	-3592.96
1.80	-10068.14	0.00	-3350.27
1.90	-10919.50	0.00	-3094.36
2.00	-11712.64	0.00	-2826.23
2.10	-12441.55	0.00	-2546.96
2.20	-13100.67	0.00	-2257.63
2.30	-13684.90	0.00	-1959.39
2.40	-14189.67	0.00	-1653.42
2.50	-14611.00	0.00	-1340.93
2.60	-14945.54	0.00	-1023.14
2.70	-15190.63	0.00	-701.32
2.80	-15344.31	0.00	-376.72
2.90	-15405.32	0.00	-50.64
3.00	-15396.29	0.00	275.64
3.10	-15357.94	0.00	600.83
3.20	-15290.68	0.00	923.65
3.30	-15193.89	0.00	1242.83
3.40	-15066.72	0.00	1557.10
3.50	-14908.08	0.00	1865.22
3.60	-14716.70	0.00	2165.99
3.70	-14491.17	0.00	2458.20
3.80	-14229.93	0.00	2740.72
3.90	-13931.39	0.00	3012.42
4.00	-13593.90	0.00	3272.23
4.10	-13215.87	0.00	3519.12
4.20	-12795.78	0.00	3752.13
4.30	-12332.23	0.00	3970.33
4.40	-11824.03	0.00	4172.86
4.50	-11270.21	0.00	4358.92
4.60	-10670.12	0.00	4527.78
4.70	-10023.42	0.00	4678.77
4.80	-9330.16	0.00	4811.30
4.90	-8590.82	0.00	4924.83
5.00	-7806.32	0.00	5018.94
5.10	-6978.10	0.00	5093.23
5.20	-6108.05	0.00	5147.42
5.30	-5198.62	0.00	5181.30
5.40	-4252.77	0.00	5194.73
5.50	-3273.98	0.00	5187.66
5.60	-2266.25	0.00	5160.12
5.70	-1234.06	0.00	5112.21
5.80	-182.37	0.00	5044.12
5.90	883.42	0.00	4956.13
6.00	1957.53	0.00	4848.58
6.10	3033.82	0.00	4721.90
6.20	4105.86	0.00	4576.58
6.30	5166.99	0.00	4413.19
6.40	6210.40	0.00	4232.39
6.50	7229.14	0.00	4034.89
6.60	8216.26	0.00	3821.46
6.70	9164.86	0.00	3592.96
6.80	10068.14	0.00	3350.27
6.90	10919.50	0.00	3094.36
7.00	11712.64	0.00	2826.23
7.10	12441.55	0.00	2546.96
7.20	13100.67	0.00	2257.63
7.30	13684.90	0.00	1959.39
7.40	14189.67	0.00	1653.42
7.50	14611.00	0.00	1340.93
7.60	14945.54	0.00	1023.14
7.70	15190.63	0.00	701.32
7.80	15344.31	0.00	376.72
7.90	15405.32	0.00	50.64
8.00	15396.29	0.00	-275.64
8.10	15357.94	0.00	-600.83
8.20	15290.68	0.00	-923.65
8.30	15193.89	0.00	-1242.83
8.40	15066.72	0.00	-1557.10
8.50	14908.08	0.00	-1865.22
8.60	14716.70	0.00	-2165.99
8.70	14491.17	0.00	-2458.20
8.80	14229.93	0.00	-2740.72
8.90	13931.39	0.00	-3012.42
9.00	13593.90	0.00	-3272.23
9.10	13215.87	0.00	-3519.12
9.20	12795.78	0.00	-3752.13
9.30	12332.23	0.00	-3970.33
9.40	11824.03	0.00	-4172.86
9.50	11270.21	0.00	-4358.92
9.60	10670.12	0.00	-4527.78
9.70	10023.42	0.00	-4678.77
9.80	9330.16	0.00	-4811.30
9.90	8590.82	0.00	-4924.83
10.00	7806.32	0.00	-5018.94
10.10	6978.10	0.00	-5093.23
10.20	6108.05	0.00	-5147.42
10.30	5198.62	0.00	-5181.30
10.40	4252.77	0.00	-5194.73
10.50	3273.98	0.00	-5187.66
10.60	2266.25	0.00	-5160.12
10.70	1234.06	0.00	-5112.21
10.80	182.37	0.00	-5044.12
10.90	-883.42	0.00	-4956.13
11.00	-1957.53	0.00	-4848.58
11.10	-3033.82	0.00	-4721.90
11.20	-4105.86	0.00	-4576.58
11.30	-5166.99	0.00	-4413.19
11.40	-6210.40	0.00	-4232.39
11.50	-7229.14	0.00	-4034.89
11.60	-8216.26	0.00	-3821.46
11.70	-9164.86	0.00	-3592.96
11.80	-10068.14	0.00	-3350.27
11.90	-10919.50	0.00	-3094.36
12.00	-11712.64	0.00	-2826.23
