Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	18490.94	0.00	-8597.89
0.10	17124.78	0.00	-8868.55
0.20	15679.67	0.00	-9104.21
0.30	14158.19	0.00	-9303.93
0.40	12563.63	0.00	-9466.94
0.50	10900.02	0.00	-9592.59
0.60	9172.15	0.00	-9680.38
0.70	7385.59	0.00	-9729.97
0.80	5546.68	0.00	-9741.16
0.90	3662.51	0.00	-9713.90
1.00	1740.91	0.00	-9648.31
1.10	-209.59	0.00	-9544.63
1.20	-2179.82	0.00	-9403.30
1.30	-4160.03	0.00	-9224.85
1.40	-6139.96	0.00	-9009.99
1.50	-8108.87	0.00	-8759.58
1.60	-10055.72	0.00	-8474.59
1.70	-11969.19	0.00	-8156.16
1.80	-13837.81	0.00	-7805.54
1.90	-15650.08	0.00	-7424.12
2.00	-17394.53	0.00	-7013.40
2.10	-19059.91	0.00	-6575.00
2.20	-20635.23	0.00	-6110.65
2.30	-22109.92	0.00	-5622.18
2.40	-23473.93	0.00	-5111.53
2.50	-24717.82	0.00	-4580.70
2.60	-25832.87	0.00	-4031.79
2.70	-26811.19	0.00	-3466.98
2.80	-27645.79	0.00	-2888.48
2.90	-28330.65	0.00	-2298.58
3.00	-28860.82	0.00	-1699.61
3.10	-29232.41	0.00	-1093.93
3.20	-29442.72	0.00	-483.94
3.30	-29492.26	0.00	127.97
3.40	-29442.90	0.00	739.37
3.50	-29323.74	0.00	1347.85
3.60	-29134.31	0.00	1951.01
3.70	-28873.89	0.00	2546.47
3.80	-28541.52	0.00	3131.89
3.90	-28136.05	0.00	3704.94
4.00	-27656.20	0.00	4263.37
4.10	-27100.56	0.00	4804.98
4.20	-26467.69	0.00	5327.62
4.30	-25756.18	0.00	5829.24
4.40	-24964.70	0.00	6307.85
4.50	-24092.07	0.00	6761.57
4.60	-23137.36	0.00	7188.60
4.70	-22099.92	0.00	7587.26
4.80	-20979.50	0.00	7955.98
4.90	-19776.27	0.00	8293.30
5.00	-18490.94	0.00	8597.89
5.10	-17124.78	0.00	8868.55
5.20	-15679.67	0.00	9104.21
5.30	-14158.19	0.00	9303.93
5.40	-12563.63	0.00	9466.94
5.50	-10900.02	0.00	9592.59
5.60	-9172.15	0.00	9680.38
5.70	-7385.59	0.00	9729.97
5.80	-5546.68	0.00	9741.16
5.90	-3662.51	0.00	9713.90
6.00	-1740.91	0.00	9648.31
6.10	209.59	0.00	9544.63
6.20	2179.82	0.00	9403.30
6.30	4160.03	0.00	9224.85
6.40	6139.96	0.00	9009.99
6.50	8108.87	0.00	8759.58
6.60	10055.72	0.00	8474.59
6.70	11969.19	0.00	8156.16
6.80	13837.81	0.00	7805.54
6.90	15650.08	0.00	7424.12
7.00	17394.53	0.00	7013.40
7.10	19059.91	0.00	6575.00
7.20	20635.23	0.00	6110.65
7.30	22109.92	0.00	5622.18
7.40	23473.93	0.00	5111.53
7.50	24717.82	0.00	4580.70
7.60	25832.87	0.00	4031.79
7.70	26811.19	0.00	3466.98
7.80	27645.79	0.00	2888.48
7.90	28330.65	0.00	2298.58
8.00	28860.82	0.00	1699.61
8.10	29232.41	0.00	1093.93
8.20	29442.72	0.00	483.94
8.30	29492.26	0.00	-127.97
8.40	29442.90	0.00	-739.37
8.50	29323.74	0.00	-1347.85
8.60	29134.31	0.00	-1951.01
8.70	28873.89	0.00	-2546.47
8.80	28541.52	0.00	-3131.89
8.90	28136.05	0.00	-3704.94
9.00	27656.20	0.00	-4263.37
9.10	27100.56	0.00	-4804.98
9.20	26467.69	0.00	-5327.62
9.30	25756.18	0.00	-5829.24
9.40	24964.70	0.00	-6307.85
9.50	24092.07	0.00	-6761.57
9.60	23137.36	0.00	-7188.60
9.70	22099.92	0.00	-7587.26
9.80	20979.50	0.00	-7955.98
9.90	19776.27	0.00	-8293.30
10.00	18490.94	0.00	-8597.89
10.10	17124.78	0.00	-8868.55
10.20	15679.67	0.00	-9104.21
10.30	14158.19	0.00	-9303.93
10.40	12563.63	0.00	-9466.94
10.50	10900.02	0.00	-9592.59
10.60	9172.15	0.00	-9680.38
10.70	7385.59	0.00	-9729.97
10.80	5546.68	0.00	-9741.16
10.90	3662.51	0.00	-9713.90
11.00	1740.91	0.00	-9648.31
11.10	-209.59	0.00	-9544.63
11.20	-2179.82	0.00	-9403.30
11.30	-4160.03	0.00	-9224.85
11.40	-6139.96	0.00	-9009.99
11.50	-8108.87	0.00	-8759.58
11.60	-10055.72	0.00	-8474.59
11.70	-11969.19	0.00	-8156.16
11.80	-13837.81	0.00	-7805.54
11.90	-15650.08	0.00	-7424.12
12.00	-17394.53	0.00	-7013.40
12.10	-19059.91	0.00	-6575.00
12.20	-20635.23	0.00	-6110.65
12.30	-22109.92	0.00	-5622.18
12.40	-23473.93	0.00	-5111.53
12.50	-24717.82	0.00	-4580.70
12.60	-25832.87	0.00	-4031.79
12.70	-26811.19	0.00	-3466.98
12.80	-27645.79	0.00	-2888.48
12.90	-28330.65	0.00	-2298.58
13.00	-28860.82	0.00	-1699.61
13.10	-29232.41	0.00	-1093.93
13.20	-29442.72	0.00	-483.94
13.30	-29492.26	0.00	127.97
13.40	-29442.90	0.00	739.37
13.50	-29323.74	0.00	1347.85
13.60	-29134.31	0.00	1951.01
13.70	-28873.89	0.00	2546.47
13.80	-28541.52	0.00	3131.89
13.90	-28136.05	0.00	3704.94
14.00	-27656.20	0.00	4263.37
14.10	-27100.56	0.00	4804.98
14.20	-26467.69	0.00	5327.62
14.30	-25756.18	0.00	5829.24
14.40	-24964.70	0.00	6307.85
14.50	-24092.07	0.00	6761.57
14.60	-23137.36	0.00	7188.60
14.70	-22099.92	0.00	7587.26
14.80	-20979.50	0.00	7955.98
14.90	-19776.27	0.00	8293.30
15.00	-18490.94	0.00	8597.89
15.10	-17124.78	0.00	8868.55
15.20	-15679.67	0.00	9104.21
15.30	-14158.19	0.00	9303.93
15.40	-12563.63	0.00	9466.94
15.50	-10900.02	0.00	9592.59
15.60	-9172.15	0.00	9680.38
15.70	-7385.59	0.00	9729.97
15.80	-5546.68	0.00	9741.16
15.90	-3662.51	0.00	9713.90
16.00	-1740.91	0.00	9648.31
16.10	209.59	0.00	9544.63
16.20	2179.82	0.00	9403.30
16.30	4160.03	0.00	9224.85
16.40	6139.96	0.00	9009.99
16.50	8108.87	0.00	8759.58
16.60	10055.72	0.00	8474.59
16.70	11969.19	0.00	8156.16
16.80	13837.81	0.00	7805.54
16.90	15650.08	0.00	7424.12
17.00	17394.53	0.00	7013.40
17.10	19059.91	0.00	6575.00
17.20	20635.23	0.00	6110.65
17.30	22109.92	0.00	5622.18
17.40	23473.93	0.00	5111.53
17.50	24717.82	0.00	4580.70
17.60	25832.87	0.00	4031.79
17.70	26811.19	0.00	3466.98
17.80	27645.79	0.00	2888.48
17.90	28330.65	0.00	2298.58
18.00	28860.82	0.00	1699.61
18.10	29232.41	0.00	1093.93
18.20	29442.72	0.00	483.94
18.30	29492.26	0.00	-127.97
18.40	29442.90	0.00	-739.37
18.50	29323.74	0.00	-1347.85
18.60	29134.31	0.00	-1951.01
18.70	28873.89	0.00	-2546.47
18.80	28541.52	0.00	-3131.89
18.90	28136.05	0.00	-3704.94
19.00	27656.20	0.00	-4263.37
19.10	27100.56	0.00	-4804.98
19.20	26467.69	0.00	-5327.62
19.30	25756.18	0.00	-5829.24
19.40	24964.70	0.00	-6307.85
19.50	24092.07	0.00	-6761.57
19.60	23137.36	0.00	-7188.60
19.70	22099.92	0.00	-7587.26
19.80	20979.50	0.00	-7955.98
19.90	19776.27	0.00	-8293.30
20.00	18490.94	0.00	-8597.89
20.10	17124.78	0.00	-8868.55
20.20	15679.67	0.00	-9104.21
20.30	14158.19	0.00	-9303.93
20.40	12563.63	0.00	-9466.94
20.50	10900.02	0.00	-9592.59
20.60	9172.15	0.00	-9680.38
20.70	7385.59	0.00	-9729.97
20.80	5546.68	0.00	-9741.16
20.90	3662.51	0.00	-9713.90
21.00	1740.91	0.00	-9648.31
21.10	-209.59	0.00	-9544.63
21.20	-2179.82	0.00	-9403.30
21.30	-4160.03	0.00	-9224.85
