Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-1929.01	0.00	-253.13
0.10	-1993.45	0.00	-203.70
0.20	-2046.37	0.00	-153.89
0.30	-2087.59	0.00	-103.94
0.40	-2117.03	0.00	-54.07
0.50	-2134.64	0.00	-4.48
0.60	-2140.46	0.00	44.59
0.70	-2134.56	0.00	92.96
0.80	-2117.11	0.00	140.42
0.90	-2088.31	0.00	186.78
1.00	-2048.59	0.00	231.86
1.10	-1999.11	0.00	275.48
1.20	-1940.28	0.00	317.49
1.30	-1872.43	0.00	357.73
1.40	-1795.89	0.00	396.05
1.50	-1711.03	0.00	432.33
1.60	-1618.26	0.00	466.44
1.70	-1518.00	0.00	498.26
1.80	-1410.71	0.00	527.70
1.90	-1296.85	0.00	554.65
2.00	-1176.95	0.00	579.05
2.10	-1051.52	0.00	600.80
2.20	-921.12	0.00	619.86
2.30	-786.31	0.00	636.15
2.40	-647.70	0.00	649.64
2.50	-505.90	0.00	660.28
2.60	-361.55	0.00	668.05
2.70	-215.28	0.00	672.93
2.80	-67.78	0.00	674.89
2.90	80.28	0.00	673.94
3.00	228.21	0.00	670.08
3.10	375.30	0.00	663.32
3.20	520.85	0.00	653.68
3.30	664.15	0.00	641.19
3.40	804.49	0.00	625.87
3.50	941.16	0.00	607.79
3.60	1073.45	0.00	586.99
3.70	1200.67	0.00	563.54
3.80	1322.14	0.00	537.50
3.90	1437.21	0.00	508.95
4.00	1545.21	0.00	478.00
4.10	1645.55	0.00	444.72
4.20	1737.63	0.00	409.25
4.30	1820.89	0.00	371.68
4.40	1894.81	0.00	332.16
4.50	1958.92	0.00	290.82
4.60	2012.78	0.00	247.81
4.70	2056.01	0.00	203.28
4.80	2088.83	0.00	157.39
4.90	2111.59	0.00	110.33
5.00	2124.10	0.00	62.27
5.10	2126.20	0.00	13.41
5.20	2117.74	0.00	-36.06
5.30	2098.63	0.00	-85.95
5.40	2068.81	0.00	-136.03
5.50	2028.26	0.00	-186.11
5.60	1976.99	0.00	-235.95
5.70	1915.07	0.00	-285.35
5.80	1842.58	0.00	-334.08
5.90	1759.67	0.00	-381.93
6.00	1666.53	0.00	-428.66
6.10	1563.38	0.00	-474.07
6.20	1450.50	0.00	-517.93
6.30	1328.21	0.00	-560.03
6.40	1196.90	0.00	-600.17
6.50	1056.97	0.00	-638.13
6.60	908.91	0.00	-673.73
6.70	753.24	0.00	-706.77
6.80	590.52	0.00	-737.07
6.90	421.38	0.00	-764.46
7.00	246.48	0.00	-788.78
7.10	66.55	0.00	-809.89
7.20	-117.66	0.00	-827.63
7.30	-305.33	0.00	-841.89
7.40	-495.63	0.00	-852.55
7.50	-687.66	0.00	-859.50
7.60	-880.49	0.00	-862.67
7.70	-1073.19	0.00	-861.98
7.80	-1264.76	0.00	-857.37
7.90	-1454.20	0.00	-848.79
8.00	-1640.49	0.00	-836.21
8.10	-1822.58	0.00	-819.62
8.20	-1999.45	0.00	-799.02
8.30	-2170.04	0.00	-774.43
8.40	-2333.31	0.00	-745.86
8.50	-2488.24	0.00	-713.38
8.60	-2633.82	0.00	-677.04
8.70	-2769.07	0.00	-636.91
8.80	-2893.03	0.00	-593.10
8.90	-3004.79	0.00	-545.71
9.00	-3103.50	0.00	-494.86
9.10	-3188.34	0.00	-440.70
9.20	-3260.07	0.00	-383.39
9.30	-3319.44	0.00	-323.11
9.40	-3365.99	0.00	-260.03
9.50	-3399.25	0.00	-194.38
9.60	-3418.80	0.00	-126.38
9.70	-3424.26	0.00	-56.26
9.80	-3415.25	0.00	15.71
9.90	-3391.46	0.00	89.25
10.00	-3352.60	0.00	164.08
10.10	-3298.42	0.00	239.89
10.20	-3228.73	0.00	316.35
10.30	-3143.35	0.00	393.13
10.40	-3042.21	0.00	469.88
10.50	-2925.25	0.00	546.23
10.60	-2792.50	0.00	621.80
10.70	-2644.05	0.00	696.21
10.80	-2480.07	0.00	769.07
10.90	-2300.79	0.00	839.96
11.00	-2106.54	0.00	908.47
11.10	-1897.75	0.00	974.20
11.20	-1674.92	0.00	1036.73
11.30	-1438.67	0.00	1095.65
11.40	-1189.70	0.00	1150.54
11.50	-928.84	0.00	1201.00
11.60	-657.01	0.00	1246.63
