Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	9707.98	0.00	-2605.19
0.10	9049.13	0.00	-2683.13
0.20	8346.67	0.00	-2750.48
0.30	7601.47	0.00	-2806.98
0.40	6814.82	0.00	-2852.40
0.50	5988.47	0.00	-2886.56
0.60	5124.66	0.00	-2909.33
0.70	4226.10	0.00	-2920.62
0.80	3296.00	0.00	-2920.38
0.90	2338.04	0.00	-2908.61
1.00	1356.36	0.00	-2885.37
1.10	355.53	0.00	-2850.74
1.20	-659.46	0.00	-2804.86
1.30	-1683.23	0.00	-2747.91
1.40	-2710.09	0.00	-2680.11
1.50	-3734.06	0.00	-2601.74
1.60	-4748.93	0.00	-2513.10
1.70	-5748.32	0.00	-2414.54
1.80	-6725.74	0.00	-2306.45
1.90	-7674.65	0.00	-2189.26
2.00	-8588.56	0.00	-2063.43
2.10	-9461.04	0.00	-1929.46
2.20	-10285.86	0.00	-1787.87
2.30	-11056.99	0.00	-1639.23
2.40	-11768.73	0.00	-1484.11
2.50	-12415.73	0.00	-1323.14
2.60	-12993.07	0.00	-1156.95
2.70	-13496.31	0.00	-986.19
2.80	-13921.54	0.00	-811.54
2.90	-14265.44	0.00	-633.69
3.00	-14525.31	0.00	-453.33
3.10	-14699.10	0.00	-271.19
3.20	-14785.42	0.00	-87.98
3.30	-14791.69	0.00	95.58
3.40	-14762.51	0.00	278.77
3.50	-14704.50	0.00	460.85
3.60	-14617.19	0.00	641.11
3.70	-14499.87	0.00	818.85
3.80	-14351.66	0.00	993.35
3.90	-14171.47	0.00	1163.93
4.00	-13958.09	0.00	1329.92
4.10	-13710.19	0.00	1490.66
4.20	-13426.38	0.00	1645.52
4.30	-13105.23	0.00	1793.88
4.40	-12745.34	0.00	1935.17
4.50	-12345.36	0.00	2068.81
4.60	-11904.06	0.00	2194.29
4.70	-11420.39	0.00	2311.12
4.80	-10893.50	0.00	2418.82
4.90	-10322.79	0.00	2516.97
5.00	-9707.98	0.00	2605.19
5.10	-9049.13	0.00	2683.13
5.20	-8346.67	0.00	2750.48
5.30	-7601.47	0.00	2806.98
5.40	-6814.82	0.00	2852.40
5.50	-5988.47	0.00	2886.56
5.60	-5124.66	0.00	2909.33
5.70	-4226.10	0.00	2920.62
5.80	-3296.00	0.00	2920.38
5.90	-2338.04	0.00	2908.61
6.00	-1356.36	0.00	2885.37
6.10	-355.53	0.00	2850.74
6.20	659.46	0.00	2804.86
6.30	1683.23	0.00	2747.91
6.40	2710.09	0.00	2680.11
6.50	3734.06	0.00	2601.74
6.60	4748.93	0.00	2513.10
6.70	5748.32	0.00	2414.54
6.80	6725.74	0.00	2306.45
6.90	7674.65	0.00	2189.26
7.00	8588.56	0.00	2063.43
7.10	9461.04	0.00	1929.46
7.20	10285.86	0.00	1787.87
7.30	11056.99	0.00	1639.23
7.40	11768.73	0.00	1484.11
7.50	12415.73	0.00	1323.14
7.60	12993.07	0.00	1156.95
7.70	13496.31	0.00	986.19
7.80	13921.54	0.00	811.54
7.90	14265.44	0.00	633.69
8.00	14525.31	0.00	453.33
8.10	14699.10	0.00	271.19
8.20	14785.42	0.00	87.98
8.30	14791.69	0.00	-95.58
8.40	14762.51	0.00	-278.77
8.50	14704.50	0.00	-460.85
8.60	14617.19	0.00	-641.11
8.70	14499.87	0.00	-818.85
8.80	14351.66	0.00	-993.35
8.90	14171.47	0.00	-1163.93
9.00	13958.09	0.00	-1329.92
9.10	13710.19	0.00	-1490.66
9.20	13426.38	0.00	-1645.52
9.30	13105.23	0.00	-1793.88
9.40	12745.34	0.00	-1935.17
9.50	12345.36	0.00	-2068.81
9.60	11904.06	0.00	-2194.29
9.70	11420.39	0.00	-2311.12
9.80	10893.50	0.00	-2418.82
9.90	10322.79	0.00	-2516.97
10.00	9707.98	0.00	-2605.19
10.10	9049.13	0.00	-2683.13
10.20	8346.67	0.00	-2750.48
10.30	7601.47	0.00	-2806.98
10.40	6814.82	0.00	-2852.40
10.50	5988.47	0.00	-2886.56
10.60	5124.66	0.00	-2909.33
10.70	4226.10	0.00	-2920.62
10.80	3296.00	0.00	-2920.38
10.90	2338.04	0.00	-2908.61
11.00	1356.36	0.00	-2885.37
11.10	355.53	0.00	-2850.74
11.20	-659.46	0.00	-2804.86
11.30	-1683.23	0.00	-2747.91
11.40	-2710.09	0.00	-2680.11
11.50	-3734.06	0.00	-2601.74
11.60	-4748.93	0.00	-2513.10
11.70	-5748.32	0.00	-2414.54
11.80	-6725.74	0.00	-2306.45
11.90	-7674.65	0.00	-2189.26
12.00	-8588.56	0.00	-2063.43
12.10	-9461.04	0.00	-1929.46
12.20	-10285.86	0.00	-1787.87
12.30	-11056.99	0.00	-1639.23
12.40	-11768.73	0.00	-1484.11
12.50	-12415.73	0.00	-1323.14
12.60	-12993.07	0.00	-1156.95
12.70	-13496.31	0.00	-986.19
12.80	-13921.54	0.00	-811.54
12.90	-14265.44	0.00	-633.69
13.00	-14525.31	0.00	-453.33
13.10	-14699.10	0.00	-271.19
13.20	-14785.42	0.00	-87.98
13.30	-14791.69	0.00	95.58
13.40	-14762.51	0.00	278.77
13.50	-14704.50	0.00	460.85
13.60	-14617.19	0.00	641.11
13.70	-14499.87	0.00	818.85
13.80	-14351.66	0.00	993.35
13.90	-14171.47	0.00	1163.93
14.00	-13958.09	0.00	1329.92
14.10	-13710.19	0.00	1490.66
14.20	-13426.38	0.00	1645.52
14.30	-13105.23	0.00	1793.88
14.40	-12745.34	0.00	1935.17
14.50	-12345.36	0.00	2068.81
14.60	-11904.06	0.00	2194.29
14.70	-11420.39	0.00	2311.12
14.80	-10893.50	0.00	2418.82
14.90	-10322.79	0.00	2516.97
15.00	-9707.98	0.00	2605.19
15.10	-9049.13	0.00	2683.13
15.20	-8346.67	0.00	2750.48
15.30	-7601.47	0.00	2806.98
15.40	-6814.82	0.00	2852.40
15.50	-5988.47	0.00	2886.56
15.60	-5124.66	0.00	2909.33
15.70	-4226.10	0.00	2920.62
15.80	-3296.00	0.00	2920.38
15.90	-2338.04	0.00	2908.61
16.00	-1356.36	0.00	2885.37
16.10	-355.53	0.00	2850.74
16.20	659.46	0.00	2804.86
16.30	1683.23	0.00	2747.91
16.40	2710.09	0.00	2680.11
16.50	3734.06	0.00	2601.74
16.60	4748.93	0.00	2513.10
16.70	5748.32	0.00	2414.54
16.80	6725.74	0.00	2306.45
16.90	7674.65	0.00	2189.26
17.00	8588.56	0.00	2063.43
17.10	9461.04	0.00	1929.46
17.20	10285.86	0.00	1787.87
17.30	11056.99	0.00	1639.23
17.40	11768.73	0.00	1484.11
17.50	12415.73	0.00	1323.14
17.60	12993.07	0.00	1156.95
17.70	13496.31	0.00	986.19
17.80	13921.54	0.00	811.54
17.90	14265.44	0.00	633.69
18.00	14525.31	0.00	453.33
18.10	14699.10	0.00	271.19
18.20	14785.42	0.00	87.98
18.30	14791.69	0.00	-95.58
18.40	14762.51	0.00	-278.77
18.50	14704.50	0.00	-460.85
18.60	14617.19	0.00	-641.11
18.70	14499.87	0.00	-818.85
18.80	14351.66	0.00	-993.35
18.90	14171.47	0.00	-1163.93
19.00	13958.09	0.00	-1329.92
19.10	13710.19	0.00	-1490.66
19.20	13426.38	0.00	-1645.52
19.30	13105.23	0.00	-1793.88
19.40	12745.34	0.00	-1935.17
19.50	12345.36	0.00	-2068.81
19.60	11904.06	0.00	-2194.29
19.70	11420.39	0.00	-2311.12
19.80	10893.50	0.00	-2418.82
19.90	10322.79	0.00	-2516.97
20.00	9707.98	0.00	-2605.19
20.10	9049.13	0.00	-2683.13
20.20	8346.67	0.00	-2750.48
20.30	7601.47	0.00	-2806.98
20.40	6814.82	0.00	-2852.40
20.50	5988.47	0.00	-2886.56
20.60	5124.66	0.00	-2909.33
20.70	4226.10	0.00	-2920.62
20.80	3296.00	0.00	-2920.38
20.90	2338.04	0.00	-2908.61
21.00	1356.36	0.00	-2885.37
21.10	355.53	0.00	-2850.74
21.20	-659.46	0.00	-2804.86
21.30	-1683.23	0.00	-2747.91
21.40	-2710.09	0.00	-2680.11
21.50	-3734.06	0.00	-2601.74
21.60	-4748.93	0.00	-2513.10
21.70	-5748.32	0.00	-2414.54
21.80	-6725.74	0.00	-2306.45
21.90	-7674.65	0.00	-2189.26
22.00	-8588.56	0.00	-2063.43
22.10	-9461.04	0.00	-1929.46
22.20	-10285.86	0.00	-1787.87
22.30	-11056.99	0.00	-1639.23
22.40	-11768.73	0.00	-1484.11
22.50	-12415.73	0.00	-1323.14
22.60	-12993.07	0.00	-1156.95
22.70	-13496.31	0.00	-986.19
22.80	-13921.54	0.00	-811.54
22.90	-14265.44	0.00	-633.69
23.00	-14525.31	0.00	-453.33
23.10	-14699.10	0.00	-271.19
23.20	-14785.42	0.00	-87.98
23.30	-14791.69	0.00	95.58
23.40	-14762.51	0.00	278.77
23.50	-14704.50	0.00	460.85
23.60	-14617.19	0.00	641.11
23.70	-14499.87	0.00	818.85
23.80	-14351.66	0.00	993.35
23.90	-14171.47	0.00	1163.93
24.00	-13958.09	0.00	1329.92
24.10	-13710.19	0.00	1490.66
24.20	-13426.38	0.00	1645.52
24.30	-13105.23	0.00	1793.88
24.40	-12745.34	0.00	1935.17
24.50	-12345.36	0.00	2068.81
24.60	-11904.06	0.00	2194.29
24.70	-11420.39	0.00	2311.12
24.80	-10893.50	0.00	2418.82
24.90	-10322.79	0.00	2516.97
25.00	-9707.98	0.00	2605.19
25.10	-9049.13	0.00	2683.13
25.20	-8346.67	0.00	2750.48
25.30	-7601.47	0.00	2806.98
25.40	-6814.82	0.00	2852.40
25.50	-5988.47	0.00	2886.56
25.60	-5124.66	0.00	2909.33
25.70	-4226.10	0.00	2920.62
25.80	-3296.00	0.00	2920.38
25.90	-2338.04	0.00	2908.61
26.00	-1356.36	0.00	2885.37
