Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	11067.85	0.00	-11492.73
0.10	10323.29	0.00	-12906.70
0.20	9384.18	0.00	-14276.95
0.30	8241.87	0.00	-15579.47
0.40	6890.84	0.00	-16787.30
0.50	5329.84	0.00	-17871.17
0.60	3562.88	0.00	-18800.31
0.70	1600.15	0.00	-19543.52
0.80	-541.43	0.00	-20070.34
0.90	-2837.86	0.00	-20352.34
1.00	-5258.09	0.00	-20364.36
1.10	-7764.36	0.00	-20085.72
1.20	-10312.87	0.00	-19501.21
1.30	-12854.87	0.00	-18602.07
1.40	-15337.92	0.00	-17386.48
1.50	-17707.47	0.00	-15860.05
1.60	-19908.55	0.00	-14035.86
1.70	-21887.59	0.00	-11934.30
1.80	-23594.20	0.00	-9582.67
1.90	-24982.88	0.00	-7014.55
2.00	-26014.56	0.00	-4269.00
2.10	-26657.94	0.00	-1389.60
2.20	-26918.97	0.00	1576.53
2.30	-26849.17	0.00	4579.86
2.40	-26444.63	0.00	7569.48
2.50	-25703.60	0.00	10494.17
2.60	-24628.98	0.00	13303.41
2.70	-23228.42	0.00	15948.34
2.80	-21514.50	0.00	18382.61
2.90	-19504.90	0.00	20563.23
3.00	-17222.61	0.00	22451.29
3.10	-14696.05	0.00	24012.67
3.20	-11959.21	0.00	25218.65
3.30	-9051.59	0.00	26046.57
3.40	-6018.01	0.00	26480.29
3.50	-2908.17	0.00	26510.73
3.60	224.01	0.00	26136.26
3.70	3321.32	0.00	25362.99
3.80	6324.49	0.00	24205.01
3.90	9173.66	0.00	22684.40
4.00	11810.10	0.00	20831.08
4.10	14178.04	0.00	18682.54
4.20	16226.62	0.00	16283.20
4.30	17911.76	0.00	13683.71
4.40	19198.00	0.00	10939.82
4.50	20059.98	0.00	8111.24
4.60	20483.67	0.00	5260.13
4.70	20467.17	0.00	2449.52
4.80	20020.99	0.00	-258.38
4.90	19167.86	0.00	-2803.95
5.00	17941.99	0.00	-5131.85
5.10	16387.90	0.00	-7192.69
5.20	14561.01	0.00	-8944.46
5.30	12539.37	0.00	-10353.82
5.40	10382.56	0.00	-11397.03
5.50	8147.22	0.00	-12060.59
5.60	5891.81	0.00	-12341.54
5.70	3674.97	0.00	-12247.39
5.80	1553.82	0.00	-11795.66
5.90	-417.69	0.00	-11013.18
6.00	-2190.45	0.00	-9934.99
6.10	-3721.67	0.00	-8603.07
6.20	-4976.09	0.00	-7064.86
6.30	-5926.96	0.00	-5371.72
6.40	-6556.62	0.00	-3577.27
6.50	-6856.77	0.00	-1735.81
6.60	-6828.33	0.00	99.17
6.70	-6480.99	0.00	1876.37
6.80	-5832.40	0.00	3547.86
6.90	-4907.26	0.00	5070.08
7.00	-3736.46	0.00	6404.55
7.10	-2355.93	0.00	7518.46
7.20	-802.60	0.00	8384.96
7.30	884.08	0.00	8983.32
7.40	2662.65	0.00	9298.90
7.50	4490.37	0.00	9322.98
7.60	6324.78	0.00	9052.59
7.70	8127.75	0.00	8490.14
7.80	9861.83	0.00	7643.15
7.90	11491.50	0.00	6523.91
8.00	12983.50	0.00	5149.20
8.10	14306.89	0.00	3539.96
8.20	15433.13	0.00	1721.10
8.30	16336.08	0.00	-278.80
8.40	16992.08	0.00	-2427.70
8.50	17380.06	0.00	-4690.36
8.60	17481.79	0.00	-7028.66
8.70	17282.19	0.00	-9401.91
8.80	16769.74	0.00	-11767.33
8.90	15937.01	0.00	-14080.59
9.00	14781.26	0.00	-16296.43
9.10	13305.06	0.00	-18369.43
9.20	11516.97	0.00	-20254.90
9.30	9432.06	0.00	-21909.80
9.40	7072.48	0.00	-23293.77
9.50	4467.72	0.00	-24370.23
9.60	1654.71	0.00	-25107.43
9.70	-1322.31	0.00	-25479.45
9.80	-4412.30	0.00	-25467.20
9.90	-7558.28	0.00	-25059.21
10.00	-10698.44	0.00	-24252.30
10.10	-13767.69	0.00	-23052.00
10.20	-16699.42	0.00	-21472.79
10.30	-19427.55	0.00	-19538.04
10.40	-21888.69	0.00	-17279.67
10.50	-24024.35	0.00	-14737.58
10.60	-25783.09	0.00	-11958.74
10.70	-27122.52	0.00	-8996.16
10.80	-28010.94	0.00	-5907.46
10.90	-28428.69	0.00	-2753.49
11.00	-28380.08	0.00	403.39
11.10	-27950.06	0.00	3500.92
11.20	-27166.97	0.00	6478.68
11.30	-26049.97	0.00	9279.71
11.40	-24624.60	0.00	11852.10
11.50	-22922.38	0.00	14150.32
11.60	-20980.39	0.00	16136.40
11.70	-18840.52	0.00	17780.91
11.80	-16548.75	0.00	19063.56
11.90	-14154.12	0.00	19973.59
12.00	-11707.60	0.00	20509.86
12.10	-9260.91	0.00	20680.59
12.20	-6865.11	0.00	20502.92
12.30	-4569.26	0.00	20002.11
12.40	-2419.07	0.00	19210.68
12.50	-455.61	0.00	18167.21
12.60	1285.85	0.00	16915.17
12.70	2776.78	0.00	15501.58
