Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	19096.77	0.00	-14669.04
0.10	17543.85	0.00	-15056.13
0.20	15904.34	0.00	-15383.79
0.30	14181.48	0.00	-15650.75
0.40	12379.42	0.00	-15855.94
0.50	10503.19	0.00	-15998.55
0.60	8558.72	0.00	-16078.03
0.70	6552.87	0.00	-16094.05
0.80	4493.39	0.00	-16046.55
0.90	2388.90	0.00	-15935.73
1.00	248.85	0.00	-15762.02
1.10	-1916.55	0.00	-15526.10
1.20	-4096.37	0.00	-15228.90
1.30	-6279.06	0.00	-14871.61
1.40	-8452.56	0.00	-14455.62
1.50	-10604.35	0.00	-13982.58
1.60	-12721.61	0.00	-13454.36
1.70	-14791.32	0.00	-12873.05
1.80	-16800.38	0.00	-12240.93
1.90	-18735.74	0.00	-11560.49
2.00	-20584.57	0.00	-10834.44
2.10	-22334.33	0.00	-10065.63
2.20	-23972.93	0.00	-9257.09
2.30	-25488.88	0.00	-8412.02
2.40	-26871.39	0.00	-7533.75
2.50	-28110.49	0.00	-6625.75
2.60	-29197.16	0.00	-5691.59
2.70	-30123.39	0.00	-4734.98
2.80	-30882.33	0.00	-3759.68
2.90	-31468.31	0.00	-2769.54
3.00	-31876.94	0.00	-1768.48
3.10	-32105.13	0.00	-760.43
3.20	-32154.60	0.00	250.62
3.30	-32101.28	0.00	1260.68
3.40	-31976.40	0.00	2265.76
3.50	-31779.30	0.00	3261.90
3.60	-31508.99	0.00	4245.17
3.70	-31164.16	0.00	5211.69
3.80	-30743.22	0.00	6157.63
3.90	-30244.38	0.00	7079.28
4.00	-29665.67	0.00	7972.98
4.10	-29005.05	0.00	8835.23
4.20	-28260.46	0.00	9662.60
4.30	-27429.91	0.00	10451.84
4.40	-26511.56	0.00	11199.83
4.50	-25503.83	0.00	11903.62
4.60	-24405.46	0.00	12560.43
4.70	-23215.60	0.00	13167.67
4.80	-21933.92	0.00	13722.94
4.90	-20560.68	0.00	14224.06
5.00	-19096.77	0.00	14669.04
5.10	-17543.85	0.00	15056.13
5.20	-15904.34	0.00	15383.79
5.30	-14181.48	0.00	15650.75
5.40	-12379.42	0.00	15855.94
5.50	-10503.19	0.00	15998.55
5.60	-8558.72	0.00	16078.03
5.70	-6552.87	0.00	16094.05
5.80	-4493.39	0.00	16046.55
5.90	-2388.90	0.00	15935.73
6.00	-248.85	0.00	15762.02
6.10	1916.55	0.00	15526.10
6.20	4096.37	0.00	15228.90
6.30	6279.06	0.00	14871.61
6.40	8452.56	0.00	14455.62
6.50	10604.35	0.00	13982.58
6.60	12721.61	0.00	13454.36
6.70	14791.32	0.00	12873.05
6.80	16800.38	0.00	12240.93
6.90	18735.74	0.00	11560.49
7.00	20584.57	0.00	10834.44
7.10	22334.33	0.00	10065.63
7.20	23972.93	0.00	9257.09
7.30	25488.88	0.00	8412.02
7.40	26871.39	0.00	7533.75
7.50	28110.49	0.00	6625.75
7.60	29197.16	0.00	5691.59
7.70	30123.39	0.00	4734.98
7.80	30882.33	0.00	3759.68
7.90	31468.31	0.00	2769.54
8.00	31876.94	0.00	1768.48
8.10	32105.13	0.00	760.43
8.20	32154.60	0.00	-250.62
8.30	32101.28	0.00	-1260.68
8.40	31976.40	0.00	-2265.76
8.50	31779.30	0.00	-3261.90
8.60	31508.99	0.00	-4245.17
8.70	31164.16	0.00	-5211.69
8.80	30743.22	0.00	-6157.63
8.90	30244.38	0.00	-7079.28
9.00	29665.67	0.00	-7972.98
9.10	29005.05	0.00	-8835.23
9.20	28260.46	0.00	-9662.60
9.30	27429.91	0.00	-10451.84
9.40	26511.56	0.00	-11199.83
9.50	25503.83	0.00	-11903.62
9.60	24405.46	0.00	-12560.43
9.70	23215.60	0.00	-13167.67
9.80	21933.92	0.00	-13722.94
9.90	20560.68	0.00	-14224.06
10.00	19096.77	0.00	-14669.04
10.10	17543.85	0.00	-15056.13
10.20	15904.34	0.00	-15383.79
10.30	14181.48	0.00	-15650.75
10.40	12379.42	0.00	-15855.94
10.50	10503.19	0.00	-15998.55
10.60	8558.72	0.00	-16078.03
10.70	6552.87	0.00	-16094.05
10.80	4493.39	0.00	-16046.55
10.90	2388.90	0.00	-15935.73
11.00	248.85	0.00	-15762.02
11.10	-1916.55	0.00	-15526.10
11.20	-4096.37	0.00	-15228.90
11.30	-6279.06	0.00	-14871.61
11.40	-8452.56	0.00	-14455.62
11.50	-10604.35	0.00	-13982.58
11.60	-12721.61	0.00	-13454.36
11.70	-14791.32	0.00	-12873.05
11.80	-16800.38	0.00	-12240.93
11.90	-18735.74	0.00	-11560.49
12.00	-20584.57	0.00	-10834.44
12.10	-22334.33	0.00	-10065.63
12.20	-23972.93	0.00	-9257.09
12.30	-25488.88	0.00	-8412.02
12.40	-26871.39	0.00	-7533.75
12.50	-28110.49	0.00	-6625.75
12.60	-29197.16	0.00	-5691.59
12.70	-30123.39	0.00	-4734.98
12.80	-30882.33	0.00	-3759.68
12.90	-31468.31	0.00	-2769.54
13.00	-31876.94	0.00	-1768.48
13.10	-32105.13	0.00	-760.43
13.20	-32154.60	0.00	250.62
13.30	-32101.28	0.00	1260.68
13.40	-31976.40	0.00	2265.76
13.50	-31779.30	0.00	3261.90
13.60	-31508.99	0.00	4245.17
13.70	-31164.16	0.00	5211.69
13.80	-30743.22	0.00	6157.63
13.90	-30244.38	0.00	7079.28
14.00	-29665.67	0.00	7972.98
14.10	-29005.05	0.00	8835.23
14.20	-28260.46	0.00	9662.60
14.30	-27429.91	0.00	10451.84
14.40	-26511.56	0.00	11199.83
14.50	-25503.83	0.00	11903.62
14.60	-24405.46	0.00	12560.43
14.70	-23215.60	0.00	13167.67
14.80	-21933.92	0.00	13722.94
14.90	-20560.68	0.00	14224.06
15.00	-19096.77	0.00	14669.04
15.10	-17543.85	0.00	15056.13
15.20	-15904.34	0.00	15383.79
15.30	-14181.48	0.00	15650.75
15.40	-12379.42	0.00	15855.94
15.50	-10503.19	0.00	15998.55
15.60	-8558.72	0.00	16078.03
15.70	-6552.87	0.00	16094.05
15.80	-4493.39	0.00	16046.55
15.90	-2388.90	0.00	15935.73
16.00	-248.85	0.00	15762.02
16.10	1916.55	0.00	15526.10
16.20	4096.37	0.00	15228.90
16.30	6279.06	0.00	14871.61
16.40	8452.56	0.00	14455.62
16.50	10604.35	0.00	13982.58
16.60	12721.61	0.00	13454.36
16.70	14791.32	0.00	12873.05
16.80	16800.38	0.00	12240.93
16.90	18735.74	0.00	11560.49
17.00	20584.57	0.00	10834.44
17.10	22334.33	0.00	10065.63
17.20	23972.93	0.00	9257.09
17.30	25488.88	0.00	8412.02
17.40	26871.39	0.00	7533.75
17.50	28110.49	0.00	6625.75
17.60	29197.16	0.00	5691.59
17.70	30123.39	0.00	4734.98
17.80	30882.33	0.00	3759.68
17.90	31468.31	0.00	2769.54
18.00	31876.94	0.00	1768.48
18.10	32105.13	0.00	760.43
18.20	32154.60	0.00	-250.62
18.30	32101.28	0.00	-1260.68
18.40	31976.40	0.00	-2265.76
18.50	31779.30	0.00	-3261.90
18.60	31508.99	0.00	-4245.17
18.70	31164.16	0.00	-5211.69
18.80	30743.22	0.00	-6157.63
18.90	30244.38	0.00	-7079.28
19.00	29665.67	0.00	-7972.98
19.10	29005.05	0.00	-8835.23
19.20	28260.46	0.00	-9662.60
19.30	27429.91	0.00	-10451.84
19.40	26511.56	0.00	-11199.83
19.50	25503.83	0.00	-11903.62
19.60	24405.46	0.00	-12560.43
19.70	23215.60	0.00	-13167.67
19.80	21933.92	0.00	-13722.94
19.90	20560.68	0.00	-14224.06
20.00	19096.77	0.00	-14669.04
20.10	17543.85	0.00	-15056.13
20.20	15904.34	0.00	-15383.79
20.30	14181.48	0.00	-15650.75
20.40	12379.42	0.00	-15855.94
20.50	10503.19	0.00	-15998.55
20.60	8558.72	0.00	-16078.03
20.70	6552.87	0.00	-16094.05
20.80	4493.39	0.00	-16046.55
20.90	2388.90	0.00	-15935.73
21.00	248.85	0.00	-15762.02
21.10	-1916.55	0.00	-15526.10
21.20	-4096.37	0.00	-15228.90
21.30	-6279.06	0.00	-14871.61
21.40	-8452.56	0.00	-14455.62
21.50	-10604.35	0.00	-13982.58
21.60	-12721.61	0.00	-13454.36
21.70	-14791.32	0.00	-12873.05
21.80	-16800.38	0.00	-12240.93
21.90	-18735.74	0.00	-11560.49
22.00	-20584.57	0.00	-10834.44
22.10	-22334.33	0.00	-10065.63
22.20	-23972.93	0.00	-9257.09
22.30	-25488.88	0.00	-8412.02
22.40	-26871.39	0.00	-7533.75
22.50	-28110.49	0.00	-6625.75
22.60	-29197.16	0.00	-5691.59
