Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	24928.09	0.00	-60122.16
0.10	19411.39	0.00	-64099.53
0.20	13244.95	0.00	-67523.66
0.30	6484.53	0.00	-70302.60
0.40	-799.21	0.00	-72350.56
0.50	-8520.94	0.00	-73590.21
0.60	-16581.45	0.00	-73954.85
0.70	-24868.73	0.00	-73390.56
0.80	-33259.70	0.00	-71858.03
0.90	-41622.23	0.00	-69334.21
1.00	-49817.61	0.00	-65813.51
1.10	-57703.39	0.00	-61308.71
1.20	-65136.42	0.00	-55851.44
1.30	-71976.06	0.00	-49492.16
1.40	-78087.53	0.00	-42299.79
1.50	-83345.19	0.00	-34360.89
1.60	-87635.75	0.00	-25778.36
1.70	-90861.23	0.00	-16669.88
1.80	-92941.63	0.00	-7165.89
1.90	-93817.41	0.00	2592.66
2.00	-93512.33	0.00	12456.85
2.10	-92061.19	0.00	22272.57
2.20	-89466.50	0.00	31883.41
2.30	-85749.90	0.00	41133.75
2.40	-80952.38	0.00	49871.81
2.50	-75134.24	0.00	57952.75
2.60	-68374.73	0.00	65241.78
2.70	-60771.31	0.00	71617.01
2.80	-52438.51	0.00	76972.27
2.90	-43506.44	0.00	81219.56
3.00	-34118.72	0.00	84291.25
3.10	-24430.11	0.00	86141.93
3.20	-14603.63	0.00	86749.70
3.30	-4807.31	0.00	86117.11
3.40	4789.42	0.00	84271.44
3.50	14019.54	0.00	81264.47
3.60	22722.47	0.00	77171.64
3.70	30748.05	0.00	72090.56
3.80	37960.47	0.00	66138.98
3.90	44241.91	0.00	59452.22
4.00	49495.76	0.00	52180.05
4.10	53649.35	0.00	44483.21
4.20	56655.99	0.00	36529.53
4.30	58496.28	0.00	28489.92
4.40	59178.58	0.00	20534.15
4.50	58738.68	0.00	12826.76
4.60	57238.60	0.00	5523.03
4.70	54764.62	0.00	-1234.76
4.80	51424.61	0.00	-7320.66
4.90	47344.74	0.00	-12627.95
5.00	42665.73	0.00	-17071.42
5.10	37538.78	0.00	-20589.11
5.20	32121.30	0.00	-23143.33
5.30	26572.68	0.00	-24721.05
5.40	21051.72	0.00	-25333.58
5.50	15712.16	0.00	-25015.68
5.60	10692.16	0.00	-23824.07
5.70	6118.02	0.00	-21835.44
5.80	2101.85	0.00	-19144.01
5.90	-1260.79	0.00	-15858.82
6.00	-3892.77	0.00	-12100.72
6.10	-5736.72	0.00	-7999.25
6.20	-6755.86	0.00	-3689.43
6.30	-6934.31	0.00	691.33
6.40	-6276.91	0.00	5006.36
6.50	-4808.52	0.00	9122.57
6.60	-2572.99	0.00	12913.15
6.70	368.27	0.00	16260.01
6.80	3938.05	0.00	19055.96
6.90	8045.24	0.00	21206.59
7.00	12586.96	0.00	22631.91
7.10	17450.75	0.00	23267.62
7.20	22516.92	0.00	23066.23
7.30	27660.76	0.00	21997.76
7.40	32754.88	0.00	20050.32
7.50	37671.46	0.00	17230.33
7.60	42284.40	0.00	13562.52
7.70	46471.51	0.00	9089.62
7.80	50116.56	0.00	3871.90
7.90	53111.30	0.00	-2013.70
8.00	55357.35	0.00	-8474.67
8.10	56768.12	0.00	-15404.26
8.20	57270.50	0.00	-22683.18
8.30	56806.54	0.00	-30181.59
8.40	55334.95	0.00	-37761.27
8.50	52832.45	0.00	-45278.19
8.60	49294.87	0.00	-52585.19
8.70	44738.01	0.00	-59534.93
8.80	39198.20	0.00	-65982.95
8.90	32732.46	0.00	-71790.77
9.00	25418.25	0.00	-76829.06
9.10	17352.77	0.00	-80980.70
9.20	8651.74	0.00	-84143.66
9.30	-552.34	0.00	-86233.66
9.40	-10112.47	0.00	-87186.47
9.50	-19869.94	0.00	-86959.80
9.60	-29657.55	0.00	-85534.75
9.70	-39303.34	0.00	-82916.61
9.80	-48634.50	0.00	-79135.15
9.90	-57481.62	0.00	-74244.30
10.00	-65682.92	0.00	-68321.12
10.10	-73088.48	0.00	-61464.22
10.20	-79564.22	0.00	-53791.62
10.30	-84995.53	0.00	-45437.97
10.40	-89290.43	0.00	-36551.49
10.50	-92382.04	0.00	-27290.35
10.60	-94230.39	0.00	-17818.93
10.70	-94823.40	0.00	-8303.84
10.80	-94187.68	0.00	1090.06
10.90	-92449.89	0.00	10203.61
11.00	-89690.18	0.00	18887.09
11.10	-85989.06	0.00	27003.70
11.20	-81443.96	0.00	34432.57
11.30	-76166.91	0.00	41071.48
11.40	-70281.87	0.00	46838.85
11.50	-63921.86	0.00	51675.33
11.60	-57225.82	0.00	55544.70
11.70	-50335.41	0.00	58434.18
11.80	-43391.70	0.00	60354.16
11.90	-36531.94	0.00	61337.32
12.00	-29886.35	0.00	61437.28
12.10	-23575.19	0.00	60726.73
12.20	-17705.99	0.00	59295.15
12.30	-12371.17	0.00	57246.17
12.40	-7645.99	0.00	54694.72
12.50	-3587.02	0.00	51763.93
12.60	-230.99	0.00	48581.91
12.70	2405.85	0.00	45278.57
12.80	4327.74	0.00	41982.34
12.90	5559.11	0.00	38817.14
13.00	6143.65	0.00	35899.36
13.10	6142.95	0.00	33335.18
13.20	5634.79	0.00	31218.11
13.30	4711.00	0.00	29626.80
13.40	3475.03	0.00	28623.31
13.50	2039.31	0.00	28251.66
13.60	522.36	0.00	28536.87
13.70	-954.11	0.00	29484.35
13.80	-2268.22	0.00	31079.85
13.90	-3300.92	0.00	33289.72
14.00	-3938.84	0.00	36061.71
14.10	-4077.06	0.00	39326.16
14.20	-3621.68	0.00	42997.57
14.30	-2492.07	0.00	46976.54
14.40	-622.94	0.00	51152.04
14.50	2034.02	0.00	55403.93
14.60	5508.82	0.00	59605.68
14.70	9812.22	0.00	63627.18
14.80	14935.21	0.00	67337.66
14.90	20848.94	0.00	70608.53
15.00	27504.99	0.00	73316.14
15.10	34836.07	0.00	75344.39
15.20	42757.17	0.00	76587.09
15.30	51166.97	0.00	76949.99
15.40	59949.65	0.00	76352.57
15.50	68976.91	0.00	74729.39
15.60	78110.26	0.00	72031.14
15.70	87203.49	0.00	68225.26
15.80	96105.16	0.00	63296.31
15.90	104661.26	0.00	57245.88
16.00	112717.77	0.00	50092.40
16.10	120144.15	0.00	41870.55
16.20	126940.35	0.00	32630.62
16.30	133020.33	0.00	22437.66
16.40	138280.93	0.00	11370.55
16.50	142624.77	0.00	-478.91
16.60	145960.67	0.00	-13007.02
16.70	148203.91	0.00	-26099.15
16.80	149276.61	0.00	-39630.72
16.90	149108.19	0.00	-53468.18
17.00	147636.02	0.00	-67470.04
17.10	144806.27	0.00	-81487.97
17.20	140574.96	0.00	-95367.87
17.30	134909.28	0.00	-108951.26
17.40	127789.08	0.00	-122076.64
17.50	119208.53	0.00	-134581.19
17.60	109177.93	0.00	-146302.51
17.70	97725.45	0.00	-157080.76
17.80	84898.86	0.00	-166760.81
17.90	70767.06	0.00	-175194.71
18.00	55421.21	0.00	-182244.18
18.10	38975.58	0.00	-187783.20
18.20	21567.75	0.00	-191700.64
18.30	3358.25	0.00	-193902.71
18.40	-15470.57	0.00	-194315.34
18.50	-34716.26	0.00	-192886.13
18.60	-54158.92	0.00	-189586.17
18.70	-73564.39	0.00	-184411.23
18.80	-92688.23	0.00	-177382.58
18.90	-111280.17	0.00	-168547.21
19.00	-129088.99	0.00	-157977.61
19.10	-145867.73	0.00	-145770.83
19.20	-161378.92	0.00	-132047.15
19.30	-175399.76	0.00	-116948.18
19.40	-187727.05	0.00	-100634.56
19.50	-198181.65	0.00	-83283.30
19.60	-206612.35	0.00	-65084.83
19.70	-212899.08	0.00	-46239.89
19.80	-216955.24	0.00	-26956.36
19.90	-218729.22	0.00	-7445.99
20.00	-218307.44	0.00	12078.64
20.10	-216158.43	0.00	31407.18
20.20	-212364.08	0.00	50334.20
20.30	-206963.79	0.00	68661.81
20.40	-200008.55	0.00	86201.88
20.50	-191560.84	0.00	102778.10
20.60	-181694.55	0.00	118227.74
20.70	-170495.06	0.00	132403.13
20.80	-158059.41	0.00	145173.04
20.90	-144496.48	0.00	156423.78
21.00	-129927.08	0.00	166060.11
21.10	-114483.89	0.00	174006.16
21.20	-98311.22	0.00	180206.01
21.30	-81564.38	0.00	184624.33
21.40	-64408.76	0.00	187246.77
21.50	-47018.46	0.00	188080.26
21.60	-29574.42	0.00	187153.09
21.70	-12262.16	0.00	184514.78
21.80	4730.98	0.00	180235.77
21.90	21218.94	0.00	174406.68
22.00	37020.45	0.00	167137.38
22.10	51962.59	0.00	158555.61
22.20	65884.63	0.00	148805.25
22.30	78641.63	0.00	138044.22
22.40	90108.00	0.00	126442.01
22.50	100180.55	0.00	114176.81
22.60	108781.18	0.00	101432.44
22.70	115858.80	0.00	88394.96
22.80	121390.65	0.00	75249.22
22.90	125382.69	0.00	62175.25
23.00	127869.24	0.00	49344.77
23.10	128911.68	0.00	36917.85
23.20	128596.46	0.00	25039.78
23.30	127032.24	0.00	13838.33
23.40	124346.47	0.00	3421.42
23.50	120681.49	0.00	-6124.62
23.60	116190.20	0.00	-14736.26
23.70	111031.62	0.00	-22373.37
23.80	105366.35	0.00	-29019.18
23.90	99352.25	0.00	-34679.54
24.00	93140.27	0.00	-39381.69
24.10	86913.12	0.00	-43172.41
24.20	80845.08	0.00	-46115.68
24.30	75027.46	0.00	-48290.03
24.40	69535.22	0.00	-49785.43
24.50	64426.38	0.00	-50700.13
24.60	59741.33	0.00	-51137.34
24.70	55502.79	0.00	-51201.88
24.80	51716.19	0.00	-50997.02
24.90	48370.52	0.00	-50621.47
25.00	45439.68	0.00	-50166.68
25.10	42884.19	0.00	-49714.48
25.20	40653.21	0.00	-49335.16
25.30	38686.85	0.00	-49085.93
25.40	36918.60	0.00	-49009.93
25.50	35277.90	0.00	-49135.71
25.60	33692.68	0.00	-49477.08
25.70	32091.85	0.00	-50033.55
25.80	30407.65	0.00	-50791.07
25.90	28577.83	0.00	-51723.20
26.00	26547.54	0.00	-52792.60
26.10	24270.97	0.00	-53952.77
26.20	21712.68	0.00	-55149.97
26.30	18848.59	0.00	-56325.33
26.40	15666.57	0.00	-57417.01
26.50	12166.77	0.00	-58362.38
26.60	8361.50	0.00	-59100.16
26.70	4274.87	0.00	-59572.49
26.80	-58.00	0.00	-59726.80
26.90	-4591.98	0.00	-59517.52
27.00	-9273.28	0.00	-58907.57
27.10	-14041.00	0.00	-57869.55
27.20	-18828.89	0.00	-56386.64
27.30	-23567.28	0.00	-54453.20
27.40	-28185.14	0.00	-52075.02
27.50	-32612.12	0.00	-49269.25
27.60	-36780.68	0.00	-46063.97
27.70	-40628.08	0.00	-42497.41
27.80	-44098.31	0.00	-38616.96
27.90	-47143.75	0.00	-34477.74
28.00	-49726.62	0.00	-30141.08
28.10	-51820.15	0.00	-25672.66
28.20	-53409.34	0.00	-21140.58
28.30	-54491.39	0.00	-16613.32
28.40	-55075.64	0.00	-12157.61
28.50	-55183.19	0.00	-7836.42
28.60	-54845.99	0.00	-3706.96
28.70	-54105.62	0.00	181.04
28.80	-53011.66	0.00	3786.88
28.90	-51619.78	0.00	7080.11
29.00	-49989.57	0.00	10041.40
29.10	-48182.21	0.00	12663.00
29.20	-46258.10	0.00	14948.71
29.30	-44274.43	0.00	16913.51
29.40	-42284.31	0.00	18582.65
29.50	-40347.90	0.00	19990.33
29.60	-38502.56	0.00	21178.01
29.70	-36769.99	0.00	22192.39
