Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	330.36	0.00	-1078.26
0.10	134.04	0.00	-1053.83
0.20	-59.63	0.00	-1025.93
0.30	-249.91	0.00	-994.70
0.40	-436.09	0.00	-960.24
0.50	-617.44	0.00	-922.68
0.60	-793.24	0.00	-882.15
0.70	-962.80	0.00	-838.79
0.80	-1125.43	0.00	-792.72
0.90	-1280.47	0.00	-744.09
1.00	-1427.28	0.00	-693.05
1.10	-1565.24	0.00	-639.77
1.20	-1693.78	0.00	-584.42
1.30	-1812.35	0.00	-527.16
1.40	-1920.44	0.00	-468.19
1.50	-2017.60	0.00	-407.72
1.60	-2103.42	0.00	-345.94
1.70	-2177.53	0.00	-283.08
1.80	-2239.64	0.00	-219.38
1.90	-2289.50	0.00	-155.07
2.00	-2326.92	0.00	-90.40
2.10	-2351.80	0.00	-25.64
2.20	-2364.07	0.00	38.96
2.30	-2363.75	0.00	103.12
2.40	-2350.93	0.00	166.57
2.50	-2325.74	0.00	229.02
2.60	-2288.42	0.00	290.20
2.70	-2239.48	0.00	349.84
2.80	-2180.25	0.00	407.64
2.90	-2111.15	0.00	463.35
3.00	-2032.53	0.00	516.71
3.10	-1944.75	0.00	567.44
3.20	-1848.22	0.00	615.32
3.30	-1743.40	0.00	660.11
3.40	-1630.77	0.00	701.59
3.50	-1510.86	0.00	739.57
3.60	-1384.23	0.00	773.86
3.70	-1251.48	0.00	804.30
3.80	-1113.22	0.00	830.75
3.90	-970.11	0.00	853.09
4.00	-822.85	0.00	871.21
4.10	-672.13	0.00	885.05
4.20	-518.69	0.00	894.56
4.30	-363.28	0.00	899.70
4.40	-206.67	0.00	900.48
4.50	-49.62	0.00	896.91
4.60	107.08	0.00	889.03
4.70	262.63	0.00	876.92
4.80	416.25	0.00	860.66
4.90	567.17	0.00	840.35
5.00	714.60	0.00	816.12
5.10	857.80	0.00	788.12
5.20	996.01	0.00	756.50
5.30	1128.53	0.00	721.44
5.40	1254.67	0.00	683.13
5.50	1373.76	0.00	641.77
5.60	1485.18	0.00	597.57
5.70	1588.34	0.00	550.75
5.80	1682.71	0.00	501.53
5.90	1767.78	0.00	450.14
6.00	1843.09	0.00	396.83
6.10	1908.26	0.00	341.83
6.20	1962.93	0.00	285.38
6.30	2006.80	0.00	227.72
6.40	2039.63	0.00	169.10
6.50	2061.37	0.00	109.74
6.60	2072.78	0.00	49.90
6.70	2073.94	0.00	-10.20
6.80	2064.82	0.00	-70.32
6.90	2045.44	0.00	-130.24
7.00	2015.83	0.00	-189.73
7.10	1976.07	0.00	-248.58
7.20	1926.24	0.00	-306.56
7.30	1866.48	0.00	-363.46
7.40	1796.96	0.00	-419.08
7.50	1717.87	0.00	-473.22
7.60	1629.44	0.00	-525.67
7.70	1531.93	0.00	-576.24
7.80	1425.64	0.00	-624.73
7.90	1310.90	0.00	-670.96
8.00	1188.08	0.00	-714.75
8.10	1057.59	0.00	-755.92
8.20	919.86	0.00	-794.29
8.30	775.38	0.00	-829.69
8.40	624.67	0.00	-861.96
8.50	468.27	0.00	-890.94
8.60	306.80	0.00	-916.47
8.70	140.89	0.00	-938.42
8.80	-28.80	0.00	-956.63
8.90	-201.54	0.00	-970.98
9.00	-376.60	0.00	-981.35
9.10	-553.20	0.00	-987.63
9.20	-730.52	0.00	-989.72
9.30	-907.72	0.00	-987.53
9.40	-1083.94	0.00	-980.99
9.50	-1258.28	0.00	-970.04
9.60	-1429.85	0.00	-954.64
9.70	-1597.71	0.00	-934.76
9.80	-1760.95	0.00	-910.40
9.90	-1918.62	0.00	-881.56
10.00	-2069.81	0.00	-848.29
10.10	-2213.58	0.00	-810.62
10.20	-2349.03	0.00	-768.62
10.30	-2475.27	0.00	-722.41
10.40	-2591.45	0.00	-672.08
10.50	-2696.75	0.00	-617.79
10.60	-2790.38	0.00	-559.68
10.70	-2871.60	0.00	-497.94
10.80	-2940.26	0.00	-432.78
10.90	-2997.47	0.00	-364.42
11.00	-3042.95	0.00	-293.10
11.10	-3076.28	0.00	-219.10
11.20	-3097.10	0.00	-142.70
11.30	-3105.08	0.00	-64.20
11.40	-3099.92	0.00	16.08
11.50	-3081.36	0.00	97.80
11.60	-3049.16	0.00	180.62
11.70	-3003.17	0.00	264.17
11.80	-2943.23	0.00	348.08
11.90	-2869.25	0.00	431.98
12.00	-2781.21	0.00	515.48
12.10	-2679.12	0.00	598.17
12.20	-2563.03	0.00	679.68
12.30	-2433.09	0.00	759.59
12.40	-2289.47	0.00	837.52
12.50	-2132.44	0.00	913.07
12.60	-1962.32	0.00	985.84
12.70	-1779.50	0.00	1055.46
12.80	-1584.43	0.00	1121.55
12.90	-1377.68	0.00	1183.73
13.00	-1159.84	0.00	1241.65
13.10	-931.61	0.00	1294.97
13.20	-693.78	0.00	1343.36
13.30	-447.18	0.00	1386.50
13.40	-192.76	0.00	1424.09
13.50	68.48	0.00	1455.85
13.60	335.45	0.00	1481.52
13.70	606.99	0.00	1500.86
13.80	881.86	0.00	1513.67
13.90	1158.77	0.00	1519.73
14.00	1436.36	0.00	1518.89
14.10	1713.21	0.00	1511.01
14.20	1987.85	0.00	1495.96
14.30	2258.78	0.00	1473.67
14.40	2524.45	0.00	1444.07
14.50	2783.31	0.00	1407.15
14.60	3033.77	0.00	1362.91
14.70	3274.26	0.00	1311.38
14.80	3503.21	0.00	1252.64
14.90	3719.06	0.00	1186.81
15.00	3920.30	0.00	1114.02
15.10	4105.45	0.00	1034.47
15.20	4273.11	0.00	948.35
15.30	4421.92	0.00	855.94
15.40	4550.64	0.00	757.53
15.50	4658.09	0.00	653.46
15.60	4743.50	0.00	544.09
15.70	4810.35	0.00	429.83
15.80	4859.53	0.00	311.14
15.90	4890.49	0.00	188.50
16.00	4902.74	0.00	62.43
16.10	4895.79	0.00	-66.50
16.20	4869.21	0.00	-197.72
16.30	4822.61	0.00	-330.60
16.40	4755.65	0.00	-464.49
16.50	4668.06	0.00	-598.71
16.60	4559.61	0.00	-732.56
16.70	4430.16	0.00	-865.32
16.80	4279.63	0.00	-996.26
16.90	4108.04	0.00	-1124.64
17.00	3915.50	0.00	-1249.68
17.10	3702.24	0.00	-1370.64
17.20	3468.57	0.00	-1486.76
17.30	3214.94	0.00	-1597.29
17.40	2941.93	0.00	-1701.50
17.50	2650.26	0.00	-1798.65
17.60	2340.77	0.00	-1888.06
17.70	2014.46	0.00	-1969.06
17.80	1672.49	0.00	-2041.02
17.90	1316.16	0.00	-2103.34
18.00	946.92	0.00	-2155.49
18.10	566.39	0.00	-2196.96
18.20	176.33	0.00	-2227.32
18.30	-221.38	0.00	-2246.19
18.40	-624.68	0.00	-2253.26
18.50	-1031.42	0.00	-2248.30
18.60	-1439.33	0.00	-2231.12
18.70	-1846.05	0.00	-2201.64
18.80	-2249.11	0.00	-2159.85
18.90	-2646.01	0.00	-2105.81
19.00	-3034.21	0.00	-2039.68
19.10	-3411.12	0.00	-1961.69
19.20	-3774.18	0.00	-1872.14
19.30	-4120.87	0.00	-1771.45
19.40	-4448.70	0.00	-1660.09
19.50	-4755.28	0.00	-1538.61
19.60	-5038.32	0.00	-1407.65
19.70	-5295.67	0.00	-1267.90
19.80	-5525.32	0.00	-1120.14
19.90	-5725.47	0.00	-965.20
20.00	-5894.49	0.00	-803.97
20.10	-6031.01	0.00	-637.38
20.20	-6133.85	0.00	-466.43
20.30	-6202.12	0.00	-292.13
20.40	-6235.40	0.00	-115.53
20.50	-6240.29	0.00	62.30
20.60	-6220.11	0.00	240.27
20.70	-6174.81	0.00	417.29
20.80	-6104.44	0.00	592.27
20.90	-6009.10	0.00	764.15
21.00	-5889.01	0.00	931.85
21.10	-5744.44	0.00	1094.36
21.20	-5575.78	0.00	1250.68
21.30	-5383.49	0.00	1399.85
21.40	-5168.15	0.00	1540.99
21.50	-4930.44	0.00	1673.24
21.60	-4671.16	0.00	1795.83
21.70	-4391.20	0.00	1908.04
21.80	-4091.60	0.00	2009.24
21.90	-3773.50	0.00	2098.88
