Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	1889.47	0.00	-47739.28
0.10	-2433.25	0.00	-46618.98
0.20	-6796.87	0.00	-45314.70
0.30	-11171.43	0.00	-43831.58
0.40	-15525.62	0.00	-42175.48
0.50	-19827.12	0.00	-40352.93
0.60	-24042.99	0.00	-38371.12
0.70	-28140.00	0.00	-36237.88
0.80	-32085.07	0.00	-33961.63
0.90	-35845.67	0.00	-31551.35
1.00	-39390.17	0.00	-29016.55
1.10	-42688.28	0.00	-26367.23
1.20	-45711.38	0.00	-23613.85
1.30	-48432.94	0.00	-20767.28
1.40	-50828.78	0.00	-17838.75
1.50	-52877.44	0.00	-14839.82
1.60	-54560.43	0.00	-11782.33
1.70	-55862.45	0.00	-8678.33
1.80	-56771.62	0.00	-5540.09
1.90	-57279.61	0.00	-2379.98
2.00	-57392.96	0.00	789.52
2.10	-57358.34	0.00	3955.91
2.20	-57276.07	0.00	7106.68
2.30	-57142.79	0.00	10229.41
2.40	-56953.27	0.00	13311.77
2.50	-56700.54	0.00	16341.59
2.60	-56376.05	0.00	19306.92
2.70	-55969.87	0.00	22196.05
2.80	-55470.85	0.00	24997.58
2.90	-54866.91	0.00	27700.46
3.00	-54145.30	0.00	30294.02
3.10	-53292.90	0.00	32768.03
3.20	-52296.49	0.00	35112.71
3.30	-51143.10	0.00	37318.82
3.40	-49820.30	0.00	39377.65
3.50	-48316.54	0.00	41281.07
3.60	-46621.43	0.00	43021.57
3.70	-44726.09	0.00	44592.29
3.80	-42623.37	0.00	45987.03
3.90	-40308.15	0.00	47200.27
4.00	-37777.55	0.00	48227.24
4.10	-35031.16	0.00	49063.87
4.20	-32071.15	0.00	49706.87
4.30	-28902.47	0.00	50153.70
4.40	-25532.88	0.00	50402.60
4.50	-21973.02	0.00	50452.58
4.60	-18236.40	0.00	50303.45
4.70	-14339.37	0.00	49955.80
4.80	-10301.01	0.00	49410.99
4.90	-6143.00	0.00	48671.18
5.00	-1889.47	0.00	47739.28
5.10	2433.25	0.00	46618.98
5.20	6796.87	0.00	45314.70
5.30	11171.43	0.00	43831.58
5.40	15525.62	0.00	42175.48
5.50	19827.12	0.00	40352.93
5.60	24042.99	0.00	38371.12
5.70	28140.00	0.00	36237.88
5.80	32085.07	0.00	33961.63
5.90	35845.67	0.00	31551.35
6.00	39390.17	0.00	29016.55
6.10	42688.28	0.00	26367.23
6.20	45711.38	0.00	23613.85
6.30	48432.94	0.00	20767.28
6.40	50828.78	0.00	17838.75
6.50	52877.44	0.00	14839.82
6.60	54560.43	0.00	11782.33
6.70	55862.45	0.00	8678.33
6.80	56771.62	0.00	5540.09
6.90	57279.61	0.00	2379.98
7.00	57392.96	0.00	-789.52
7.10	57358.34	0.00	-3955.91
7.20	57276.07	0.00	-7106.68
7.30	57142.79	0.00	-10229.41
7.40	56953.27	0.00	-13311.77
7.50	56700.54	0.00	-16341.59
7.60	56376.05	0.00	-19306.92
7.70	55969.87	0.00	-22196.05
7.80	55470.85	0.00	-24997.58
7.90	54866.91	0.00	-27700.46
8.00	54145.30	0.00	-30294.02
8.10	53292.90	0.00	-32768.03
8.20	52296.49	0.00	-35112.71
8.30	51143.10	0.00	-37318.82
8.40	49820.30	0.00	-39377.65
8.50	48316.54	0.00	-41281.07
8.60	46621.43	0.00	-43021.57
8.70	44726.09	0.00	-44592.29
8.80	42623.37	0.00	-45987.03
8.90	40308.15	0.00	-47200.27
9.00	37777.55	0.00	-48227.24
9.10	35031.16	0.00	-49063.87
9.20	32071.15	0.00	-49706.87
9.30	28902.47	0.00	-50153.70
9.40	25532.88	0.00	-50402.60
9.50	21973.02	0.00	-50452.58
9.60	18236.40	0.00	-50303.45
9.70	14339.37	0.00	-49955.80
9.80	10301.01	0.00	-49410.99
9.90	6143.00	0.00	-48671.18
10.00	1889.47	0.00	-47739.28
10.10	-2433.25	0.00	-46618.98
10.20	-6796.87	0.00	-45314.70
10.30	-11171.43	0.00	-43831.58
10.40	-15525.62	0.00	-42175.48
10.50	-19827.12	0.00	-40352.93
10.60	-24042.99	0.00	-38371.12
10.70	-28140.00	0.00	-36237.88
10.80	-32085.07	0.00	-33961.63
10.90	-35845.67	0.00	-31551.35
11.00	-39390.17	0.00	-29016.55
11.10	-42688.28	0.00	-26367.23
11.20	-45711.38	0.00	-23613.85
11.30	-48432.94	0.00	-20767.28
11.40	-50828.78	0.00	-17838.75
11.50	-52877.44	0.00	-14839.82
11.60	-54560.43	0.00	-11782.33
11.70	-55862.45	0.00	-8678.33
11.80	-56771.62	0.00	-5540.09
11.90	-57279.61	0.00	-2379.98
12.00	-57392.96	0.00	789.52
12.10	-57358.34	0.00	3955.91
12.20	-57276.07	0.00	7106.68
12.30	-57142.79	0.00	10229.41
12.40	-56953.27	0.00	13311.77
12.50	-56700.54	0.00	16341.59
12.60	-56376.05	0.00	19306.92
12.70	-55969.87	0.00	22196.05
12.80	-55470.85	0.00	24997.58
12.90	-54866.91	0.00	27700.46
13.00	-54145.30	0.00	30294.02
13.10	-53292.90	0.00	32768.03
13.20	-52296.49	0.00	35112.71
13.30	-51143.10	0.00	37318.82
13.40	-49820.30	0.00	39377.65
13.50	-48316.54	0.00	41281.07
13.60	-46621.43	0.00	43021.57
13.70	-44726.09	0.00	44592.29
13.80	-42623.37	0.00	45987.03
13.90	-40308.15	0.00	47200.27
14.00	-37777.55	0.00	48227.24
14.10	-35031.16	0.00	49063.87
14.20	-32071.15	0.00	49706.87
14.30	-28902.47	0.00	50153.70
14.40	-25532.88	0.00	50402.60
14.50	-21973.02	0.00	50452.58
14.60	-18236.40	0.00	50303.45
14.70	-14339.37	0.00	49955.80
14.80	-10301.01	0.00	49410.99
14.90	-6143.00	0.00	48671.18
15.00	-1889.47	0.00	47739.28
15.10	2433.25	0.00	46618.98
15.20	6796.87	0.00	45314.70
15.30	11171.43	0.00	43831.58
15.40	15525.62	0.00	42175.48
15.50	19827.12	0.00	40352.93
15.60	24042.99	0.00	38371.12
15.70	28140.00	0.00	36237.88
15.80	32085.07	0.00	33961.63
15.90	35845.67	0.00	31551.35
16.00	39390.17	0.00	29016.55
16.10	42688.28	0.00	26367.23
