Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	4821.05	0.00	-446.62
0.10	4609.27	0.00	-461.88
0.20	4375.44	0.00	-475.31
0.30	4119.15	0.00	-486.87
0.40	3840.22	0.00	-496.50
0.50	3538.77	0.00	-504.18
0.60	3215.14	0.00	-509.86
0.70	2870.02	0.00	-513.54
0.80	2504.36	0.00	-515.19
0.90	2119.43	0.00	-514.80
1.00	1716.78	0.00	-512.38
1.10	1298.28	0.00	-507.94
1.20	866.04	0.00	-501.50
1.30	422.48	0.00	-493.07
1.40	-29.77	0.00	-482.71
1.50	-487.85	0.00	-470.43
1.60	-948.71	0.00	-456.30
1.70	-1409.13	0.00	-440.37
1.80	-1865.78	0.00	-422.70
1.90	-2315.24	0.00	-403.36
2.00	-2754.03	0.00	-382.43
2.10	-3178.68	0.00	-359.99
2.20	-3585.74	0.00	-336.13
2.30	-3971.84	0.00	-310.95
2.40	-4333.71	0.00	-284.53
2.50	-4668.27	0.00	-257.00
2.60	-4972.60	0.00	-228.45
2.70	-5244.04	0.00	-198.99
2.80	-5480.16	0.00	-168.76
2.90	-5678.87	0.00	-137.85
3.00	-5838.36	0.00	-106.40
3.10	-5957.19	0.00	-74.54
3.20	-6034.28	0.00	-42.37
3.30	-6068.92	0.00	-10.05
3.40	-6069.76	0.00	22.32
3.50	-6063.60	0.00	54.60
3.60	-6052.02	0.00	86.67
3.70	-6034.57	0.00	118.39
3.80	-6010.64	0.00	149.65
3.90	-5979.43	0.00	180.31
4.00	-5939.99	0.00	210.27
4.10	-5891.22	0.00	239.39
4.20	-5831.94	0.00	267.57
4.30	-5760.85	0.00	294.69
4.40	-5676.62	0.00	320.65
4.50	-5577.88	0.00	345.35
4.60	-5463.27	0.00	368.68
4.70	-5331.47	0.00	390.55
4.80	-5181.23	0.00	410.89
4.90	-5011.43	0.00	429.60
5.00	-4821.05	0.00	446.62
5.10	-4609.27	0.00	461.88
5.20	-4375.44	0.00	475.31
5.30	-4119.15	0.00	486.87
5.40	-3840.22	0.00	496.50
5.50	-3538.77	0.00	504.18
5.60	-3215.14	0.00	509.86
5.70	-2870.02	0.00	513.54
5.80	-2504.36	0.00	515.19
5.90	-2119.43	0.00	514.80
6.00	-1716.78	0.00	512.38
6.10	-1298.28	0.00	507.94
6.20	-866.04	0.00	501.50
6.30	-422.48	0.00	493.07
6.40	29.77	0.00	482.71
6.50	487.85	0.00	470.43
6.60	948.71	0.00	456.30
6.70	1409.13	0.00	440.37
6.80	1865.78	0.00	422.70
6.90	2315.24	0.00	403.36
7.00	2754.03	0.00	382.43
7.10	3178.68	0.00	359.99
7.20	3585.74	0.00	336.13
7.30	3971.84	0.00	310.95
7.40	4333.71	0.00	284.53
7.50	4668.27	0.00	257.00
7.60	4972.60	0.00	228.45
7.70	5244.04	0.00	198.99
7.80	5480.16	0.00	168.76
7.90	5678.87	0.00	137.85
8.00	5838.36	0.00	106.40
8.10	5957.19	0.00	74.54
8.20	6034.28	0.00	42.37
8.30	6068.92	0.00	10.05
8.40	6069.76	0.00	-22.32
8.50	6063.60	0.00	-54.60
8.60	6052.02	0.00	-86.67
8.70	6034.57	0.00	-118.39
8.80	6010.64	0.00	-149.65
8.90	5979.43	0.00	-180.31
9.00	5939.99	0.00	-210.27
9.10	5891.22	0.00	-239.39
9.20	5831.94	0.00	-267.57
9.30	5760.85	0.00	-294.69
9.40	5676.62	0.00	-320.65
9.50	5577.88	0.00	-345.35
9.60	5463.27	0.00	-368.68
9.70	5331.47	0.00	-390.55
9.80	5181.23	0.00	-410.89
9.90	5011.43	0.00	-429.60
10.00	4821.05	0.00	-446.62
10.10	4609.27	0.00	-461.88
10.20	4375.44	0.00	-475.31
10.30	4119.15	0.00	-486.87
10.40	3840.22	0.00	-496.50
10.50	3538.77	0.00	-504.18
10.60	3215.14	0.00	-509.86
10.70	2870.02	0.00	-513.54
10.80	2504.36	0.00	-515.19
10.90	2119.43	0.00	-514.80
11.00	1716.78	0.00	-512.38
11.10	1298.28	0.00	-507.94
11.20	866.04	0.00	-501.50
11.30	422.48	0.00	-493.07
11.40	-29.77	0.00	-482.71
11.50	-487.85	0.00	-470.43
11.60	-948.71	0.00	-456.30
11.70	-1409.13	0.00	-440.37
11.80	-1865.78	0.00	-422.70
11.90	-2315.24	0.00	-403.36
12.00	-2754.03	0.00	-382.43
12.10	-3178.68	0.00	-359.99
12.20	-3585.74	0.00	-336.13
12.30	-3971.84	0.00	-310.95
12.40	-4333.71	0.00	-284.53
12.50	-4668.27	0.00	-257.00
12.60	-4972.60	0.00	-228.45
12.70	-5244.04	0.00	-198.99
12.80	-5480.16	0.00	-168.76
12.90	-5678.87	0.00	-137.85
13.00	-5838.36	0.00	-106.40
13.10	-5957.19	0.00	-74.54
13.20	-6034.28	0.00	-42.37
13.30	-6068.92	0.00	-10.05
13.40	-6069.76	0.00	22.32
13.50	-6063.60	0.00	54.60
13.60	-6052.02	0.00	86.67
13.70	-6034.57	0.00	118.39
13.80	-6010.64	0.00	149.65
13.90	-5979.43	0.00	180.31
14.00	-5939.99	0.00	210.27
14.10	-5891.22	0.00	239.39
14.20	-5831.94	0.00	267.57
14.30	-5760.85	0.00	294.69
14.40	-5676.62	0.00	320.65
14.50	-5577.88	0.00	345.35
14.60	-5463.27	0.00	368.68
14.70	-5331.47	0.00	390.55
14.80	-5181.23	0.00	410.89
14.90	-5011.43	0.00	429.60
15.00	-4821.05	0.00	446.62
15.10	-4609.27	0.00	461.88
15.20	-4375.44	0.00	475.31
15.30	-4119.15	0.00	486.87
15.40	-3840.22	0.00	496.50
15.50	-3538.77	0.00	504.18
15.60	-3215.14	0.00	509.86
15.70	-2870.02	0.00	513.54
15.80	-2504.36	0.00	515.19
15.90	-2119.43	0.00	514.80
16.00	-1716.78	0.00	512.38
16.10	-1298.28	0.00	507.94
16.20	-866.04	0.00	501.50
16.30	-422.48	0.00	493.07
16.40	29.77	0.00	482.71
16.50	487.85	0.00	470.43
16.60	948.71	0.00	456.30
16.70	1409.13	0.00	440.37
16.80	1865.78	0.00	422.70
16.90	2315.24	0.00	403.36
17.00	2754.03	0.00	382.43
17.10	3178.68	0.00	359.99
17.20	3585.74	0.00	336.13
17.30	3971.84	0.00	310.95
17.40	4333.71	0.00	284.53
17.50	4668.27	0.00	257.00
17.60	4972.60	0.00	228.45
