Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	7270.08	0.00	-5654.06
0.10	6396.57	0.00	-5718.15
0.20	5482.28	0.00	-5759.67
0.30	4530.10	0.00	-5778.46
0.40	3543.46	0.00	-5774.45
0.50	2526.33	0.00	-5747.65
0.60	1483.18	0.00	-5698.16
0.70	418.97	0.00	-5626.19
0.80	-660.87	0.00	-5532.01
0.90	-1750.53	0.00	-5416.01
1.00	-2843.80	0.00	-5278.62
1.10	-3934.18	0.00	-5120.41
1.20	-5014.91	0.00	-4941.98
1.30	-6079.06	0.00	-4744.05
1.40	-7119.55	0.00	-4527.40
1.50	-8129.29	0.00	-4292.89
1.60	-9101.21	0.00	-4041.43
1.70	-10028.35	0.00	-3774.02
1.80	-10903.92	0.00	-3491.71
1.90	-11721.42	0.00	-3195.63
2.00	-12474.67	0.00	-2886.93
2.10	-13157.89	0.00	-2566.84
2.20	-13765.77	0.00	-2236.63
2.30	-14293.57	0.00	-1897.58
2.40	-14737.10	0.00	-1551.04
2.50	-15092.82	0.00	-1198.39
2.60	-15357.90	0.00	-841.00
2.70	-15530.20	0.00	-480.30
2.80	-15608.32	0.00	-117.70
2.90	-15606.82	0.00	245.37
3.00	-15573.37	0.00	607.47
3.10	-15511.14	0.00	967.16
3.20	-15419.53	0.00	1323.05
3.30	-15297.68	0.00	1673.71
3.40	-15144.51	0.00	2017.76
3.50	-14958.72	0.00	2353.85
3.60	-14738.86	0.00	2680.66
3.70	-14483.35	0.00	2996.88
3.80	-14190.50	0.00	3301.28
3.90	-13858.63	0.00	3592.64
4.00	-13486.03	0.00	3869.83
4.10	-13071.11	0.00	4131.75
4.20	-12612.36	0.00	4377.36
4.30	-12108.49	0.00	4605.69
4.40	-11558.41	0.00	4815.85
4.50	-10961.36	0.00	5007.00
4.60	-10316.88	0.00	5178.40
4.70	-9624.91	0.00	5329.35
4.80	-8885.82	0.00	5459.27
4.90	-8100.44	0.00	5567.65
5.00	-7270.08	0.00	5654.06
5.10	-6396.57	0.00	5718.15
5.20	-5482.28	0.00	5759.67
5.30	-4530.10	0.00	5778.46
5.40	-3543.46	0.00	5774.45
5.50	-2526.33	0.00	5747.65
5.60	-1483.18	0.00	5698.16
5.70	-418.97	0.00	5626.19
5.80	660.87	0.00	5532.01
5.90	1750.53	0.00	5416.01
6.00	2843.80	0.00	5278.62
6.10	3934.18	0.00	5120.41
6.20	5014.91	0.00	4941.98
6.30	6079.06	0.00	4744.05
6.40	7119.55	0.00	4527.40
6.50	8129.29	0.00	4292.89
6.60	9101.21	0.00	4041.43
6.70	10028.35	0.00	3774.02
6.80	10903.92	0.00	3491.71
6.90	11721.42	0.00	3195.63
7.00	12474.67	0.00	2886.93
7.10	13157.89	0.00	2566.84
7.20	13765.77	0.00	2236.63
7.30	14293.57	0.00	1897.58
7.40	14737.10	0.00	1551.04
7.50	15092.82	0.00	1198.39
7.60	15357.90	0.00	841.00
7.70	15530.20	0.00	480.30
7.80	15608.32	0.00	117.70
7.90	15606.82	0.00	-245.37
8.00	15573.37	0.00	-607.47
8.10	15511.14	0.00	-967.16
8.20	15419.53	0.00	-1323.05
8.30	15297.68	0.00	-1673.71
8.40	15144.51	0.00	-2017.76
8.50	14958.72	0.00	-2353.85
8.60	14738.86	0.00	-2680.66
8.70	14483.35	0.00	-2996.88
8.80	14190.50	0.00	-3301.28
8.90	13858.63	0.00	-3592.64
9.00	13486.03	0.00	-3869.83
9.10	13071.11	0.00	-4131.75
9.20	12612.36	0.00	-4377.36
9.30	12108.49	0.00	-4605.69
9.40	11558.41	0.00	-4815.85
9.50	10961.36	0.00	-5007.00
9.60	10316.88	0.00	-5178.40
9.70	9624.91	0.00	-5329.35
9.80	8885.82	0.00	-5459.27
9.90	8100.44	0.00	-5567.65
10.00	7270.08	0.00	-5654.06
10.10	6396.57	0.00	-5718.15
10.20	5482.28	0.00	-5759.67
10.30	4530.10	0.00	-5778.46
10.40	3543.46	0.00	-5774.45
10.50	2526.33	0.00	-5747.65
10.60	1483.18	0.00	-5698.16
10.70	418.97	0.00	-5626.19
10.80	-660.87	0.00	-5532.01
10.90	-1750.53	0.00	-5416.01
11.00	-2843.80	0.00	-5278.62
11.10	-3934.18	0.00	-5120.41
11.20	-5014.91	0.00	-4941.98
11.30	-6079.06	0.00	-4744.05
11.40	-7119.55	0.00	-4527.40
11.50	-8129.29	0.00	-4292.89
11.60	-9101.21	0.00	-4041.43
11.70	-10028.35	0.00	-3774.02
11.80	-10903.92	0.00	-3491.71
11.90	-11721.42	0.00	-3195.63
12.00	-12474.67	0.00	-2886.93
12.10	-13157.89	0.00	-2566.84
12.20	-13765.77	0.00	-2236.63
12.30	-14293.57	0.00	-1897.58
12.40	-14737.10	0.00	-1551.04
12.50	-15092.82	0.00	-1198.39
12.60	-15357.90	0.00	-841.00
12.70	-15530.20	0.00	-480.30
12.80	-15608.32	0.00	-117.70
12.90	-15606.82	0.00	245.37
13.00	-15573.37	0.00	607.47
13.10	-15511.14	0.00	967.16
13.20	-15419.53	0.00	1323.05
13.30	-15297.68	0.00	1673.71
13.40	-15144.51	0.00	2017.76
13.50	-14958.72	0.00	2353.85
13.60	-14738.86	0.00	2680.66
13.70	-14483.35	0.00	2996.88
13.80	-14190.50	0.00	3301.28
13.90	-13858.63	0.00	3592.64
14.00	-13486.03	0.00	3869.83
14.10	-13071.11	0.00	4131.75
14.20	-12612.36	0.00	4377.36
14.30	-12108.49	0.00	4605.69
14.40	-11558.41	0.00	4815.85
14.50	-10961.36	0.00	5007.00
14.60	-10316.88	0.00	5178.40
14.70	-9624.91	0.00	5329.35
