Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-20027.46	0.00	-13828.38
0.10	-21987.13	0.00	-12936.54
0.20	-23838.83	0.00	-11993.65
0.30	-25569.48	0.00	-11003.43
0.40	-27166.69	0.00	-9969.78
0.50	-28618.84	0.00	-8896.79
0.60	-29915.24	0.00	-7788.68
0.70	-31046.25	0.00	-6649.84
0.80	-32003.39	0.00	-5484.75
0.90	-32779.40	0.00	-4298.01
1.00	-33368.39	0.00	-3094.32
1.10	-33765.86	0.00	-1878.41
1.20	-33968.75	0.00	-655.09
1.30	-33988.99	0.00	570.82
1.40	-33919.43	0.00	1794.47
1.50	-33777.40	0.00	3011.05
1.60	-33562.02	0.00	4215.74
1.70	-33272.02	0.00	5403.79
1.80	-32905.74	0.00	6570.51
1.90	-32461.21	0.00	7711.31
2.00	-31936.19	0.00	8821.67
2.10	-31328.26	0.00	9897.21
2.20	-30634.89	0.00	10933.70
2.30	-29853.52	0.00	11927.04
2.40	-28981.69	0.00	12873.30
2.50	-28017.09	0.00	13768.76
2.60	-26957.67	0.00	14609.88
2.70	-25801.78	0.00	15393.35
2.80	-24548.23	0.00	16116.06
2.90	-23196.39	0.00	16775.17
3.00	-21746.27	0.00	17368.07
3.10	-20198.65	0.00	17892.44
3.20	-18555.11	0.00	18346.19
3.30	-16818.12	0.00	18727.53
3.40	-14991.05	0.00	19034.97
3.50	-13078.28	0.00	19267.28
3.60	-11085.19	0.00	19423.55
3.70	-9018.15	0.00	19503.17
3.80	-6884.56	0.00	19505.82
3.90	-4692.82	0.00	19431.49
4.00	-2452.29	0.00	19280.47
4.10	-173.25	0.00	19053.36
4.20	2133.19	0.00	18751.05
4.30	4455.12	0.00	18374.74
4.40	6779.96	0.00	17925.92
4.50	9094.54	0.00	17406.35
4.60	11385.23	0.00	16818.09
4.70	13638.07	0.00	16163.45
4.80	15838.87	0.00	15445.02
4.90	17973.39	0.00	14665.64
5.00	20027.46	0.00	13828.38
5.10	21987.13	0.00	12936.54
5.20	23838.83	0.00	11993.65
5.30	25569.48	0.00	11003.43
5.40	27166.69	0.00	9969.78
5.50	28618.84	0.00	8896.79
5.60	29915.24	0.00	7788.68
5.70	31046.25	0.00	6649.84
5.80	32003.39	0.00	5484.75
5.90	32779.40	0.00	4298.01
6.00	33368.39	0.00	3094.32
6.10	33765.86	0.00	1878.41
6.20	33968.75	0.00	655.09
6.30	33988.99	0.00	-570.82
6.40	33919.43	0.00	-1794.47
6.50	33777.40	0.00	-3011.05
6.60	33562.02	0.00	-4215.74
6.70	33272.02	0.00	-5403.79
6.80	32905.74	0.00	-6570.51
6.90	32461.21	0.00	-7711.31
7.00	31936.19	0.00	-8821.67
7.10	31328.26	0.00	-9897.21
7.20	30634.89	0.00	-10933.70
7.30	29853.52	0.00	-11927.04
7.40	28981.69	0.00	-12873.30
7.50	28017.09	0.00	-13768.76
7.60	26957.67	0.00	-14609.88
7.70	25801.78	0.00	-15393.35
7.80	24548.23	0.00	-16116.06
7.90	23196.39	0.00	-16775.17
8.00	21746.27	0.00	-17368.07
8.10	20198.65	0.00	-17892.44
8.20	18555.11	0.00	-18346.19
8.30	16818.12	0.00	-18727.53
8.40	14991.05	0.00	-19034.97
8.50	13078.28	0.00	-19267.28
8.60	11085.19	0.00	-19423.55
8.70	9018.15	0.00	-19503.17
8.80	6884.56	0.00	-19505.82
8.90	4692.82	0.00	-19431.49
9.00	2452.29	0.00	-19280.47
9.10	173.25	0.00	-19053.36
9.20	-2133.19	0.00	-18751.05
9.30	-4455.12	0.00	-18374.74
9.40	-6779.96	0.00	-17925.92
9.50	-9094.54	0.00	-17406.35
9.60	-11385.23	0.00	-16818.09
9.70	-13638.07	0.00	-16163.45
9.80	-15838.87	0.00	-15445.02
9.90	-17973.39	0.00	-14665.64
10.00	-20027.46	0.00	-13828.38
10.10	-21987.13	0.00	-12936.54
10.20	-23838.83	0.00	-11993.65
10.30	-25569.48	0.00	-11003.43
10.40	-27166.69	0.00	-9969.78
10.50	-28618.84	0.00	-8896.79
10.60	-29915.24	0.00	-7788.68
10.70	-31046.25	0.00	-6649.84
10.80	-32003.39	0.00	-5484.75
10.90	-32779.40	0.00	-4298.01
11.00	-33368.39	0.00	-3094.32
11.10	-33765.86	0.00	-1878.41
11.20	-33968.75	0.00	-655.09
11.30	-33988.99	0.00	570.82
11.40	-33919.43	0.00	1794.47
11.50	-33777.40	0.00	3011.05
11.60	-33562.02	0.00	4215.74
11.70	-33272.02	0.00	5403.79
11.80	-32905.74	0.00	6570.51
11.90	-32461.21	0.00	7711.31
12.00	-31936.19	0.00	8821.67
12.10	-31328.26	0.00	9897.21
12.20	-30634.89	0.00	10933.70
12.30	-29853.52	0.00	11927.04
12.40	-28981.69	0.00	12873.30
12.50	-28017.09	0.00	13768.76
12.60	-26957.67	0.00	14609.88
12.70	-25801.78	0.00	15393.35
12.80	-24548.23	0.00	16116.06
12.90	-23196.39	0.00	16775.17
13.00	-21746.27	0.00	17368.07
13.10	-20198.65	0.00	17892.44
13.20	-18555.11	0.00	18346.19
13.30	-16818.12	0.00	18727.53
13.40	-14991.05	0.00	19034.97
13.50	-13078.28	0.00	19267.28
13.60	-11085.19	0.00	19423.55
13.70	-9018.15	0.00	19503.17
13.80	-6884.56	0.00	19505.82
13.90	-4692.82	0.00	19431.49
14.00	-2452.29	0.00	19280.47
14.10	-173.25	0.00	19053.36
14.20	2133.19	0.00	18751.05
14.30	4455.12	0.00	18374.74
14.40	6779.96	0.00	17925.92
14.50	9094.54	0.00	17406.35
14.60	11385.23	0.00	16818.09
14.70	13638.07	0.00	16163.45
14.80	15838.87	0.00	15445.02
14.90	17973.39	0.00	14665.64
15.00	20027.46	0.00	13828.38
15.10	21987.13	0.00	12936.54
15.20	23838.83	0.00	11993.65
15.30	25569.48	0.00	11003.43
15.40	27166.69	0.00	9969.78
15.50	28618.84	0.00	8896.79
15.60	29915.24	0.00	7788.68
15.70	31046.25	0.00	6649.84
15.80	32003.39	0.00	5484.75
15.90	32779.40	0.00	4298.01
16.00	33368.39	0.00	3094.32
16.10	33765.86	0.00	1878.41
16.20	33968.75	0.00	655.09
16.30	33988.99	0.00	-570.82
16.40	33919.43	0.00	-1794.47
16.50	33777.40	0.00	-3011.05
16.60	33562.02	0.00	-4215.74
16.70	33272.02	0.00	-5403.79
16.80	32905.74	0.00	-6570.51
16.90	32461.21	0.00	-7711.31
17.00	31936.19	0.00	-8821.67
17.10	31328.26	0.00	-9897.21
17.20	30634.89	0.00	-10933.70
17.30	29853.52	0.00	-11927.04
17.40	28981.69	0.00	-12873.30
17.50	28017.09	0.00	-13768.76
17.60	26957.67	0.00	-14609.88
17.70	25801.78	0.00	-15393.35
17.80	24548.23	0.00	-16116.06
