Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	21617.26	0.00	-99969.18
0.10	13319.47	0.00	-99771.91
0.20	4884.99	0.00	-99180.89
0.30	-3649.91	0.00	-98198.45
0.40	-12246.58	0.00	-96828.46
0.50	-20864.24	0.00	-95076.34
0.60	-29460.31	0.00	-92948.99
0.70	-37990.61	0.00	-90454.82
0.80	-46409.79	0.00	-87603.66
0.90	-54671.64	0.00	-84406.77
1.00	-62729.48	0.00	-80876.76
1.10	-70536.59	0.00	-77027.57
1.20	-78046.61	0.00	-72874.39
1.30	-85213.99	0.00	-68433.61
1.40	-91994.39	0.00	-63722.75
1.50	-98345.13	0.00	-58760.41
1.60	-104225.59	0.00	-53566.16
1.70	-109597.64	0.00	-48160.52
1.80	-114426.03	0.00	-42564.81
1.90	-118678.71	0.00	-36801.11
2.00	-122327.21	0.00	-30892.17
2.10	-125346.88	0.00	-24861.32
2.20	-127717.21	0.00	-18732.36
2.30	-129422.02	0.00	-12529.46
2.40	-130449.61	0.00	-6277.12
2.50	-130792.93	0.00	-0.00
2.60	-130620.07	0.00	6277.12
2.70	-130101.16	0.00	12529.46
2.80	-129235.25	0.00	18732.36
2.90	-128020.79	0.00	24861.32
3.00	-126455.73	0.00	30892.17
3.10	-124537.67	0.00	36801.11
3.20	-122263.93	0.00	42564.81
3.30	-119631.80	0.00	48160.52
3.40	-116638.66	0.00	53566.16
3.50	-113282.28	0.00	58760.41
3.60	-109560.98	0.00	63722.75
3.70	-105473.89	0.00	68433.61
3.80	-101021.23	0.00	72874.39
3.90	-96204.52	0.00	77027.57
4.00	-91026.84	0.00	80876.76
4.10	-85493.08	0.00	84406.77
4.20	-79610.16	0.00	87603.66
4.30	-73387.23	0.00	90454.82
4.40	-66835.87	0.00	92948.99
4.50	-59970.23	0.00	95076.34
4.60	-52807.18	0.00	96828.46
4.70	-45366.39	0.00	98198.45
4.80	-37670.39	0.00	99180.89
4.90	-29744.59	0.00	99771.91
5.00	-21617.26	0.00	99969.18
5.10	-13319.47	0.00	99771.91
5.20	-4884.99	0.00	99180.89
5.30	3649.91	0.00	98198.45
5.40	12246.58	0.00	96828.46
5.50	20864.24	0.00	95076.34
5.60	29460.31	0.00	92948.99
5.70	37990.61	0.00	90454.82
5.80	46409.79	0.00	87603.66
5.90	54671.64	0.00	84406.77
6.00	62729.48	0.00	80876.76
6.10	70536.59	0.00	77027.57
6.20	78046.61	0.00	72874.39
6.30	85213.99	0.00	68433.61
6.40	91994.39	0.00	63722.75
6.50	98345.13	0.00	58760.41
6.60	104225.59	0.00	53566.16
6.70	109597.64	0.00	48160.52
6.80	114426.03	0.00	42564.81
6.90	118678.71	0.00	36801.11
7.00	122327.21	0.00	30892.17
7.10	125346.88	0.00	24861.32
7.20	127717.21	0.00	18732.36
7.30	129422.02	0.00	12529.46
7.40	130449.61	0.00	6277.12
7.50	130792.93	0.00	0.00
7.60	130620.07	0.00	-6277.12
7.70	130101.16	0.00	-12529.46
7.80	129235.25	0.00	-18732.36
7.90	128020.79	0.00	-24861.32
8.00	126455.73	0.00	-30892.17
8.10	124537.67	0.00	-36801.11
8.20	122263.93	0.00	-42564.81
8.30	119631.80	0.00	-48160.52
8.40	116638.66	0.00	-53566.16
8.50	113282.28	0.00	-58760.41
8.60	109560.98	0.00	-63722.75
8.70	105473.89	0.00	-68433.61
8.80	101021.23	0.00	-72874.39
8.90	96204.52	0.00	-77027.57
9.00	91026.84	0.00	-80876.76
9.10	85493.08	0.00	-84406.77
9.20	79610.16	0.00	-87603.66
9.30	73387.23	0.00	-90454.82
9.40	66835.87	0.00	-92948.99
9.50	59970.23	0.00	-95076.34
9.60	52807.18	0.00	-96828.46
9.70	45366.39	0.00	-98198.45
9.80	37670.39	0.00	-99180.89
9.90	29744.59	0.00	-99771.91
10.00	21617.26	0.00	-99969.18
10.10	13319.47	0.00	-99771.91
10.20	4884.99	0.00	-99180.89
10.30	-3649.91	0.00	-98198.45
10.40	-12246.58	0.00	-96828.46
10.50	-20864.24	0.00	-95076.34
10.60	-29460.31	0.00	-92948.99
10.70	-37990.61	0.00	-90454.82
10.80	-46409.79	0.00	-87603.66
10.90	-54671.64	0.00	-84406.77
11.00	-62729.48	0.00	-80876.76
11.10	-70536.59	0.00	-77027.57
11.20	-78046.61	0.00	-72874.39
11.30	-85213.99	0.00	-68433.61
11.40	-91994.39	0.00	-63722.75
11.50	-98345.13	0.00	-58760.41
11.60	-104225.59	0.00	-53566.16
11.70	-109597.64	0.00	-48160.52
11.80	-114426.03	0.00	-42564.81
11.90	-118678.71	0.00	-36801.11
12.00	-122327.21	0.00	-30892.17
12.10	-125346.88	0.00	-24861.32
12.20	-127717.21	0.00	-18732.36
12.30	-129422.02	0.00	-12529.46
12.40	-130449.61	0.00	-6277.12
12.50	-130792.93	0.00	-0.00
12.60	-130620.07	0.00	6277.12
12.70	-130101.16	0.00	12529.46
12.80	-129235.25	0.00	18732.36
12.90	-128020.79	0.00	24861.32
13.00	-126455.73	0.00	30892.17
13.10	-124537.67	0.00	36801.11
13.20	-122263.93	0.00	42564.81
13.30	-119631.80	0.00	48160.52
13.40	-116638.66	0.00	53566.16
13.50	-113282.28	0.00	58760.41
13.60	-109560.98	0.00	63722.75
13.70	-105473.89	0.00	68433.61
13.80	-101021.23	0.00	72874.39
13.90	-96204.52	0.00	77027.57
14.00	-91026.84	0.00	80876.76
14.10	-85493.08	0.00	84406.77
14.20	-79610.16	0.00	87603.66
14.30	-73387.23	0.00	90454.82
14.40	-66835.87	0.00	92948.99
14.50	-59970.23	0.00	95076.34
14.60	-52807.18	0.00	96828.46
14.70	-45366.39	0.00	98198.45
14.80	-37670.39	0.00	99180.89
14.90	-29744.59	0.00	99771.91
15.00	-21617.26	0.00	99969.18
15.10	-13319.47	0.00	99771.91
15.20	-4884.99	0.00	99180.89
15.30	3649.91	0.00	98198.45
15.40	12246.58	0.00	96828.46
15.50	20864.24	0.00	95076.34
15.60	29460.31	0.00	92948.99
15.70	37990.61	0.00	90454.82
15.80	46409.79	0.00	87603.66
15.90	54671.64	0.00	84406.77
16.00	62729.48	0.00	80876.76
16.10	70536.59	0.00	77027.57
16.20	78046.61	0.00	72874.39
16.30	85213.99	0.00	68433.61
16.40	91994.39	0.00	63722.75
16.50	98345.13	0.00	58760.41
16.60	104225.59	0.00	53566.16
16.70	109597.64	0.00	48160.52
16.80	114426.03	0.00	42564.81
16.90	118678.71	0.00	36801.11
17.00	122327.21	0.00	30892.17
17.10	125346.88	0.00	24861.32
17.20	127717.21	0.00	18732.36
17.30	129422.02	0.00	12529.46
17.40	130449.61	0.00	6277.12
17.50	130792.93	0.00	0.00
17.60	130620.07	0.00	-6277.12
17.70	130101.16	0.00	-12529.46
17.80	129235.25	0.00	-18732.36
17.90	128020.79	0.00	-24861.32
18.00	126455.73	0.00	-30892.17
18.10	124537.67	0.00	-36801.11
18.20	122263.93	0.00	-42564.81
18.30	119631.80	0.00	-48160.52
18.40	116638.66	0.00	-53566.16
18.50	113282.28	0.00	-58760.41
18.60	109560.98	0.00	-63722.75
18.70	105473.89	0.00	-68433.61
18.80	101021.23	0.00	-72874.39
18.90	96204.52	0.00	-77027.57
19.00	91026.84	0.00	-80876.76
19.10	85493.08	0.00	-84406.77
19.20	79610.16	0.00	-87603.66
19.30	73387.23	0.00	-90454.82
19.40	66835.87	0.00	-92948.99
19.50	59970.23	0.00	-95076.34
19.60	52807.18	0.00	-96828.46
19.70	45366.39	0.00	-98198.45
19.80	37670.39	0.00	-99180.89
19.90	29744.59	0.00	-99771.91
20.00	21617.26	0.00	-99969.18
20.10	13319.47	0.00	-99771.91
20.20	4884.99	0.00	-99180.89
20.30	-3649.91	0.00	-98198.45
20.40	-12246.58	0.00	-96828.46
20.50	-20864.24	0.00	-95076.34
20.60	-29460.31	0.00	-92948.99
20.70	-37990.61	0.00	-90454.82
20.80	-46409.79	0.00	-87603.66
20.90	-54671.64	0.00	-84406.77
21.00	-62729.48	0.00	-80876.76
21.10	-70536.59	0.00	-77027.57
21.20	-78046.61	0.00	-72874.39
21.30	-85213.99	0.00	-68433.61
21.40	-91994.39	0.00	-63722.75
21.50	-98345.13	0.00	-58760.41
21.60	-104225.59	0.00	-53566.16
21.70	-109597.64	0.00	-48160.52
21.80	-114426.03	0.00	-42564.81
21.90	-118678.71	0.00	-36801.11
22.00	-122327.21	0.00	-30892.17
22.10	-125346.88	0.00	-24861.32
22.20	-127717.21	0.00	-18732.36
22.30	-129422.02	0.00	-12529.46
22.40	-130449.61	0.00	-6277.12
22.50	-130792.93	0.00	-0.00
22.60	-130620.07	0.00	6277.12
22.70	-130101.16	0.00	12529.46
22.80	-129235.25	0.00	18732.36
22.90	-128020.79	0.00	24861.32
23.00	-126455.73	0.00	30892.17
23.10	-124537.67	0.00	36801.11
23.20	-122263.93	0.00	42564.81
23.30	-119631.80	0.00	48160.52
23.40	-116638.66	0.00	53566.16
23.50	-113282.28	0.00	58760.41
23.60	-109560.98	0.00	63722.75
23.70	-105473.89	0.00	68433.61
23.80	-101021.23	0.00	72874.39
23.90	-96204.52	0.00	77027.57
24.00	-91026.84	0.00	80876.76
24.10	-85493.08	0.00	84406.77
24.20	-79610.16	0.00	87603.66
24.30	-73387.23	0.00	90454.82
24.40	-66835.87	0.00	92948.99
24.50	-59970.23	0.00	95076.34
24.60	-52807.18	0.00	96828.46
24.70	-45366.39	0.00	98198.45
24.80	-37670.39	0.00	99180.89
24.90	-29744.59	0.00	99771.91
25.00	-21617.26	0.00	99969.18
25.10	-13319.47	0.00	99771.91
25.20	-4884.99	0.00	99180.89
25.30	3649.91	0.00	98198.45
25.40	12246.58	0.00	96828.46
25.50	20864.24	0.00	95076.34
25.60	29460.31	0.00	92948.99
25.70	37990.61	0.00	90454.82
25.80	46409.79	0.00	87603.66
25.90	54671.64	0.00	84406.77
26.00	62729.48	0.00	80876.76
26.10	70536.59	0.00	77027.57
26.20	78046.61	0.00	72874.39
26.30	85213.99	0.00	68433.61
26.40	91994.39	0.00	63722.75
26.50	98345.13	0.00	58760.41
26.60	104225.59	0.00	53566.16
26.70	109597.64	0.00	48160.52
26.80	114426.03	0.00	42564.81
26.90	118678.71	0.00	36801.11
27.00	122327.21	0.00	30892.17
27.10	125346.88	0.00	24861.32
27.20	127717.21	0.00	18732.36
27.30	129422.02	0.00	12529.46
27.40	130449.61	0.00	6277.12
27.50	130792.93	0.00	0.00
27.60	130620.07	0.00	-6277.12
27.70	130101.16	0.00	-12529.46
27.80	129235.25	0.00	-18732.36
27.90	128020.79	0.00	-24861.32
28.00	126455.73	0.00	-30892.17
28.10	124537.67	0.00	-36801.11
28.20	122263.93	0.00	-42564.81
28.30	119631.80	0.00	-48160.52
28.40	116638.66	0.00	-53566.16
28.50	113282.28	0.00	-58760.41
28.60	109560.98	0.00	-63722.75
28.70	105473.89	0.00	-68433.61
28.80	101021.23	0.00	-72874.39
28.90	96204.52	0.00	-77027.57
29.00	91026.84	0.00	-80876.76
29.10	85493.08	0.00	-84406.77
29.20	79610.16	0.00	-87603.66
29.30	73387.23	0.00	-90454.82
29.40	66835.87	0.00	-92948.99
29.50	59970.23	0.00	-95076.34
29.60	52807.18	0.00	-96828.46
29.70	45366.39	0.00	-98198.45
29.80	37670.39	0.00	-99180.89
29.90	29744.59	0.00	-99771.91
30.00	21617.26	0.00	-99969.18
30.10	13319.47	0.00	-99771.91
30.20	4884.99	0.00	-99180.89
30.30	-3649.91	0.00	-98198.45
30.40	-12246.58	0.00	-96828.46
30.50	-20864.24	0.00	-95076.34
30.60	-29460.31	0.00	-92948.99
30.70	-37990.61	0.00	-90454.82
30.80	-46409.79	0.00	-87603.66
30.90	-54671.64	0.00	-84406.77
31.00	-62729.48	0.00	-80876.76
31.10	-70536.59	0.00	-77027.57
31.20	-78046.61	0.00	-72874.39
31.30	-85213.99	0.00	-68433.61
31.40	-91994.39	0.00	-63722.75
31.50	-98345.13	0.00	-58760.41
31.60	-104225.59	0.00	-53566.16
31.70	-109597.64	0.00	-48160.52
31.80	-114426.03	0.00	-42564.81
31.90	-118678.71	0.00	-36801.11
32.00	-122327.21	0.00	-30892.17
32.10	-125346.88	0.00	-24861.32
32.20	-127717.21	0.00	-18732.36
32.30	-129422.02	0.00	-12529.46
32.40	-130449.61	0.00	-6277.12
32.50	-130792.93	0.00	0.00
32.60	-130620.07	0.00	6277.12
32.70	-130101.16	0.00	12529.46
32.80	-129235.25	0.00	18732.36
32.90	-128020.79	0.00	24861.32
33.00	-126455.73	0.00	30892.17
33.10	-124537.67	0.00	36801.11
33.20	-122263.93	0.00	42564.81
33.30	-119631.80	0.00	48160.52
33.40	-116638.66	0.00	53566.16
33.50	-113282.28	0.00	58760.41
33.60	-109560.98	0.00	63722.75
33.70	-105473.89	0.00	68433.61
33.80	-101021.23	0.00	72874.39
33.90	-96204.52	0.00	77027.57
34.00	-91026.84	0.00	80876.76
34.10	-85493.08	0.00	84406.77
34.20	-79610.16	0.00	87603.66
34.30	-73387.23	0.00	90454.82
34.40	-66835.87	0.00	92948.99
34.50	-59970.23	0.00	95076.34
34.60	-52807.18	0.00	96828.46
34.70	-45366.39	0.00	98198.45
34.80	-37670.39	0.00	99180.89
34.90	-29744.59	0.00	99771.91
35.00	-21617.26	0.00	99969.18
35.10	-13319.47	0.00	99771.91
35.20	-4884.99	0.00	99180.89
35.30	3649.91	0.00	98198.45
35.40	12246.58	0.00	96828.46
35.50	20864.24	0.00	95076.34
35.60	29460.31	0.00	92948.99
35.70	37990.61	0.00	90454.82
35.80	46409.79	0.00	87603.66
35.90	54671.64	0.00	84406.77
36.00	62729.48	0.00	80876.76
36.10	70536.59	0.00	77027.57
36.20	78046.61	0.00	72874.39
36.30	85213.99	0.00	68433.61
36.40	91994.39	0.00	63722.75
36.50	98345.13	0.00	58760.41
36.60	104225.59	0.00	53566.16
36.70	109597.64	0.00	48160.52
36.80	114426.03	0.00	42564.81
36.90	118678.71	0.00	36801.11
37.00	122327.21	0.00	30892.17
37.10	125346.88	0.00	24861.32
37.20	127717.21	0.00	18732.36
37.30	129422.02	0.00	12529.46
37.40	130449.61	0.00	6277.12
37.50	130792.93	0.00	0.00
37.60	130620.07	0.00	-6277.12
37.70	130101.16	0.00	-12529.46
37.80	129235.25	0.00	-18732.36
37.90	128020.79	0.00	-24861.32
38.00	126455.73	0.00	-30892.17
38.10	124537.67	0.00	-36801.11
38.20	122263.93	0.00	-42564.81
38.30	119631.80	0.00	-48160.52
38.40	116638.66	0.00	-53566.16
38.50	113282.28	0.00	-58760.41
38.60	109560.98	0.00	-63722.75
38.70	105473.89	0.00	-68433.61
38.80	101021.23	0.00	-72874.39
38.90	96204.52	0.00	-77027.57
39.00	91026.84	0.00	-80876.76
39.10	85493.08	0.00	-84406.77
39.20	79610.16	0.00	-87603.66
39.30	73387.23	0.00	-90454.82
39.40	66835.87	0.00	-92948.99
39.50	59970.23	0.00	-95076.34
39.60	52807.18	0.00	-96828.46
39.70	45366.39	0.00	-98198.45
39.80	37670.39	0.00	-99180.89
39.90	29744.59	0.00	-99771.91
40.00	21617.26	0.00	-99969.18
40.10	13319.47	0.00	-99771.91
40.20	4884.99	0.00	-99180.89
40.30	-3649.91	0.00	-98198.45
40.40	-12246.58	0.00	-96828.46
40.50	-20864.24	0.00	-95076.34
40.60	-29460.31	0.00	-92948.99
40.70	-37990.61	0.00	-90454.82
40.80	-46409.79	0.00	-87603.66
40.90	-54671.64	0.00	-84406.77
41.00	-62729.48	0.00	-80876.76
41.10	-70536.59	0.00	-77027.57
41.20	-78046.61	0.00	-72874.39
41.30	-85213.99	0.00	-68433.61
41.40	-91994.39	0.00	-63722.75
41.50	-98345.13	0.00	-58760.41
41.60	-104225.59	0.00	-53566.16
41.70	-109597.64	0.00	-48160.52
41.80	-114426.03	0.00	-42564.81
41.90	-118678.71	0.00	-36801.11
42.00	-122327.21	0.00	-30892.17
42.10	-125346.88	0.00	-24861.32
42.20	-127717.21	0.00	-18732.36
42.30	-129422.02	0.00	-12529.46
42.40	-130449.61	0.00	-6277.12
42.50	-130792.93	0.00	0.00
42.60	-130620.07	0.00	6277.12
42.70	-130101.16	0.00	12529.46
42.80	-129235.25	0.00	18732.36
42.90	-128020.79	0.00	24861.32
43.00	-126455.73	0.00	30892.17
43.10	-124537.67	0.00	36801.11
43.20	-122263.93	0.00	42564.81
