Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-4955.34	0.00	-5.49
0.10	-4968.52	0.00	30.70
0.20	-4954.64	0.00	66.44
0.30	-4913.99	0.00	101.61
0.40	-4847.00	0.00	136.07
0.50	-4754.74	0.00	169.69
0.60	-4639.13	0.00	202.35
0.70	-4500.86	0.00	233.93
0.80	-4340.67	0.00	264.31
0.90	-4159.33	0.00	293.39
1.00	-3957.71	0.00	321.05
1.10	-3736.78	0.00	347.19
1.20	-3497.53	0.00	371.74
1.30	-3241.07	0.00	394.58
1.40	-2968.56	0.00	415.65
1.50	-2681.23	0.00	434.86
1.60	-2380.37	0.00	452.14
1.70	-2067.33	0.00	467.44
1.80	-1743.54	0.00	480.67
1.90	-1410.48	0.00	491.81
2.00	-1069.65	0.00	500.79
2.10	-722.65	0.00	507.58
2.20	-371.08	0.00	512.15
2.30	-16.60	0.00	514.46
2.40	339.10	0.00	514.51
2.50	694.31	0.00	512.28
2.60	1047.29	0.00	507.76
2.70	1396.30	0.00	500.97
2.80	1739.58	0.00	491.91
2.90	2075.40	0.00	480.61
3.00	2402.00	0.00	467.09
3.10	2717.68	0.00	451.40
3.20	3020.75	0.00	433.57
3.30	3309.56	0.00	413.68
3.40	3582.49	0.00	391.77
3.50	3838.02	0.00	367.93
3.60	4074.65	0.00	342.24
3.70	4290.99	0.00	314.78
3.80	4485.70	0.00	285.65
3.90	4657.56	0.00	254.96
4.00	4805.43	0.00	222.83
4.10	4928.30	0.00	189.36
4.20	5025.78	0.00	154.70
4.30	5098.61	0.00	118.98
4.40	5146.29	0.00	82.33
4.50	5168.33	0.00	44.91
4.60	5164.33	0.00	6.86
4.70	5133.98	0.00	-31.66
4.80	5077.08	0.00	-70.49
4.90	4993.50	0.00	-109.48
5.00	4883.25	0.00	-148.45
5.10	4746.41	0.00	-187.23
5.20	4583.19	0.00	-225.68
5.30	4393.88	0.00	-263.60
5.40	4178.90	0.00	-300.84
5.50	3938.79	0.00	-337.24
5.60	3674.19	0.00	-372.61
5.70	3385.85	0.00	-406.81
5.80	3074.64	0.00	-439.67
5.90	2741.58	0.00	-471.04
6.00	2387.76	0.00	-500.75
6.10	2014.41	0.00	-528.66
6.20	1622.90	0.00	-554.63
6.30	1214.69	0.00	-578.52
6.40	791.36	0.00	-600.18
6.50	354.61	0.00	-619.50
6.60	-93.74	0.00	-636.36
6.70	-551.78	0.00	-650.63
6.80	-1017.49	0.00	-662.22
6.90	-1488.75	0.00	-671.02
7.00	-1963.35	0.00	-676.95
7.10	-2439.02	0.00	-679.91
7.20	-2913.38	0.00	-679.85
7.30	-3384.02	0.00	-676.69
7.40	-3848.45	0.00	-670.39
7.50	-4304.15	0.00	-660.89
