Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-4111.57	0.00	-124.41
0.10	-4140.68	0.00	-8.40
0.20	-4147.50	0.00	106.46
0.30	-4132.20	0.00	219.73
0.40	-4095.10	0.00	330.99
0.50	-4036.56	0.00	439.83
0.60	-3957.88	0.00	545.84
0.70	-3860.50	0.00	648.67
0.80	-3744.94	0.00	747.96
0.90	-3611.81	0.00	843.35
1.00	-3461.74	0.00	934.54
1.10	-3295.45	0.00	1021.22
1.20	-3113.69	0.00	1103.09
1.30	-2917.27	0.00	1179.89
1.40	-2707.05	0.00	1251.35
1.50	-2483.95	0.00	1317.25
1.60	-2248.92	0.00	1377.36
1.70	-2002.98	0.00	1431.47
1.80	-1747.18	0.00	1479.39
1.90	-1482.63	0.00	1520.95
2.00	-1210.47	0.00	1555.99
2.10	-931.90	0.00	1584.36
2.20	-648.13	0.00	1605.96
2.30	-360.45	0.00	1620.67
2.40	-70.15	0.00	1628.41
2.50	221.44	0.00	1629.11
2.60	512.98	0.00	1622.72
2.70	803.07	0.00	1609.24
2.80	1090.33	0.00	1588.65
2.90	1373.36	0.00	1560.98
3.00	1650.74	0.00	1526.28
3.10	1921.08	0.00	1484.63
3.20	2182.99	0.00	1436.12
3.30	2435.06	0.00	1380.88
3.40	2675.97	0.00	1319.07
3.50	2904.37	0.00	1250.87
3.60	3118.99	0.00	1176.50
3.70	3318.59	0.00	1096.20
3.80	3501.99	0.00	1010.23
3.90	3668.07	0.00	918.90
4.00	3815.79	0.00	822.54
4.10	3944.17	0.00	721.49
4.20	4052.35	0.00	616.13
4.30	4139.54	0.00	506.88
4.40	4206.25	0.00	394.16
4.50	4252.62	0.00	278.41
4.60	4278.22	0.00	160.11
4.70	4282.70	0.00	39.74
4.80	4265.79	0.00	-82.20
4.90	4227.29	0.00	-205.18
5.00	4167.08	0.00	-328.68
5.10	4085.13	0.00	-452.18
5.20	3981.48	0.00	-575.12
5.30	3856.27	0.00	-696.97
5.40	3709.74	0.00	-817.19
5.50	3542.18	0.00	-935.22
5.60	3354.02	0.00	-1050.53
5.70	3145.74	0.00	-1162.60
5.80	2917.94	0.00	-1270.90
5.90	2671.30	0.00	-1374.92
6.00	2406.60	0.00	-1474.16
6.10	2124.72	0.00	-1568.15
6.20	1826.63	0.00	-1656.42
6.30	1513.38	0.00	-1738.52
6.40	1186.13	0.00	-1814.02
6.50	846.12	0.00	-1882.53
6.60	494.70	0.00	-1943.65
6.70	133.27	0.00	-1997.04
6.80	-236.65	0.00	-2042.35
6.90	-613.49	0.00	-2079.27
7.00	-995.59	0.00	-2107.52
7.10	-1381.21	0.00	-2126.85
7.20	-1768.57	0.00	-2137.03
7.30	-2155.81	0.00	-2137.84
7.40	-2541.03	0.00	-2129.12
7.50	-2922.29	0.00	-2110.72
7.60	-3297.60	0.00	-2082.54
7.70	-3664.95	0.00	-2044.48
7.80	-4022.32	0.00	-1996.49
7.90	-4367.69	0.00	-1938.56
8.00	-4699.01	0.00	-1870.71
8.10	-5014.28	0.00	-1792.98
8.20	-5311.51	0.00	-1705.47
8.30	-5588.76	0.00	-1608.31
8.40	-5844.13	0.00	-1501.65
8.50	-6075.78	0.00	-1385.71
8.60	-6281.97	0.00	-1260.75
8.70	-6461.04	0.00	-1127.06
8.80	-6613.05	0.00	-984.99
8.90	-6739.65	0.00	-834.93
9.00	-6839.82	0.00	-677.32
9.10	-6912.55	0.00	-512.65
9.20	-6956.87	0.00	-341.48
9.30	-6971.89	0.00	-164.39
9.40	-6956.79	0.00	17.96
9.50	-6910.85	0.00	204.86
9.60	-6833.41	0.00	395.57
9.70	-6723.92	0.00	589.28
9.80	-6581.94	0.00	785.12
9.90	-6407.12	0.00	982.18
10.00	-6199.27	0.00	1179.53
10.10	-5958.31	0.00	1376.16
10.20	-5684.30	0.00	1571.03
10.30	-5377.46	0.00	1763.08
10.40	-5038.20	0.00	1951.22
10.50	-4667.07	0.00	2134.31
10.60	-4264.83	0.00	2311.22
10.70	-3832.42	0.00	2480.80
10.80	-3371.00	0.00	2641.89
10.90	-2881.94	0.00	2793.36
11.00	-2366.81	0.00	2934.06
11.10	-1827.42	0.00	3062.88
11.20	-1265.80	0.00	3178.74
11.30	-684.19	0.00	3280.60
11.40	-85.09	0.00	3367.48
11.50	528.82	0.00	3438.44
11.60	1154.62	0.00	3492.63
11.70	1789.22	0.00	3529.27
11.80	2429.30	0.00	3547.65
11.90	3071.41	0.00	3547.20
12.00	3711.92	0.00	3527.41
12.10	4347.07	0.00	3487.92
12.20	4973.00	0.00	3428.45
12.30	5585.77	0.00	3348.89
12.40	6181.39	0.00	3249.23
12.50	6755.85	0.00	3129.61
12.60	7305.14	0.00	2990.30
12.70	7825.34	0.00	2831.70
12.80	8312.59	0.00	2654.39
12.90	8763.16	0.00	2459.05
13.00	9173.49	0.00	2246.51
13.10	9540.20	0.00	2017.76
13.20	9860.19	0.00	1773.88
