Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	28799.76	0.00	-61321.26
0.10	24093.66	0.00	-60789.51
0.20	19162.10	0.00	-60017.85
0.30	14035.03	0.00	-59009.33
0.40	8746.18	0.00	-57767.93
0.50	3332.73	0.00	-56298.54
0.60	-2165.10	0.00	-54606.97
0.70	-7704.52	0.00	-52699.89
0.80	-13240.64	0.00	-50584.83
0.90	-18727.04	0.00	-48270.13
1.00	-24116.35	0.00	-45764.93
1.10	-29360.79	0.00	-43079.12
1.20	-34412.83	0.00	-40223.30
1.30	-39225.76	0.00	-37208.73
1.40	-43754.35	0.00	-34047.32
1.50	-47955.39	0.00	-30751.54
1.60	-51788.27	0.00	-27334.39
1.70	-55215.54	0.00	-23809.37
1.80	-58203.41	0.00	-20190.38
1.90	-60722.16	0.00	-16491.72
2.00	-62746.60	0.00	-12727.96
2.10	-64256.37	0.00	-8913.98
2.20	-65236.22	0.00	-5064.81
2.30	-65676.24	0.00	-1195.66
2.40	-65708.44	0.00	2678.21
2.50	-65738.56	0.00	6541.51
2.60	-65789.69	0.00	10379.00
2.70	-65854.32	0.00	14175.52
2.80	-65921.72	0.00	17916.10
2.90	-65978.11	0.00	21585.97
3.00	-66006.96	0.00	25170.66
3.10	-65989.32	0.00	28656.00
3.20	-65904.14	0.00	32028.26
3.30	-65728.76	0.00	35274.11
3.40	-65439.28	0.00	38380.75
3.50	-65011.13	0.00	41335.92
3.60	-64419.48	0.00	44127.96
3.70	-63639.84	0.00	46745.84
3.80	-62648.53	0.00	49179.24
3.90	-61423.20	0.00	51418.56
4.00	-59943.36	0.00	53454.94
4.10	-58190.82	0.00	55280.37
4.20	-56150.17	0.00	56887.62
4.30	-53809.20	0.00	58270.37
4.40	-51159.23	0.00	59423.15
4.50	-48195.46	0.00	60341.42
4.60	-44917.21	0.00	61021.54
4.70	-41328.15	0.00	61460.84
4.80	-37436.37	0.00	61657.59
4.90	-33254.53	0.00	61611.00
5.00	-28799.76	0.00	61321.26
5.10	-24093.66	0.00	60789.51
5.20	-19162.10	0.00	60017.85
5.30	-14035.03	0.00	59009.33
5.40	-8746.18	0.00	57767.93
5.50	-3332.73	0.00	56298.54
5.60	2165.10	0.00	54606.97
5.70	7704.52	0.00	52699.89
5.80	13240.64	0.00	50584.83
5.90	18727.04	0.00	48270.13
6.00	24116.35	0.00	45764.93
6.10	29360.79	0.00	43079.12
6.20	34412.83	0.00	40223.30
6.30	39225.76	0.00	37208.73
6.40	43754.35	0.00	34047.32
6.50	47955.39	0.00	30751.54
6.60	51788.27	0.00	27334.39
6.70	55215.54	0.00	23809.37
6.80	58203.41	0.00	20190.38
6.90	60722.16	0.00	16491.72
7.00	62746.60	0.00	12727.96
7.10	64256.37	0.00	8913.98
7.20	65236.22	0.00	5064.81
7.30	65676.24	0.00	1195.66
7.40	65708.44	0.00	-2678.21
7.50	65738.56	0.00	-6541.51
7.60	65789.69	0.00	-10379.00
7.70	65854.32	0.00	-14175.52
7.80	65921.72	0.00	-17916.10
7.90	65978.11	0.00	-21585.97
8.00	66006.96	0.00	-25170.66
8.10	65989.32	0.00	-28656.00
8.20	65904.14	0.00	-32028.26
8.30	65728.76	0.00	-35274.11
8.40	65439.28	0.00	-38380.75
8.50	65011.13	0.00	-41335.92
8.60	64419.48	0.00	-44127.96
8.70	63639.84	0.00	-46745.84
8.80	62648.53	0.00	-49179.24
8.90	61423.20	0.00	-51418.56
9.00	59943.36	0.00	-53454.94
9.10	58190.82	0.00	-55280.37
9.20	56150.17	0.00	-56887.62
9.30	53809.20	0.00	-58270.37
9.40	51159.23	0.00	-59423.15
9.50	48195.46	0.00	-60341.42
9.60	44917.21	0.00	-61021.54
9.70	41328.15	0.00	-61460.84
9.80	37436.37	0.00	-61657.59
9.90	33254.53	0.00	-61611.00
