Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	23023.23	0.00	-29845.00
0.10	20862.06	0.00	-30352.93
0.20	18578.98	0.00	-30741.07
0.30	16179.57	0.00	-31007.88
0.40	13670.91	0.00	-31152.33
0.50	11061.59	0.00	-31173.83
0.60	8361.73	0.00	-31072.30
0.70	5582.88	0.00	-30848.14
0.80	2738.04	0.00	-30502.24
0.90	-158.50	0.00	-30035.96
1.00	-3091.21	0.00	-29451.14
1.10	-6043.47	0.00	-28750.09
1.20	-8997.72	0.00	-27935.58
1.30	-11935.60	0.00	-27010.82
1.40	-14838.16	0.00	-25979.46
1.50	-17686.00	0.00	-24845.57
1.60	-20459.55	0.00	-23613.63
1.70	-23139.20	0.00	-22288.49
1.80	-25705.55	0.00	-20875.39
1.90	-28139.63	0.00	-19379.91
2.00	-30423.11	0.00	-17807.94
2.10	-32538.50	0.00	-16165.70
2.20	-34469.37	0.00	-14459.65
2.30	-36200.51	0.00	-12696.54
2.40	-37718.16	0.00	-10883.32
2.50	-39010.13	0.00	-9027.15
2.60	-40065.95	0.00	-7135.35
2.70	-40877.04	0.00	-5215.40
2.80	-41436.74	0.00	-3274.86
2.90	-41740.47	0.00	-1321.40
3.00	-41795.68	0.00	637.28
3.10	-41737.06	0.00	2593.45
3.20	-41606.76	0.00	4539.37
3.30	-41403.26	0.00	6467.39
3.40	-41124.29	0.00	8369.88
3.50	-40766.87	0.00	10239.33
3.60	-40327.37	0.00	12068.38
3.70	-39801.59	0.00	13849.80
3.80	-39184.92	0.00	15576.56
3.90	-38472.43	0.00	17241.85
4.00	-37659.01	0.00	18839.09
4.10	-36739.51	0.00	20361.98
4.20	-35708.90	0.00	21804.51
4.30	-34562.44	0.00	23160.99
4.40	-33295.80	0.00	24426.07
4.50	-31905.26	0.00	25594.74
4.60	-30387.82	0.00	26662.41
4.70	-28741.40	0.00	27624.85
4.80	-26964.90	0.00	28478.26
4.90	-25058.40	0.00	29219.29
5.00	-23023.23	0.00	29845.00
5.10	-20862.06	0.00	30352.93
5.20	-18578.98	0.00	30741.07
5.30	-16179.57	0.00	31007.88
5.40	-13670.91	0.00	31152.33
5.50	-11061.59	0.00	31173.83
5.60	-8361.73	0.00	31072.30
5.70	-5582.88	0.00	30848.14
5.80	-2738.04	0.00	30502.24
5.90	158.50	0.00	30035.96
6.00	3091.21	0.00	29451.14
6.10	6043.47	0.00	28750.09
6.20	8997.72	0.00	27935.58
6.30	11935.60	0.00	27010.82
6.40	14838.16	0.00	25979.46
6.50	17686.00	0.00	24845.57
6.60	20459.55	0.00	23613.63
6.70	23139.20	0.00	22288.49
6.80	25705.55	0.00	20875.39
6.90	28139.63	0.00	19379.91
7.00	30423.11	0.00	17807.94
7.10	32538.50	0.00	16165.70
7.20	34469.37	0.00	14459.65
7.30	36200.51	0.00	12696.54
7.40	37718.16	0.00	10883.32
7.50	39010.13	0.00	9027.15
7.60	40065.95	0.00	7135.35
7.70	40877.04	0.00	5215.40
7.80	41436.74	0.00	3274.86
7.90	41740.47	0.00	1321.40
8.00	41795.68	0.00	-637.28
8.10	41737.06	0.00	-2593.45
8.20	41606.76	0.00	-4539.37
8.30	41403.26	0.00	-6467.39
8.40	41124.29	0.00	-8369.88
8.50	40766.87	0.00	-10239.33
8.60	40327.37	0.00	-12068.38
8.70	39801.59	0.00	-13849.80
8.80	39184.92	0.00	-15576.56
8.90	38472.43	0.00	-17241.85
9.00	37659.01	0.00	-18839.09
9.10	36739.51	0.00	-20361.98
9.20	35708.90	0.00	-21804.51
9.30	34562.44	0.00	-23160.99
9.40	33295.80	0.00	-24426.07
9.50	31905.26	0.00	-25594.74
9.60	30387.82	0.00	-26662.41
9.70	28741.40	0.00	-27624.85
9.80	26964.90	0.00	-28478.26
9.90	25058.40	0.00	-29219.29
10.00	23023.23	0.00	-29845.00
10.10	20862.06	0.00	-30352.93
10.20	18578.98	0.00	-30741.07
10.30	16179.57	0.00	-31007.88
10.40	13670.91	0.00	-31152.33
10.50	11061.59	0.00	-31173.83
10.60	8361.73	0.00	-31072.30
10.70	5582.88	0.00	-30848.14
10.80	2738.04	0.00	-30502.24
10.90	-158.50	0.00	-30035.96
11.00	-3091.21	0.00	-29451.14
11.10	-6043.47	0.00	-28750.09
11.20	-8997.72	0.00	-27935.58
11.30	-11935.60	0.00	-27010.82
11.40	-14838.16	0.00	-25979.46
11.50	-17686.00	0.00	-24845.57
11.60	-20459.55	0.00	-23613.63
11.70	-23139.20	0.00	-22288.49
11.80	-25705.55	0.00	-20875.39
11.90	-28139.63	0.00	-19379.91
12.00	-30423.11	0.00	-17807.94
12.10	-32538.50	0.00	-16165.70
12.20	-34469.37	0.00	-14459.65
12.30	-36200.51	0.00	-12696.54
12.40	-37718.16	0.00	-10883.32
12.50	-39010.13	0.00	-9027.15
12.60	-40065.95	0.00	-7135.35
12.70	-40877.04	0.00	-5215.40
12.80	-41436.74	0.00	-3274.86
12.90	-41740.47	0.00	-1321.40
13.00	-41795.68	0.00	637.28
13.10	-41737.06	0.00	2593.45
13.20	-41606.76	0.00	4539.37
13.30	-41403.26	0.00	6467.39
13.40	-41124.29	0.00	8369.88
13.50	-40766.87	0.00	10239.33
13.60	-40327.37	0.00	12068.38
13.70	-39801.59	0.00	13849.80
13.80	-39184.92	0.00	15576.56
13.90	-38472.43	0.00	17241.85
14.00	-37659.01	0.00	18839.09
14.10	-36739.51	0.00	20361.98
14.20	-35708.90	0.00	21804.51
14.30	-34562.44	0.00	23160.99
14.40	-33295.80	0.00	24426.07
14.50	-31905.26	0.00	25594.74
14.60	-30387.82	0.00	26662.41
14.70	-28741.40	0.00	27624.85
14.80	-26964.90	0.00	28478.26
14.90	-25058.40	0.00	29219.29
15.00	-23023.23	0.00	29845.00
15.10	-20862.06	0.00	30352.93
15.20	-18578.98	0.00	30741.07
15.30	-16179.57	0.00	31007.88
15.40	-13670.91	0.00	31152.33
15.50	-11061.59	0.00	31173.83
15.60	-8361.73	0.00	31072.30
15.70	-5582.88	0.00	30848.14
15.80	-2738.04	0.00	30502.24
15.90	158.50	0.00	30035.96
16.00	3091.21	0.00	29451.14
16.10	6043.47	0.00	28750.09
16.20	8997.72	0.00	27935.58
16.30	11935.60	0.00	27010.82
16.40	14838.16	0.00	25979.46
16.50	17686.00	0.00	24845.57
16.60	20459.55	0.00	23613.63
16.70	23139.20	0.00	22288.49
16.80	25705.55	0.00	20875.39
16.90	28139.63	0.00	19379.91
17.00	30423.11	0.00	17807.94
17.10	32538.50	0.00	16165.70
17.20	34469.37	0.00	14459.65
17.30	36200.51	0.00	12696.54
17.40	37718.16	0.00	10883.32
17.50	39010.13	0.00	9027.15
17.60	40065.95	0.00	7135.35
17.70	40877.04	0.00	5215.40
17.80	41436.74	0.00	3274.86
17.90	41740.47	0.00	1321.40
18.00	41795.68	0.00	-637.28
18.10	41737.06	0.00	-2593.45
18.20	41606.76	0.00	-4539.37
18.30	41403.26	0.00	-6467.39
18.40	41124.29	0.00	-8369.88
18.50	40766.87	0.00	-10239.33
18.60	40327.37	0.00	-12068.38
18.70	39801.59	0.00	-13849.80
18.80	39184.92	0.00	-15576.56
