Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-8640.43	0.00	-7938.52
0.10	-9407.94	0.00	-7119.61
0.20	-10086.08	0.00	-6239.69
0.30	-10666.46	0.00	-5308.86
0.40	-11142.15	0.00	-4337.97
0.50	-11507.86	0.00	-3338.50
0.60	-11760.04	0.00	-2322.29
0.70	-11896.96	0.00	-1301.39
0.80	-11918.74	0.00	-287.81
0.90	-11827.33	0.00	706.70
1.00	-11626.47	0.00	1670.79
1.10	-11321.91	0.00	2593.81
1.20	-10929.81	0.00	3465.89
1.30	-10461.43	0.00	4278.18
1.40	-9924.48	0.00	5022.96
1.50	-9327.45	0.00	5693.77
1.60	-8679.40	0.00	6285.51
1.70	-7989.89	0.00	6794.49
1.80	-7268.74	0.00	7218.52
1.90	-6525.93	0.00	7556.85
2.00	-5771.38	0.00	7810.19
2.10	-5014.81	0.00	7980.65
2.20	-4265.53	0.00	8071.67
2.30	-3532.32	0.00	8087.91
2.40	-2823.21	0.00	8035.13
2.50	-2145.40	0.00	7920.03
2.60	-1505.10	0.00	7750.09
2.70	-907.43	0.00	7533.41
2.80	-356.31	0.00	7278.48
2.90	145.53	0.00	6994.03
3.00	596.65	0.00	6688.83
3.10	996.87	0.00	6371.45
3.20	1347.21	0.00	6050.13
3.30	1649.89	0.00	5732.57
3.40	1908.21	0.00	5425.79
3.50	2126.43	0.00	5135.96
3.60	2309.67	0.00	4868.29
3.70	2463.73	0.00	4626.94
3.80	2594.93	0.00	4414.90
3.90	2709.92	0.00	4234.00
4.00	2815.52	0.00	4084.84
4.10	2918.49	0.00	3966.80
4.20	3025.38	0.00	3878.09
4.30	3142.34	0.00	3815.79
4.40	3274.90	0.00	3775.96
4.50	3427.88	0.00	3753.72
4.60	3605.22	0.00	3743.36
4.70	3809.84	0.00	3738.57
4.80	4043.56	0.00	3732.50
4.90	4307.03	0.00	3718.00
5.00	4599.68	0.00	3687.80
5.10	4919.69	0.00	3634.67
5.20	5264.03	0.00	3551.60
5.30	5628.47	0.00	3432.05
5.40	6007.69	0.00	3270.03
5.50	6395.32	0.00	3060.33
5.60	6784.14	0.00	2798.65
5.70	7166.17	0.00	2481.72
5.80	7534.28	0.00	2107.39
5.90	7884.28	0.00	1674.75
6.00	8208.26	0.00	1184.17
6.10	8497.94	0.00	637.30
6.20	8745.22	0.00	37.10
6.30	8942.28	0.00	-612.21
6.40	9081.75	0.00	-1305.19
6.50	9156.90	0.00	-2035.30
6.60	9161.74	0.00	-2794.97
6.70	9091.19	0.00	-3575.76
6.80	8941.14	0.00	-4368.51
6.90	8708.61	0.00	-5163.52
7.00	8391.78	0.00	-5950.70
7.10	7990.07	0.00	-6719.81
7.20	7504.21	0.00	-7460.62
7.30	6936.20	0.00	-8163.13
7.40	6289.34	0.00	-8817.74
7.50	5568.19	0.00	-9415.47
7.60	4778.54	0.00	-9948.09
7.70	3927.29	0.00	-10408.31
7.80	3022.41	0.00	-10789.90
7.90	2072.75	0.00	-11087.79
8.00	1087.94	0.00	-11298.19
8.10	78.24	0.00	-11418.62
8.20	-945.69	0.00	-11447.99
8.30	-1972.91	0.00	-11386.52
8.40	-2992.47	0.00	-11235.81
8.50	-3993.55	0.00	-10998.72
8.60	-4965.69	0.00	-10679.33
8.70	-5898.99	0.00	-10282.82
8.80	-6784.27	0.00	-9815.35
8.90	-7613.26	0.00	-9283.92
9.00	-8378.71	0.00	-8696.20
9.10	-9074.55	0.00	-8060.38
9.20	-9695.97	0.00	-7384.97
9.30	-10239.47	0.00	-6678.64
9.40	-10702.89	0.00	-5950.02
9.50	-11085.42	0.00	-5207.53
9.60	-11387.56	0.00	-4459.24
9.70	-11611.03	0.00	-3712.66
9.80	-11758.70	0.00	-2974.65
9.90	-11834.45	0.00	-2251.28
10.00	-11843.02	0.00	-1547.72
10.10	-11794.50	0.00	-868.19
10.20	-11705.00	0.00	-215.87
10.30	-11580.75	0.00	407.08
10.40	-11427.56	0.00	999.57
10.50	-11251.06	0.00	1561.52
10.60	-11056.54	0.00	2093.84
10.70	-10848.86	0.00	2598.33
10.80	-10632.30	0.00	3077.61
10.90	-10410.46	0.00	3535.02
11.00	-10186.19	0.00	3974.46
11.10	-9961.49	0.00	4400.29
11.20	-9737.48	0.00	4817.13
11.30	-9514.34	0.00	5229.76
11.40	-9291.30	0.00	5642.94
11.50	-9066.68	0.00	6061.21
11.60	-8837.84	0.00	6488.83
11.70	-8601.30	0.00	6929.51
11.80	-8352.76	0.00	7386.39
11.90	-8087.19	0.00	7861.84
12.00	-7798.96	0.00	8357.35
12.10	-7481.92	0.00	8873.49
12.20	-7129.56	0.00	9409.79
12.30	-6735.14	0.00	9964.70
12.40	-6291.86	0.00	10535.54
12.50	-5792.99	0.00	11118.56
12.60	-5232.09	0.00	11708.84
12.70	-4603.17	0.00	12300.45
12.80	-3900.84	0.00	12886.40
12.90	-3120.52	0.00	13458.80
13.00	-2258.58	0.00	14008.93
13.10	-1312.55	0.00	14527.34
13.20	-281.25	0.00	15004.02
13.30	835.08	0.00	15428.54
13.40	2034.62	0.00	15790.21
13.50	3313.87	0.00	16078.26
13.60	4667.58	0.00	16282.01
13.70	6088.65	0.00	16391.10
13.80	7568.18	0.00	16395.62
13.90	9095.36	0.00	16286.33
14.00	10657.63	0.00	16054.86
14.10	12240.68	0.00	15693.86
14.20	13828.59	0.00	15197.19
14.30	15404.03	0.00	14560.05
14.40	16948.40	0.00	13779.15
14.50	18442.14	0.00	12852.81
14.60	19864.96	0.00	11781.06
14.70	21196.20	0.00	10565.73
14.80	22415.14	0.00	9210.52
14.90	23501.41	0.00	7720.97
15.00	24435.33	0.00	6104.54
15.10	25233.26	0.00	4370.50
15.20	25914.73	0.00	2529.95
15.30	26469.11	0.00	595.71
15.40	26886.15	0.00	-1417.81
15.50	27156.04	0.00	-3494.72
15.60	27269.51	0.00	-5617.80
15.70	27217.92	0.00	-7768.70
15.80	26993.43	0.00	-9928.14
15.90	26589.04	0.00	-12076.11
16.00	25998.85	0.00	-14192.11
16.10	25218.14	0.00	-16255.43
16.20	24243.60	0.00	-18245.34
16.30	23073.53	0.00	-20141.37
16.40	21708.00	0.00	-21923.62
16.50	20149.07	0.00	-23572.91
16.60	18400.95	0.00	-25071.14
16.70	16470.18	0.00	-26401.44
16.80	14365.78	0.00	-27548.45
16.90	12099.30	0.00	-28498.50
17.00	9684.92	0.00	-29239.82
17.10	7139.44	0.00	-29762.66
17.20	4482.20	0.00	-30059.50
17.30	1735.01	0.00	-30125.11
17.40	-1078.10	0.00	-29956.64
17.50	-3931.08	0.00	-29553.70
17.60	-6796.19	0.00	-28918.36
17.70	-9644.39	0.00	-28055.13
17.80	-12445.76	0.00	-26970.94
17.90	-15169.98	0.00	-25675.05
18.00	-17786.82	0.00	-24178.97
18.10	-20266.72	0.00	-22496.28
18.20	-22581.25	0.00	-20642.50
18.30	-24703.71	0.00	-18634.88
18.40	-26609.63	0.00	-16492.22
18.50	-28277.19	0.00	-14234.60
18.60	-29687.72	0.00	-11883.13
18.70	-30826.00	0.00	-9459.74
18.80	-31680.57	0.00	-6986.83
18.90	-32243.94	0.00	-4487.06
19.00	-32512.72	0.00	-1983.03
19.10	-32487.61	0.00	502.98
19.20	-32186.91	0.00	2949.29
19.30	-31703.12	0.00	5335.05
19.40	-31057.41	0.00	7640.51
19.50	-30256.30	0.00	9847.22
19.60	-29306.91	0.00	11938.24
19.70	-28216.98	0.00	13898.32
19.80	-26994.85	0.00	15714.03
19.90	-25649.50	0.00	17373.87
20.00	-24190.58	0.00	18868.38
20.10	-22628.36	0.00	20190.16
20.20	-20973.74	0.00	21333.92
20.30	-19238.21	0.00	22296.44
20.40	-17433.79	0.00	23076.52
20.50	-15572.94	0.00	23674.95
20.60	-13668.49	0.00	24094.37
20.70	-11733.48	0.00	24339.12
20.80	-9781.07	0.00	24415.16
20.90	-7824.34	0.00	24329.86
21.00	-5876.20	0.00	24091.80
21.10	-3949.21	0.00	23710.65
21.20	-2055.39	0.00	23196.88
21.30	-206.15	0.00	22561.64
21.40	1587.89	0.00	21816.52
21.50	3316.97	0.00	20973.35
21.60	4972.34	0.00	20044.05
21.70	6546.26	0.00	19040.43
21.80	8032.09	0.00	17974.05
21.90	9424.29	0.00	16856.06
22.00	10718.42	0.00	15697.11
22.10	11911.09	0.00	14507.22
22.20	12999.95	0.00	13295.72
22.30	13983.60	0.00	12071.19
22.40	14861.49	0.00	10841.42
22.50	15633.89	0.00	9613.40
22.60	16301.73	0.00	8393.32
22.70	16866.51	0.00	7186.61
22.80	17330.26	0.00	5997.96
22.90	17695.37	0.00	4831.36
23.00	17964.55	0.00	3690.20
23.10	18140.72	0.00	2577.30
23.20	18227.01	0.00	1495.00
23.30	18226.62	0.00	445.27
23.40	18142.84	0.00	-570.28
23.50	17979.00	0.00	-1550.27
23.60	17738.49	0.00	-2493.51
23.70	17424.69	0.00	-3398.92
23.80	17044.10	0.00	-4265.48
23.90	16623.40	0.00	-5092.22
24.00	16168.88	0.00	-5878.12
24.10	15681.44	0.00	-6622.14
24.20	15161.83	0.00	-7323.22
24.30	14610.74	0.00	-7980.22
24.40	14028.91	0.00	-8591.98
24.50	13417.11	0.00	-9157.33
24.60	12776.25	0.00	-9675.10
24.70	12107.40	0.00	-10144.17
24.80	11411.83	0.00	-10563.49
24.90	10691.04	0.00	-10932.14
25.00	9946.78	0.00	-11249.32
25.10	9181.04	0.00	-11514.45
25.20	8396.05	0.00	-11727.16
