Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-22631.89	0.00	-5434.30
0.10	-23952.18	0.00	-4915.88
0.20	-25149.02	0.00	-4378.07
0.30	-26213.97	0.00	-3822.97
0.40	-27139.48	0.00	-3252.79
0.50	-27918.91	0.00	-2669.77
0.60	-28546.62	0.00	-2076.22
0.70	-29018.06	0.00	-1474.47
0.80	-29329.78	0.00	-866.90
0.90	-29479.51	0.00	-255.91
1.00	-29482.01	0.00	356.09
1.10	-29406.67	0.00	966.68
1.20	-29261.38	0.00	1573.46
1.30	-29045.58	0.00	2174.03
1.40	-28758.45	0.00	2766.02
1.50	-28398.98	0.00	3347.09
1.60	-27965.94	0.00	3914.95
1.70	-27458.00	0.00	4467.36
1.80	-26873.74	0.00	5002.15
1.90	-26211.71	0.00	5517.19
2.00	-25470.54	0.00	6010.46
2.10	-24648.93	0.00	6480.00
2.20	-23745.80	0.00	6923.98
2.30	-22760.30	0.00	7340.62
2.40	-21691.93	0.00	7728.30
2.50	-20540.59	0.00	8085.48
2.60	-19306.65	0.00	8410.74
2.70	-17991.00	0.00	8702.82
2.80	-16595.15	0.00	8960.55
2.90	-15121.24	0.00	9182.91
3.00	-13572.09	0.00	9369.04
3.10	-11951.28	0.00	9518.18
3.20	-10263.11	0.00	9629.77
3.30	-8512.66	0.00	9703.35
3.40	-6705.80	0.00	9738.64
3.50	-4849.15	0.00	9735.49
3.60	-2950.08	0.00	9693.92
3.70	-1016.67	0.00	9614.09
3.80	942.29	0.00	9496.32
3.90	2917.41	0.00	9341.08
4.00	4898.74	0.00	9148.96
4.10	6875.84	0.00	8920.74
4.20	8837.83	0.00	8657.32
4.30	10773.57	0.00	8359.73
4.40	12671.67	0.00	8029.14
4.50	14520.63	0.00	7666.87
4.60	16308.94	0.00	7274.35
4.70	18025.22	0.00	6853.11
4.80	19658.29	0.00	6404.83
4.90	21197.31	0.00	5931.27
5.00	22631.89	0.00	5434.30
5.10	23952.18	0.00	4915.88
5.20	25149.02	0.00	4378.07
5.30	26213.97	0.00	3822.97
5.40	27139.48	0.00	3252.79
5.50	27918.91	0.00	2669.77
5.60	28546.62	0.00	2076.22
5.70	29018.06	0.00	1474.47
5.80	29329.78	0.00	866.90
5.90	29479.51	0.00	255.91
6.00	29482.01	0.00	-356.09
6.10	29406.67	0.00	-966.68
6.20	29261.38	0.00	-1573.46
6.30	29045.58	0.00	-2174.03
6.40	28758.45	0.00	-2766.02
6.50	28398.98	0.00	-3347.09
6.60	27965.94	0.00	-3914.95
