Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-14907.40	0.00	-25953.37
0.10	-17753.69	0.00	-24817.07
0.20	-20525.21	0.00	-23582.82
0.30	-23202.36	0.00	-22255.51
0.40	-25765.75	0.00	-20840.36
0.50	-28196.42	0.00	-19342.96
0.60	-30476.06	0.00	-17769.23
0.70	-32587.20	0.00	-16125.37
0.80	-34513.43	0.00	-14417.87
0.90	-36239.59	0.00	-12653.47
1.00	-37751.95	0.00	-10839.14
1.10	-39038.35	0.00	-8982.02
1.20	-40088.38	0.00	-7089.46
1.30	-40893.48	0.00	-5168.92
1.40	-41447.08	0.00	-3227.98
1.50	-41744.61	0.00	-1274.30
1.60	-41795.11	0.00	684.41
1.70	-41734.78	0.00	2640.42
1.80	-41602.73	0.00	4586.01
1.90	-41397.45	0.00	6513.49
2.00	-41116.63	0.00	8415.28
2.10	-40757.28	0.00	10283.85
2.20	-40315.75	0.00	12111.83
2.30	-39787.84	0.00	13892.02
2.40	-39168.93	0.00	15617.38
2.50	-38454.07	0.00	17281.11
2.60	-37638.16	0.00	18876.63
2.70	-36716.04	0.00	20397.66
2.80	-35682.70	0.00	21838.19
2.90	-34533.39	0.00	23192.53
3.00	-33263.82	0.00	24455.34
3.10	-31870.25	0.00	25621.64
3.20	-30349.73	0.00	26686.82
3.30	-28700.19	0.00	27646.68
3.40	-26920.56	0.00	28497.43
3.50	-25010.94	0.00	29235.72
3.60	-22972.70	0.00	29858.62
3.70	-20808.54	0.00	30363.69
3.80	-18522.59	0.00	30748.92
3.90	-16120.46	0.00	31012.81
4.00	-13609.27	0.00	31154.29
4.10	-10997.65	0.00	31172.83
4.20	-8295.75	0.00	31068.35
4.30	-5515.16	0.00	30841.25
4.40	-2668.90	0.00	30492.43
4.50	228.70	0.00	30023.28
4.60	3162.08	0.00	29435.63
4.70	6114.60	0.00	28731.82
4.80	9068.67	0.00	27914.61
4.90	12005.93	0.00	26987.24
5.00	14907.40	0.00	25953.37
5.10	17753.69	0.00	24817.07
5.20	20525.21	0.00	23582.82
5.30	23202.36	0.00	22255.51
5.40	25765.75	0.00	20840.36
5.50	28196.42	0.00	19342.96
5.60	30476.06	0.00	17769.23
5.70	32587.20	0.00	16125.37
5.80	34513.43	0.00	14417.87
5.90	36239.59	0.00	12653.47
6.00	37751.95	0.00	10839.14
6.10	39038.35	0.00	8982.02
6.20	40088.38	0.00	7089.46
6.30	40893.48	0.00	5168.92
6.40	41447.08	0.00	3227.98
6.50	41744.61	0.00	1274.30
6.60	41795.11	0.00	-684.41
6.70	41734.78	0.00	-2640.42
6.80	41602.73	0.00	-4586.01
6.90	41397.45	0.00	-6513.49
7.00	41116.63	0.00	-8415.28
7.10	40757.28	0.00	-10283.85
7.20	40315.75	0.00	-12111.83
7.30	39787.84	0.00	-13892.02
7.40	39168.93	0.00	-15617.38
7.50	38454.07	0.00	-17281.11
7.60	37638.16	0.00	-18876.63
7.70	36716.04	0.00	-20397.66
7.80	35682.70	0.00	-21838.19
7.90	34533.39	0.00	-23192.53
8.00	33263.82	0.00	-24455.34
8.10	31870.25	0.00	-25621.64
8.20	30349.73	0.00	-26686.82
8.30	28700.19	0.00	-27646.68
8.40	26920.56	0.00	-28497.43
8.50	25010.94	0.00	-29235.72
8.60	22972.70	0.00	-29858.62
8.70	20808.54	0.00	-30363.69
8.80	18522.59	0.00	-30748.92
8.90	16120.46	0.00	-31012.81
9.00	13609.27	0.00	-31154.29
9.10	10997.65	0.00	-31172.83
9.20	8295.75	0.00	-31068.35
9.30	5515.16	0.00	-30841.25
9.40	2668.90	0.00	-30492.43
9.50	-228.70	0.00	-30023.28
9.60	-3162.08	0.00	-29435.63
9.70	-6114.60	0.00	-28731.82
9.80	-9068.67	0.00	-27914.61
9.90	-12005.93	0.00	-26987.24
10.00	-14907.40	0.00	-25953.37
10.10	-17753.69	0.00	-24817.07
10.20	-20525.21	0.00	-23582.82
10.30	-23202.36	0.00	-22255.51
10.40	-25765.75	0.00	-20840.36
10.50	-28196.42	0.00	-19342.96
10.60	-30476.06	0.00	-17769.23
10.70	-32587.20	0.00	-16125.37
10.80	-34513.43	0.00	-14417.87
10.90	-36239.59	0.00	-12653.47
11.00	-37751.95	0.00	-10839.14
11.10	-39038.35	0.00	-8982.02
11.20	-40088.38	0.00	-7089.46
11.30	-40893.48	0.00	-5168.92
11.40	-41447.08	0.00	-3227.98
11.50	-41744.61	0.00	-1274.30
11.60	-41795.11	0.00	684.41
11.70	-41734.78	0.00	2640.42
11.80	-41602.73	0.00	4586.01
11.90	-41397.45	0.00	6513.49
12.00	-41116.63	0.00	8415.28
12.10	-40757.28	0.00	10283.85
12.20	-40315.75	0.00	12111.83
12.30	-39787.84	0.00	13892.02
12.40	-39168.93	0.00	15617.38
12.50	-38454.07	0.00	17281.11
12.60	-37638.16	0.00	18876.63
12.70	-36716.04	0.00	20397.66
12.80	-35682.70	0.00	21838.19
12.90	-34533.39	0.00	23192.53
13.00	-33263.82	0.00	24455.34
13.10	-31870.25	0.00	25621.64
13.20	-30349.73	0.00	26686.82
13.30	-28700.19	0.00	27646.68
13.40	-26920.56	0.00	28497.43
13.50	-25010.94	0.00	29235.72
13.60	-22972.70	0.00	29858.62
13.70	-20808.54	0.00	30363.69
13.80	-18522.59	0.00	30748.92
13.90	-16120.46	0.00	31012.81
14.00	-13609.27	0.00	31154.29
14.10	-10997.65	0.00	31172.83
14.20	-8295.75	0.00	31068.35
14.30	-5515.16	0.00	30841.25
14.40	-2668.90	0.00	30492.43
14.50	228.70	0.00	30023.28
14.60	3162.08	0.00	29435.63
14.70	6114.60	0.00	28731.82
14.80	9068.67	0.00	27914.61
14.90	12005.93	0.00	26987.24
15.00	14907.40	0.00	25953.37
15.10	17753.69	0.00	24817.07
15.20	20525.21	0.00	23582.82
15.30	23202.36	0.00	22255.51
15.40	25765.75	0.00	20840.36
15.50	28196.42	0.00	19342.96
15.60	30476.06	0.00	17769.23
15.70	32587.20	0.00	16125.37
15.80	34513.43	0.00	14417.87
15.90	36239.59	0.00	12653.47
16.00	37751.95	0.00	10839.14
16.10	39038.35	0.00	8982.02
16.20	40088.38	0.00	7089.46
16.30	40893.48	0.00	5168.92
16.40	41447.08	0.00	3227.98
16.50	41744.61	0.00	1274.30
16.60	41795.11	0.00	-684.41
16.70	41734.78	0.00	-2640.42
16.80	41602.73	0.00	-4586.01
16.90	41397.45	0.00	-6513.49
17.00	41116.63	0.00	-8415.28
17.10	40757.28	0.00	-10283.85
17.20	40315.75	0.00	-12111.83
17.30	39787.84	0.00	-13892.02
17.40	39168.93	0.00	-15617.38
17.50	38454.07	0.00	-17281.11
17.60	37638.16	0.00	-18876.63
17.70	36716.04	0.00	-20397.66
17.80	35682.70	0.00	-21838.19
17.90	34533.39	0.00	-23192.53
18.00	33263.82	0.00	-24455.34
18.10	31870.25	0.00	-25621.64
18.20	30349.73	0.00	-26686.82
18.30	28700.19	0.00	-27646.68
18.40	26920.56	0.00	-28497.43
18.50	25010.94	0.00	-29235.72
18.60	22972.70	0.00	-29858.62
18.70	20808.54	0.00	-30363.69
18.80	18522.59	0.00	-30748.92
18.90	16120.46	0.00	-31012.81
19.00	13609.27	0.00	-31154.29
19.10	10997.65	0.00	-31172.83
19.20	8295.75	0.00	-31068.35
19.30	5515.16	0.00	-30841.25
19.40	2668.90	0.00	-30492.43
19.50	-228.70	0.00	-30023.28
19.60	-3162.08	0.00	-29435.63
19.70	-6114.60	0.00	-28731.82
19.80	-9068.67	0.00	-27914.61
19.90	-12005.93	0.00	-26987.24
20.00	-14907.40	0.00	-25953.37
20.10	-17753.69	0.00	-24817.07
20.20	-20525.21	0.00	-23582.82
20.30	-23202.36	0.00	-22255.51
20.40	-25765.75	0.00	-20840.36
20.50	-28196.42	0.00	-19342.96
20.60	-30476.06	0.00	-17769.23
20.70	-32587.20	0.00	-16125.37
20.80	-34513.43	0.00	-14417.87
20.90	-36239.59	0.00	-12653.47
21.00	-37751.95	0.00	-10839.14
21.10	-39038.35	0.00	-8982.02
21.20	-40088.38	0.00	-7089.46
21.30	-40893.48	0.00	-5168.92
21.40	-41447.08	0.00	-3227.98
21.50	-41744.61	0.00	-1274.30
21.60	-41795.11	0.00	684.41
21.70	-41734.78	0.00	2640.42
21.80	-41602.73	0.00	4586.01
21.90	-41397.45	0.00	6513.49
22.00	-41116.63	0.00	8415.28
22.10	-40757.28	0.00	10283.85
22.20	-40315.75	0.00	12111.83
22.30	-39787.84	0.00	13892.02
22.40	-39168.93	0.00	15617.38
22.50	-38454.07	0.00	17281.11
22.60	-37638.16	0.00	18876.63
22.70	-36716.04	0.00	20397.66
22.80	-35682.70	0.00	21838.19
22.90	-34533.39	0.00	23192.53
23.00	-33263.82	0.00	24455.34
23.10	-31870.25	0.00	25621.64
23.20	-30349.73	0.00	26686.82
23.30	-28700.19	0.00	27646.68
23.40	-26920.56	0.00	28497.43
23.50	-25010.94	0.00	29235.72
23.60	-22972.70	0.00	29858.62
23.70	-20808.54	0.00	30363.69
23.80	-18522.59	0.00	30748.92
23.90	-16120.46	0.00	31012.81
24.00	-13609.27	0.00	31154.29
24.10	-10997.65	0.00	31172.83
24.20	-8295.75	0.00	31068.35
24.30	-5515.16	0.00	30841.25
24.40	-2668.90	0.00	30492.43
24.50	228.70	0.00	30023.28
24.60	3162.08	0.00	29435.63
24.70	6114.60	0.00	28731.82
24.80	9068.67	0.00	27914.61
24.90	12005.93	0.00	26987.24
25.00	14907.40	0.00	25953.37
25.10	17753.69	0.00	24817.07
25.20	20525.21	0.00	23582.82
25.30	23202.36	0.00	22255.51
25.40	25765.75	0.00	20840.36
25.50	28196.42	0.00	19342.96
25.60	30476.06	0.00	17769.23
25.70	32587.20	0.00	16125.37
25.80	34513.43	0.00	14417.87
25.90	36239.59	0.00	12653.47
26.00	37751.95	0.00	10839.14
26.10	39038.35	0.00	8982.02
26.20	40088.38	0.00	7089.46
26.30	40893.48	0.00	5168.92
26.40	41447.08	0.00	3227.98
26.50	41744.61	0.00	1274.30
26.60	41795.11	0.00	-684.41
26.70	41734.78	0.00	-2640.42
26.80	41602.73	0.00	-4586.01
26.90	41397.45	0.00	-6513.49
27.00	41116.63	0.00	-8415.28
27.10	40757.28	0.00	-10283.85
27.20	40315.75	0.00	-12111.83
27.30	39787.84	0.00	-13892.02
27.40	39168.93	0.00	-15617.38
27.50	38454.07	0.00	-17281.11
27.60	37638.16	0.00	-18876.63
27.70	36716.04	0.00	-20397.66
27.80	35682.70	0.00	-21838.19
27.90	34533.39	0.00	-23192.53
28.00	33263.82	0.00	-24455.34
28.10	31870.25	0.00	-25621.64
28.20	30349.73	0.00	-26686.82
28.30	28700.19	0.00	-27646.68
28.40	26920.56	0.00	-28497.43
28.50	25010.94	0.00	-29235.72
28.60	22972.70	0.00	-29858.62
28.70	20808.54	0.00	-30363.69
28.80	18522.59	0.00	-30748.92
28.90	16120.46	0.00	-31012.81
29.00	13609.27	0.00	-31154.29
29.10	10997.65	0.00	-31172.83
29.20	8295.75	0.00	-31068.35
29.30	5515.16	0.00	-30841.25
29.40	2668.90	0.00	-30492.43
29.50	-228.70	0.00	-30023.28
29.60	-3162.08	0.00	-29435.63
29.70	-6114.60	0.00	-28731.82
29.80	-9068.67	0.00	-27914.61
29.90	-12005.93	0.00	-26987.24
30.00	-14907.40	0.00	-25953.37
30.10	-17753.69	0.00	-24817.07
30.20	-20525.21	0.00	-23582.82
30.30	-23202.36	0.00	-22255.51
30.40	-25765.75	0.00	-20840.36
30.50	-28196.42	0.00	-19342.96
30.60	-30476.06	0.00	-17769.23
30.70	-32587.20	0.00	-16125.37
30.80	-34513.43	0.00	-14417.87
30.90	-36239.59	0.00	-12653.47
31.00	-37751.95	0.00	-10839.14
31.10	-39038.35	0.00	-8982.02
31.20	-40088.38	0.00	-7089.46
31.30	-40893.48	0.00	-5168.92
31.40	-41447.08	0.00	-3227.98
31.50	-41744.61	0.00	-1274.30
31.60	-41795.11	0.00	684.41
31.70	-41734.78	0.00	2640.42
31.80	-41602.73	0.00	4586.01
31.90	-41397.45	0.00	6513.49
32.00	-41116.63	0.00	8415.28
32.10	-40757.28	0.00	10283.85
32.20	-40315.75	0.00	12111.83
32.30	-39787.84	0.00	13892.02
32.40	-39168.93	0.00	15617.38
32.50	-38454.07	0.00	17281.11
32.60	-37638.16	0.00	18876.63
32.70	-36716.04	0.00	20397.66
32.80	-35682.70	0.00	21838.19
32.90	-34533.39	0.00	23192.53
33.00	-33263.82	0.00	24455.34
33.10	-31870.25	0.00	25621.64
33.20	-30349.73	0.00	26686.82
33.30	-28700.19	0.00	27646.68
33.40	-26920.56	0.00	28497.43
33.50	-25010.94	0.00	29235.72
33.60	-22972.70	0.00	29858.62
33.70	-20808.54	0.00	30363.69
33.80	-18522.59	0.00	30748.92
33.90	-16120.46	0.00	31012.81
34.00	-13609.27	0.00	31154.29
34.10	-10997.65	0.00	31172.83
34.20	-8295.75	0.00	31068.35
34.30	-5515.16	0.00	30841.25
34.40	-2668.90	0.00	30492.43
34.50	228.70	0.00	30023.28
34.60	3162.08	0.00	29435.63
34.70	6114.60	0.00	28731.82
34.80	9068.67	0.00	27914.61
34.90	12005.93	0.00	26987.24
35.00	14907.40	0.00	25953.37
35.10	17753.69	0.00	24817.07
35.20	20525.21	0.00	23582.82
35.30	23202.36	0.00	22255.51
35.40	25765.75	0.00	20840.36
35.50	28196.42	0.00	19342.96
35.60	30476.06	0.00	17769.23
35.70	32587.20	0.00	16125.37
35.80	34513.43	0.00	14417.87
35.90	36239.59	0.00	12653.47
36.00	37751.95	0.00	10839.14
36.10	39038.35	0.00	8982.02
36.20	40088.38	0.00	7089.46
36.30	40893.48	0.00	5168.92
36.40	41447.08	0.00	3227.98
36.50	41744.61	0.00	1274.30
36.60	41795.11	0.00	-684.41
36.70	41734.78	0.00	-2640.42
36.80	41602.73	0.00	-4586.01
36.90	41397.45	0.00	-6513.49
37.00	41116.63	0.00	-8415.28
37.10	40757.28	0.00	-10283.85
37.20	40315.75	0.00	-12111.83
37.30	39787.84	0.00	-13892.02
37.40	39168.93	0.00	-15617.38
37.50	38454.07	0.00	-17281.11
37.60	37638.16	0.00	-18876.63
37.70	36716.04	0.00	-20397.66
37.80	35682.70	0.00	-21838.19
37.90	34533.39	0.00	-23192.53
38.00	33263.82	0.00	-24455.34
38.10	31870.25	0.00	-25621.64
38.20	30349.73	0.00	-26686.82
38.30	28700.19	0.00	-27646.68
38.40	26920.56	0.00	-28497.43
38.50	25010.94	0.00	-29235.72
38.60	22972.70	0.00	-29858.62
38.70	20808.54	0.00	-30363.69
38.80	18522.59	0.00	-30748.92
38.90	16120.46	0.00	-31012.81
39.00	13609.27	0.00	-31154.29
39.10	10997.65	0.00	-31172.83
39.20	8295.75	0.00	-31068.35
39.30	5515.16	0.00	-30841.25
39.40	2668.90	0.00	-30492.43
39.50	-228.70	0.00	-30023.28
39.60	-3162.08	0.00	-29435.63
39.70	-6114.60	0.00	-28731.82
39.80	-9068.67	0.00	-27914.61
39.90	-12005.93	0.00	-26987.24
40.00	-14907.40	0.00	-25953.37
40.10	-17753.69	0.00	-24817.07
40.20	-20525.21	0.00	-23582.82
40.30	-23202.36	0.00	-22255.51
40.40	-25765.75	0.00	-20840.36
40.50	-28196.42	0.00	-19342.96
40.60	-30476.06	0.00	-17769.23
40.70	-32587.20	0.00	-16125.37
40.80	-34513.43	0.00	-14417.87
40.90	-36239.59	0.00	-12653.47
41.00	-37751.95	0.00	-10839.14
41.10	-39038.35	0.00	-8982.02
41.20	-40088.38	0.00	-7089.46
41.30	-40893.48	0.00	-5168.92
41.40	-41447.08	0.00	-3227.98
41.50	-41744.61	0.00	-1274.30
41.60	-41795.11	0.00	684.41
41.70	-41734.78	0.00	2640.42
41.80	-41602.73	0.00	4586.01
41.90	-41397.45	0.00	6513.49
42.00	-41116.63	0.00	8415.28
42.10	-40757.28	0.00	10283.85
42.20	-40315.75	0.00	12111.83
42.30	-39787.84	0.00	13892.02
42.40	-39168.93	0.00	15617.38
42.50	-38454.07	0.00	17281.11
42.60	-37638.16	0.00	18876.63
42.70	-36716.04	0.00	20397.66
42.80	-35682.70	0.00	21838.19
42.90	-34533.39	0.00	23192.53
43.00	-33263.82	0.00	24455.34
43.10	-31870.25	0.00	25621.64
43.20	-30349.73	0.00	26686.82
43.30	-28700.19	0.00	27646.68
43.40	-26920.56	0.00	28497.43
43.50	-25010.94	0.00	29235.72
43.60	-22972.70	0.00	29858.62
43.70	-20808.54	0.00	30363.69
43.80	-18522.59	0.00	30748.92
43.90	-16120.46	0.00	31012.81
44.00	-13609.27	0.00	31154.29
44.10	-10997.65	0.00	31172.83
44.20	-8295.75	0.00	31068.35
44.30	-5515.16	0.00	30841.25
44.40	-2668.90	0.00	30492.43
44.50	228.70	0.00	30023.28
44.60	3162.08	0.00	29435.63
44.70	6114.60	0.00	28731.82
44.80	9068.67	0.00	27914.61
44.90	12005.93	0.00	26987.24
45.00	14907.40	0.00	25953.37
45.10	17753.69	0.00	24817.07
45.20	20525.21	0.00	23582.82
45.30	23202.36	0.00	22255.51
45.40	25765.75	0.00	20840.36
45.50	28196.42	0.00	19342.96
45.60	30476.06	0.00	17769.23
45.70	32587.20	0.00	16125.37
45.80	34513.43	0.00	14417.87
45.90	36239.59	0.00	12653.47
46.00	37751.95	0.00	10839.14
46.10	39038.35	0.00	8982.02
46.20	40088.38	0.00	7089.46
46.30	40893.48	0.00	5168.92
46.40	41447.08	0.00	3227.98
46.50	41744.61	0.00	1274.30
46.60	41795.11	0.00	-684.41
46.70	41734.78	0.00	-2640.42
46.80	41602.73	0.00	-4586.01
46.90	41397.45	0.00	-6513.49
47.00	41116.63	0.00	-8415.28
47.10	40757.28	0.00	-10283.85
47.20	40315.75	0.00	-12111.83
47.30	39787.84	0.00	-13892.02
47.40	39168.93	0.00	-15617.38
47.50	38454.07	0.00	-17281.11
47.60	37638.16	0.00	-18876.63
47.70	36716.04	0.00	-20397.66
47.80	35682.70	0.00	-21838.19
47.90	34533.39	0.00	-23192.53
48.00	33263.82	0.00	-24455.34
48.10	31870.25	0.00	-25621.64
48.20	30349.73	0.00	-26686.82
48.30	28700.19	0.00	-27646.68
48.40	26920.56	0.00	-28497.43
48.50	25010.94	0.00	-29235.72
48.60	22972.70	0.00	-29858.62
48.70	20808.54	0.00	-30363.69
48.80	18522.59	0.00	-30748.92
48.90	16120.46	0.00	-31012.81
49.00	13609.27	0.00	-31154.29
49.10	10997.65	0.00	-31172.83
49.20	8295.75	0.00	-31068.35
49.30	5515.16	0.00	-30841.25
49.40	2668.90	0.00	-30492.43
49.50	-228.70	0.00	-30023.28
49.60	-3162.08	0.00	-29435.63
49.70	-6114.60	0.00	-28731.82
49.80	-9068.67	0.00	-27914.61
49.90	-12005.93	0.00	-26987.24
50.00	-14907.40	0.00	-25953.37
50.10	-17753.69	0.00	-24817.07
50.20	-20525.21	0.00	-23582.82
50.30	-23202.36	0.00	-22255.51
50.40	-25765.75	0.00	-20840.36
50.50	-28196.42	0.00	-19342.96
50.60	-30476.06	0.00	-17769.23
50.70	-32587.20	0.00	-16125.37
50.80	-34513.43	0.00	-14417.87
50.90	-36239.59	0.00	-12653.47
51.00	-37751.95	0.00	-10839.14
51.10	-39038.35	0.00	-8982.02
51.20	-40088.38	0.00	-7089.46
51.30	-40893.48	0.00	-5168.92
51.40	-41447.08	0.00	-3227.98
51.50	-41744.61	0.00	-1274.30
51.60	-41795.11	0.00	684.41
51.70	-41734.78	0.00	2640.42
51.80	-41602.73	0.00	4586.01
51.90	-41397.45	0.00	6513.49
52.00	-41116.63	0.00	8415.28
52.10	-40757.28	0.00	10283.85
52.20	-40315.75	0.00	12111.83
52.30	-39787.84	0.00	13892.02
52.40	-39168.93	0.00	15617.38
52.50	-38454.07	0.00	17281.11
52.60	-37638.16	0.00	18876.63
52.70	-36716.04	0.00	20397.66
52.80	-35682.70	0.00	21838.19
52.90	-34533.39	0.00	23192.53
53.00	-33263.82	0.00	24455.34
53.10	-31870.25	0.00	25621.64
53.20	-30349.73	0.00	26686.82
53.30	-28700.19	0.00	27646.68
53.40	-26920.56	0.00	28497.43
53.50	-25010.94	0.00	29235.72
53.60	-22972.70	0.00	29858.62
53.70	-20808.54	0.00	30363.69
53.80	-18522.59	0.00	30748.92
53.90	-16120.46	0.00	31012.81
54.00	-13609.27	0.00	31154.29
54.10	-10997.65	0.00	31172.83
54.20	-8295.75	0.00	31068.35
54.30	-5515.16	0.00	30841.25
54.40	-2668.90	0.00	30492.43
54.50	228.70	0.00	30023.28
54.60	3162.08	0.00	29435.63
54.70	6114.60	0.00	28731.82
54.80	9068.67	0.00	27914.61
54.90	12005.93	0.00	26987.24
55.00	14907.40	0.00	25953.37
55.10	17753.69	0.00	24817.07
55.20	20525.21	0.00	23582.82
55.30	23202.36	0.00	22255.51
55.40	25765.75	0.00	20840.36
55.50	28196.42	0.00	19342.96
55.60	30476.06	0.00	17769.23
55.70	32587.20	0.00	16125.37
55.80	34513.43	0.00	14417.87
55.90	36239.59	0.00	12653.47
56.00	37751.95	0.00	10839.14
56.10	39038.35	0.00	8982.02
56.20	40088.38	0.00	7089.46
56.30	40893.48	0.00	5168.92
56.40	41447.08	0.00	3227.98
56.50	41744.61	0.00	1274.30
56.60	41795.11	0.00	-684.41
56.70	41734.78	0.00	-2640.42
56.80	41602.73	0.00	-4586.01
56.90	41397.45	0.00	-6513.49
57.00	41116.63	0.00	-8415.28
57.10	40757.28	0.00	-10283.85
57.20	40315.75	0.00	-12111.83
57.30	39787.84	0.00	-13892.02
57.40	39168.93	0.00	-15617.38
57.50	38454.07	0.00	-17281.11
57.60	37638.16	0.00	-18876.63
57.70	36716.04	0.00	-20397.66
57.80	35682.70	0.00	-21838.19
57.90	34533.39	0.00	-23192.53
58.00	33263.82	0.00	-24455.34
58.10	31870.25	0.00	-25621.64
58.20	30349.73	0.00	-26686.82
58.30	28700.19	0.00	-27646.68
58.40	26920.56	0.00	-28497.43
58.50	25010.94	0.00	-29235.72
58.60	22972.70	0.00	-29858.62
58.70	20808.54	0.00	-30363.69
58.80	18522.59	0.00	-30748.92
58.90	16120.46	0.00	-31012.81
59.00	13609.27	0.00	-31154.29
59.10	10997.65	0.00	-31172.83
59.20	8295.75	0.00	-31068.35
59.30	5515.16	0.00	-30841.25
59.40	2668.90	0.00	-30492.43
59.50	-228.70	0.00	-30023.28
59.60	-3162.08	0.00	-29435.63
59.70	-6114.60	0.00	-28731.82
59.80	-9068.67	0.00	-27914.61
59.90	-12005.93	0.00	-26987.24
60.00	-14907.40	0.00	-25953.37
60.10	-17753.69	0.00	-24817.07
60.20	-20525.21	0.00	-23582.82
60.30	-23202.36	0.00	-22255.51
60.40	-25765.75	0.00	-20840.36
60.50	-28196.42	0.00	-19342.96
60.60	-30476.06	0.00	-17769.23
60.70	-32587.20	0.00	-16125.37
60.80	-34513.43	0.00	-14417.87
