Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-195.19	0.00	-1344.78
0.10	-389.00	0.00	-1304.77
0.20	-578.66	0.00	-1260.21
0.30	-763.39	0.00	-1211.23
0.40	-942.43	0.00	-1157.95
0.50	-1114.99	0.00	-1100.53
0.60	-1280.34	0.00	-1039.14
0.70	-1437.73	0.00	-973.94
0.80	-1586.44	0.00	-905.16
0.90	-1725.78	0.00	-833.01
1.00	-1855.10	0.00	-757.75
1.10	-1973.79	0.00	-679.62
1.20	-2081.26	0.00	-598.94
1.30	-2177.02	0.00	-515.99
1.40	-2260.58	0.00	-431.12
1.50	-2331.56	0.00	-344.68
1.60	-2389.61	0.00	-257.01
1.70	-2434.48	0.00	-168.52
1.80	-2465.96	0.00	-79.59
1.90	-2483.95	0.00	9.38
2.00	-2488.41	0.00	97.96
2.10	-2479.39	0.00	185.74
2.20	-2457.00	0.00	272.29
2.30	-2421.45	0.00	357.20
2.40	-2373.29	0.00	440.05
2.50	-2313.98	0.00	520.43
2.60	-2243.99	0.00	597.93
2.70	-2163.65	0.00	672.18
2.80	-2073.38	0.00	742.80
2.90	-1973.61	0.00	809.45
3.00	-1864.85	0.00	871.80
3.10	-1747.61	0.00	929.55
3.20	-1622.48	0.00	982.43
3.30	-1490.06	0.00	1030.19
3.40	-1350.99	0.00	1072.62
3.50	-1205.96	0.00	1109.54
3.60	-1055.68	0.00	1140.81
3.70	-900.89	0.00	1166.30
3.80	-742.34	0.00	1185.95
3.90	-580.82	0.00	1199.71
4.00	-417.13	0.00	1207.56
4.10	-252.08	0.00	1209.53
4.20	-86.50	0.00	1205.67
4.30	78.81	0.00	1196.06
4.40	243.00	0.00	1180.82
4.50	405.27	0.00	1160.08
4.60	564.80	0.00	1134.01
4.70	720.79	0.00	1102.80
4.80	872.47	0.00	1066.64
4.90	1019.08	0.00	1025.76
5.00	1159.88	0.00	980.41
5.10	1294.18	0.00	930.83
5.20	1421.31	0.00	877.29
5.30	1540.63	0.00	820.07
5.40	1651.56	0.00	759.43
5.50	1753.53	0.00	695.67
5.60	1846.05	0.00	629.07
5.70	1928.65	0.00	559.93
5.80	2000.92	0.00	488.53
5.90	2062.51	0.00	415.16
6.00	2113.10	0.00	340.12
6.10	2152.43	0.00	263.67
6.20	2180.31	0.00	186.12
6.30	2197.33	0.00	107.73
6.40	2203.96	0.00	28.79
6.50	2200.16	0.00	-50.43
6.60	2185.91	0.00	-129.67
6.70	2161.21	0.00	-208.64
6.80	2126.10	0.00	-287.09
6.90	2080.63	0.00	-364.76
7.00	2024.90	0.00	-441.37
7.10	1959.02	0.00	-516.66
7.20	1883.13	0.00	-590.38
7.30	1797.40	0.00	-662.25
7.40	1702.03	0.00	-732.03
7.50	1597.28	0.00	-799.44
7.60	1483.39	0.00	-864.22
7.70	1360.70	0.00	-926.11
7.80	1229.54	0.00	-984.84
7.90	1090.31	0.00	-1040.17
