Time(s)	Elevation(m)
0.0000	0.8038
0.1000	0.8841
0.2000	0.9583
0.3000	1.0224
0.4000	1.0726
0.5000	1.1059
0.6000	1.1203
0.7000	1.1145
0.8000	1.0884
0.9000	1.0427
1.0000	0.9790
1.1000	0.8996
1.2000	0.8072
1.3000	0.7047
1.4000	0.5951
1.5000	0.4812
1.6000	0.3654
1.7000	0.2494
1.8000	0.1347
1.9000	0.0220
2.0000	-0.0884
2.1000	-0.1965
2.2000	-0.3026
2.3000	-0.4071
2.4000	-0.5100
2.5000	-0.6112
2.6000	-0.7101
2.7000	-0.8056
2.8000	-0.8961
2.9000	-0.9796
3.0000	-1.0534
3.1000	-1.1150
3.2000	-1.1614
3.3000	-1.1901
3.4000	-1.1989
3.5000	-1.1862
3.6000	-1.1512
3.7000	-1.0938
3.8000	-1.0152
3.9000	-0.9175
4.0000	-0.8035
4.1000	-0.6769
4.2000	-0.5423
4.3000	-0.4041
4.4000	-0.2673
4.5000	-0.1365
4.6000	-0.0161
4.7000	0.0903
4.8000	0.1799
4.9000	0.2506
5.0000	0.3014
5.1000	0.3324
5.2000	0.3445
5.3000	0.3394
5.4000	0.3194
5.5000	0.2874
5.6000	0.2464
5.7000	0.1996
5.8000	0.1498
5.9000	0.0999
6.0000	0.0522
6.1000	0.0083
6.2000	-0.0302
6.3000	-0.0627
6.4000	-0.0888
6.5000	-0.1085
6.6000	-0.1221
6.7000	-0.1300
6.8000	-0.1328
6.9000	-0.1309
7.0000	-0.1247
7.1000	-0.1143
7.2000	-0.0999
7.3000	-0.0811
7.4000	-0.0576
7.5000	-0.0288
7.6000	0.0057
7.7000	0.0466
7.8000	0.0943
7.9000	0.1491
8.0000	0.2112
8.1000	0.2804
8.2000	0.3561
8.3000	0.4375
8.4000	0.5234
8.5000	0.6124
8.6000	0.7026
8.7000	0.7920
8.8000	0.8784
8.9000	0.9596
9.0000	1.0330
9.1000	1.0964
9.2000	1.1474
9.3000	1.1840
9.4000	1.2045
9.5000	1.2071
9.6000	1.1909
9.7000	1.1551
9.8000	1.0995
9.9000	1.0246
10.0000	0.9311
10.1000	0.8205
10.2000	0.6948
10.3000	0.5563
10.4000	0.4080
10.5000	0.2531
10.6000	0.0950
10.7000	-0.0628
10.8000	-0.2168
10.9000	-0.3637
11.0000	-0.5004
11.1000	-0.6244
11.2000	-0.7335
11.3000	-0.8263
11.4000	-0.9020
11.5000	-0.9604
11.6000	-1.0018
11.7000	-1.0274
11.8000	-1.0386
11.9000	-1.0371
12.0000	-1.0252
12.1000	-1.0049
12.2000	-0.9784
12.3000	-0.9476
12.4000	-0.9142
12.5000	-0.8797
12.6000	-0.8451
12.7000	-0.8112
12.8000	-0.7785
12.9000	-0.7471
13.0000	-0.7172
13.1000	-0.6888
13.2000	-0.6619
13.3000	-0.6369
13.4000	-0.6140
13.5000	-0.5937
13.6000	-0.5769
13.7000	-0.5644
13.8000	-0.5572
13.9000	-0.5563
14.0000	-0.5624
14.1000	-0.5761
14.2000	-0.5976
14.3000	-0.6264
14.4000	-0.6616
14.5000	-0.7018
14.6000	-0.7449
14.7000	-0.7883
14.8000	-0.8290
14.9000	-0.8637
15.0000	-0.8892
15.1000	-0.9023
15.2000	-0.9000
15.3000	-0.8803
15.4000	-0.8414
15.5000	-0.7825
15.6000	-0.7038
15.7000	-0.6062
15.8000	-0.4914
15.9000	-0.3620
16.0000	-0.2208
16.1000	-0.0712
16.2000	0.0834
16.3000	0.2398
16.4000	0.3951
16.5000	0.5469
16.6000	0.6936
16.7000	0.8342
16.8000	0.9685
16.9000	1.0969
17.0000	1.2205
17.1000	1.3406
17.2000	1.4587
17.3000	1.5762
17.4000	1.6942
17.5000	1.8131
17.6000	1.9329
17.7000	2.0525
17.8000	2.1700
17.9000	2.2826
18.0000	2.3870
18.1000	2.4792
18.2000	2.5547
18.3000	2.6093
18.4000	2.6388
18.5000	2.6396
18.6000	2.6089
18.7000	2.5447
18.8000	2.4465
18.9000	2.3148
19.0000	2.1514
19.1000	1.9590
19.2000	1.7418
19.3000	1.5043
19.4000	1.2516
19.5000	0.9892
19.6000	0.7224
19.7000	0.4560
19.8000	0.1945
19.9000	-0.0585
20.0000	-0.3004
20.1000	-0.5292
20.2000	-0.7442
20.3000	-0.9451
20.4000	-1.1325
20.5000	-1.3073
20.6000	-1.4706
20.7000	-1.6237
20.8000	-1.7674
20.9000	-1.9022
21.0000	-2.0283
21.1000	-2.1451
21.2000	-2.2513
21.3000	-2.3454
21.4000	-2.4252
21.5000	-2.4883
21.6000	-2.5322
21.7000	-2.5547
21.8000	-2.5537
21.9000	-2.5277
22.0000	-2.4761
22.1000	-2.3987
22.2000	-2.2965
22.3000	-2.1712
22.4000	-2.0255
22.5000	-1.8626
22.6000	-1.6863
22.7000	-1.5010
22.8000	-1.3111
22.9000	-1.1210
23.0000	-0.9348
23.1000	-0.7564
23.2000	-0.5890
23.3000	-0.4351
23.4000	-0.2966
23.5000	-0.1745
23.6000	-0.0692
23.7000	0.0197
23.8000	0.0931
23.9000	0.1524
24.0000	0.1995
24.1000	0.2363
24.2000	0.2650
24.3000	0.2878
24.4000	0.3067
24.5000	0.3236
24.6000	0.3401
24.7000	0.3577
24.8000	0.3775
24.9000	0.4004
25.0000	0.4268
25.1000	0.4571
25.2000	0.4915
25.3000	0.5298
25.4000	0.5718
25.5000	0.6170
25.6000	0.6649
25.7000	0.7148
25.8000	0.7660
25.9000	0.8176
26.0000	0.8688
26.1000	0.9187
26.2000	0.9664
26.3000	1.0110
26.4000	1.0515
26.5000	1.0872
26.6000	1.1173
26.7000	1.1411
26.8000	1.1581
26.9000	1.1679
27.0000	1.1700
27.1000	1.1643
27.2000	1.1508
27.3000	1.1293
27.4000	1.1000
27.5000	1.0632
27.6000	1.0190
27.7000	0.9679
27.8000	0.9103
27.9000	0.8468
28.0000	0.7779
28.1000	0.7044
28.2000	0.6273
28.3000	0.5474
28.4000	0.4659
28.5000	0.3841
28.6000	0.3033
28.7000	0.2251
28.8000	0.1508
28.9000	0.0820
29.0000	0.0200
29.1000	-0.0340
29.2000	-0.0789
29.3000	-0.1142
29.4000	-0.1395
29.5000	-0.1552
29.6000	-0.1617
29.7000	-0.1603
29.8000	-0.1525
29.9000	-0.1403
30.0000	-0.1260
30.1000	-0.1119
30.2000	-0.1007
30.3000	-0.0948
30.4000	-0.0964
30.5000	-0.1072
30.6000	-0.1285
30.7000	-0.1610
30.8000	-0.2047
30.9000	-0.2586
31.0000	-0.3215
31.1000	-0.3910
31.2000	-0.4644
31.3000	-0.5387
31.4000	-0.6103
31.5000	-0.6758
31.6000	-0.7317
31.7000	-0.7751
31.8000	-0.8032
31.9000	-0.8143
32.0000	-0.8071
32.1000	-0.7812
32.2000	-0.7371
32.3000	-0.6762
32.4000	-0.6005
32.5000	-0.5129
32.6000	-0.4166
32.7000	-0.3151
32.8000	-0.2122
32.9000	-0.1118
33.0000	-0.0172
33.1000	0.0683
33.2000	0.1420
33.3000	0.2019
33.4000	0.2465
33.5000	0.2752
33.6000	0.2878
33.7000	0.2849
33.8000	0.2676
33.9000	0.2374
34.0000	0.1962
34.1000	0.1459
34.2000	0.0887
34.3000	0.0266
34.4000	-0.0386
34.5000	-0.1052
34.6000	-0.1719
34.7000	-0.2377
34.8000	-0.3020
34.9000	-0.3646
35.0000	-0.4255
35.1000	-0.4849
35.2000	-0.5433
35.3000	-0.6013
