Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-41051.20	0.00	-5898.19
0.10	-42974.04	0.00	-5249.35
0.20	-44681.69	0.00	-4579.79
0.30	-46162.73	0.00	-3892.16
0.40	-47407.19	0.00	-3189.17
0.50	-48406.62	0.00	-2473.59
0.60	-49154.22	0.00	-1748.25
0.70	-49644.85	0.00	-1016.02
0.80	-49875.15	0.00	-279.77
0.90	-49868.65	0.00	457.59
1.00	-49720.94	0.00	1193.13
1.10	-49441.13	0.00	1923.97
1.20	-49028.72	0.00	2647.22
1.30	-48482.98	0.00	3360.01
1.40	-47803.03	0.00	4059.55
1.50	-46987.89	0.00	4743.07
1.60	-46036.49	0.00	5407.86
1.70	-44947.82	0.00	6051.32
1.80	-43720.93	0.00	6670.89
1.90	-42355.08	0.00	7264.14
2.00	-40849.81	0.00	7828.72
2.10	-39205.01	0.00	8362.40
2.20	-37421.04	0.00	8863.08
2.30	-35498.84	0.00	9328.78
2.40	-33439.98	0.00	9757.66
2.50	-31246.78	0.00	10148.04
2.60	-28922.40	0.00	10498.36
2.70	-26470.86	0.00	10807.25
2.80	-23897.20	0.00	11073.50
2.90	-21207.42	0.00	11296.04
3.00	-18408.62	0.00	11474.00
3.10	-15508.98	0.00	11606.67
3.20	-12517.75	0.00	11693.54
3.30	-9445.32	0.00	11734.26
3.40	-6303.13	0.00	11728.68
3.50	-3103.68	0.00	11676.80
3.60	139.56	0.00	11578.84
3.70	3412.15	0.00	11435.19
3.80	6698.84	0.00	11246.40
3.90	9983.64	0.00	11013.23
4.00	13249.88	0.00	10736.60
4.10	16480.42	0.00	10417.59
4.20	19657.72	0.00	10057.47
4.30	22764.02	0.00	9657.66
4.40	25781.47	0.00	9219.74
4.50	28692.30	0.00	8745.42
4.60	31478.97	0.00	8236.60
4.70	34124.37	0.00	7695.27
4.80	36611.95	0.00	7123.56
4.90	38925.87	0.00	6523.75
5.00	41051.20	0.00	5898.19
5.10	42974.04	0.00	5249.35
5.20	44681.69	0.00	4579.79
5.30	46162.73	0.00	3892.16
5.40	47407.19	0.00	3189.17
5.50	48406.62	0.00	2473.59
5.60	49154.22	0.00	1748.25
5.70	49644.85	0.00	1016.02
5.80	49875.15	0.00	279.77
5.90	49868.65	0.00	-457.59
6.00	49720.94	0.00	-1193.13
6.10	49441.13	0.00	-1923.97
6.20	49028.72	0.00	-2647.22
6.30	48482.98	0.00	-3360.01
6.40	47803.03	0.00	-4059.55
6.50	46987.89	0.00	-4743.07
6.60	46036.49	0.00	-5407.86
6.70	44947.82	0.00	-6051.32
6.80	43720.93	0.00	-6670.89
6.90	42355.08	0.00	-7264.14
7.00	40849.81	0.00	-7828.72
7.10	39205.01	0.00	-8362.40
7.20	37421.04	0.00	-8863.08
7.30	35498.84	0.00	-9328.78
7.40	33439.98	0.00	-9757.66
7.50	31246.78	0.00	-10148.04
7.60	28922.40	0.00	-10498.36
7.70	26470.86	0.00	-10807.25
7.80	23897.20	0.00	-11073.50
7.90	21207.42	0.00	-11296.04
8.00	18408.62	0.00	-11474.00
8.10	15508.98	0.00	-11606.67
8.20	12517.75	0.00	-11693.54
8.30	9445.32	0.00	-11734.26
8.40	6303.13	0.00	-11728.68
8.50	3103.68	0.00	-11676.80
8.60	-139.56	0.00	-11578.84
8.70	-3412.15	0.00	-11435.19
8.80	-6698.84	0.00	-11246.40
8.90	-9983.64	0.00	-11013.23
9.00	-13249.88	0.00	-10736.60
9.10	-16480.42	0.00	-10417.59
9.20	-19657.72	0.00	-10057.47
9.30	-22764.02	0.00	-9657.66
9.40	-25781.47	0.00	-9219.74
9.50	-28692.30	0.00	-8745.42
9.60	-31478.97	0.00	-8236.60
9.70	-34124.37	0.00	-7695.27
9.80	-36611.95	0.00	-7123.56
9.90	-38925.87	0.00	-6523.75
10.00	-41051.20	0.00	-5898.19
10.10	-42974.04	0.00	-5249.35
10.20	-44681.69	0.00	-4579.79
10.30	-46162.73	0.00	-3892.16
10.40	-47407.19	0.00	-3189.17
10.50	-48406.62	0.00	-2473.59
10.60	-49154.22	0.00	-1748.25
10.70	-49644.85	0.00	-1016.02
10.80	-49875.15	0.00	-279.77
10.90	-49868.65	0.00	457.59
11.00	-49720.94	0.00	1193.13
11.10	-49441.13	0.00	1923.97
11.20	-49028.72	0.00	2647.22
11.30	-48482.98	0.00	3360.01
11.40	-47803.03	0.00	4059.55
11.50	-46987.89	0.00	4743.07
11.60	-46036.49	0.00	5407.86
11.70	-44947.82	0.00	6051.32
11.80	-43720.93	0.00	6670.89
11.90	-42355.08	0.00	7264.14
12.00	-40849.81	0.00	7828.72
12.10	-39205.01	0.00	8362.40
12.20	-37421.04	0.00	8863.08
12.30	-35498.84	0.00	9328.78
12.40	-33439.98	0.00	9757.66
12.50	-31246.78	0.00	10148.04
12.60	-28922.40	0.00	10498.36
12.70	-26470.86	0.00	10807.25
12.80	-23897.20	0.00	11073.50
12.90	-21207.42	0.00	11296.04
13.00	-18408.62	0.00	11474.00
13.10	-15508.98	0.00	11606.67
13.20	-12517.75	0.00	11693.54
13.30	-9445.32	0.00	11734.26
