0.0000	15940.00
0.0400	4381.00
0.0800	-28170.00
0.1200	-66370.00
0.1600	-95770.00
0.2000	-116000.00
0.2400	-124100.00
0.2800	-114700.00
0.3200	-83480.00
0.3600	-41390.00
0.4000	5239.00
0.4400	60280.00
0.4800	116200.00
0.5200	163500.00
0.5600	190300.00
0.6000	198600.00
0.6400	203400.00
0.6800	208300.00
0.7200	230400.00
0.7600	269800.00
0.8000	324700.00
0.8400	398500.00
0.8800	476500.00
0.9200	563000.00
0.9600	629300.00
1.0000	692600.00
1.0400	743000.00
1.0800	764800.00
1.1200	772600.00
1.1600	779700.00
1.2000	793500.00
1.2400	826000.00
1.2800	866500.00
1.3200	908000.00
1.3600	956800.00
1.4000	1016000.00
1.4400	1083000.00
1.4800	1150000.00
1.5200	1222000.00
1.5600	1288000.00
1.6000	1343000.00
1.6400	1373000.00
1.6800	1390000.00
1.7200	1385000.00
1.7600	1360000.00
1.8000	1340000.00
1.8400	1331000.00
1.8800	1322000.00
1.9200	1318000.00
1.9600	1310000.00
2.0000	1303000.00
2.0400	1301000.00
2.0800	1281000.00
2.1200	1258000.00
2.1600	1212000.00
2.2000	1167000.00
2.2400	1128000.00
2.2800	1096000.00
2.3200	1075000.00
2.3600	1072000.00
2.4000	1084000.00
2.4400	1118000.00
2.4800	1145000.00
2.5200	1155000.00
2.5600	1141000.00
2.6000	1102000.00
2.6400	1039000.00
2.6800	951500.00
2.7200	849200.00
2.7600	766000.00
2.8000	690800.00
2.8400	639700.00
2.8800	608100.00
2.9200	593100.00
2.9600	598400.00
3.0000	631800.00
3.0400	675600.00
3.0800	707900.00
3.1200	710100.00
3.1600	686600.00
3.2000	626000.00
3.2400	535900.00
3.2800	424800.00
3.3200	319300.00
3.3600	247300.00
3.4000	197400.00
3.4400	186500.00
3.4800	199600.00
3.5200	248600.00
3.5600	330100.00
3.6000	385100.00
3.6400	408900.00
3.6800	375300.00
3.7200	286100.00
3.7600	159700.00
3.8000	31200.00
3.8400	-75570.00
3.8800	-128500.00
3.9200	-133000.00
3.9600	-82010.00
4.0000	16990.00
4.0400	140400.00
4.0800	260300.00
4.1200	365900.00
4.1600	430500.00
4.2000	443800.00
4.2400	417700.00
4.2800	354000.00
4.3200	282000.00
4.3600	228200.00
4.4000	206900.00
4.4400	242400.00
4.4800	319200.00
4.5200	413600.00
4.5600	524800.00
4.6000	636000.00
4.6400	730000.00
4.6800	802800.00
4.7200	859900.00
4.7600	870400.00
4.8000	857000.00
4.8400	828200.00
4.8800	787700.00
4.9200	747800.00
4.9600	735500.00
5.0000	748300.00
5.0400	797500.00
5.0800	863800.00
5.1200	933400.00
5.1600	1020000.00
5.2000	1098000.00
5.2400	1155000.00
5.2800	1179000.00
5.3200	1165000.00
5.3600	1122000.00
5.4000	1060000.00
5.4400	997300.00
5.4800	940600.00
5.5200	913600.00
5.5600	917900.00
5.6000	955500.00
5.6400	1030000.00
5.6800	1119000.00
5.7200	1204000.00
5.7600	1262000.00
5.8000	1298000.00
5.8400	1307000.00
5.8800	1276000.00
5.9200	1220000.00
5.9600	1150000.00
6.0000	1084000.00
6.0400	1037000.00
6.0800	1017000.00
6.1200	1032000.00
6.1600	1064000.00
6.2000	1121000.00
6.2400	1173000.00
6.2800	1209000.00
6.3200	1203000.00
6.3600	1155000.00
6.4000	1096000.00
6.4400	1013000.00
6.4800	925500.00
6.5200	859100.00
6.5600	797400.00
6.6000	763800.00
6.6400	738200.00
6.6800	723700.00
6.7200	716500.00
6.7600	694300.00
6.8000	689500.00
6.8400	664400.00
6.8800	630400.00
6.9200	600900.00
6.9600	561800.00
7.0000	515500.00
7.0400	470700.00
7.0800	443100.00
7.1200	389800.00
7.1600	329000.00
7.2000	273100.00
7.2400	234800.00
7.2800	213900.00
7.3200	204400.00
7.3600	215200.00
7.4000	226700.00
7.4400	243900.00
7.4800	261600.00
7.5200	287900.00
7.5600	304700.00
7.6000	306500.00
7.6400	296000.00
7.6800	275300.00
7.7200	263100.00
7.7600	249500.00
7.8000	233300.00
7.8400	223900.00
7.8800	228500.00
7.9200	254100.00
7.9600	300200.00
8.0000	364800.00
8.0400	427200.00
8.0800	483100.00
8.1200	524800.00
8.1600	541800.00
8.2000	534800.00
8.2400	519600.00
8.2800	490500.00
8.3200	464400.00
8.3600	444400.00
8.4000	448800.00
8.4400	477700.00
8.4800	518000.00
8.5200	574700.00
8.5600	640800.00
8.6000	702400.00
8.6400	761600.00
8.6800	791600.00
8.7200	805400.00
8.7600	801700.00
8.8000	784500.00
8.8400	767800.00
8.8800	750200.00
8.9200	736700.00
8.9600	756600.00
9.0000	790200.00
9.0400	844100.00
9.0800	922600.00
9.1200	1014000.00
9.1600	1094000.00
9.2000	1172000.00
9.2400	1248000.00
9.2800	1291000.00
9.3200	1301000.00
9.3600	1266000.00
9.4000	1199000.00
9.4400	1122000.00
9.4800	1066000.00
9.5200	1056000.00
9.5600	1073000.00
9.6000	1119000.00
9.6400	1189000.00
9.6800	1258000.00
9.7200	1336000.00
9.7600	1385000.00
9.8000	1397000.00
9.8400	1367000.00
9.8800	1309000.00
9.9200	1222000.00
9.9600	1120000.00
10.0000	1034000.00
10.0400	966000.00
10.0800	938700.00
10.1200	951300.00
10.1600	987200.00
10.2000	1027000.00
10.2400	1040000.00
10.2800	1062000.00
10.3200	1061000.00
10.3600	1044000.00
10.4000	989900.00
10.4400	938000.00
10.4800	870100.00
10.5200	796100.00
10.5600	721700.00
10.6000	681700.00
10.6400	662600.00
10.6800	666400.00
10.7200	690900.00
10.7600	735100.00
10.8000	789100.00
10.8400	841400.00
10.8800	894700.00
10.9200	914200.00
10.9600	893400.00
11.0000	832800.00
11.0400	729100.00
11.0800	605700.00
11.1200	492600.00
11.1600	405900.00
11.2000	373500.00
11.2400	385900.00
11.2800	435100.00
11.3200	510200.00
11.3600	594400.00
11.4000	665200.00
11.4400	700500.00
11.4800	689200.00
11.5200	632300.00
11.5600	538700.00
11.6000	423400.00
11.6400	308800.00
11.6800	226700.00
11.7200	182100.00
11.7600	185500.00
11.8000	229100.00
11.8400	304000.00
11.8800	381300.00
11.9200	455500.00
11.9600	514800.00
12.0000	537600.00
12.0400	520700.00
12.0800	478200.00
12.1200	421700.00
12.1600	366000.00
12.2000	322100.00
12.2400	301300.00
12.2800	307900.00
12.3200	355900.00
12.3600	433900.00
12.4000	534100.00
12.4400	633400.00
12.4800	714600.00
12.5200	758100.00
12.5600	762600.00
12.6000	726000.00
12.6400	655900.00
12.6800	587800.00
12.7200	532400.00
12.7600	509500.00
12.8000	527900.00
12.8400	589500.00
12.8800	674000.00
12.9200	773400.00
12.9600	857100.00
13.0000	910700.00
13.0400	935100.00
13.0800	933800.00
13.1200	909000.00
13.1600	854000.00
13.2000	786600.00
13.2400	728300.00
13.2800	679800.00
13.3200	667700.00
13.3600	696400.00
13.4000	751400.00
13.4400	830400.00
13.4800	906200.00
13.5200	965900.00
13.5600	998800.00
13.6000	998900.00
13.6400	956200.00
13.6800	869000.00
13.7200	776900.00
