OC3 Tripod submerged nodes summary
==========================================================================================
Wave direction: +X (0 deg)
Water depth: 45.0 m
Total submerged nodes: 152
==========================================================================================
  NodeID       X(m)       Y(m)       Z(m)   D_avg(m)     Area(m2)      Vol(m3)
     114    -13.176      6.712    -42.979      1.200         6.44         6.07
     115    -10.851      8.055    -42.979      1.200         6.44         6.07
     116     -8.526      9.397    -42.979      1.200         6.44         6.07
     117     -3.875     12.082    -42.979      1.200         6.44         6.07
     118     -1.550     13.425    -42.979      1.200         6.44         6.07
     119      0.775     14.767    -42.979      1.200         6.44         6.07
     120      3.100     16.110    -42.979      1.200         6.44         6.07
     121      5.426     17.452    -42.979      1.200         6.44         6.07
     122      7.751     18.795    -42.979      1.200         6.44         6.07
     123     10.076     20.137    -42.979      1.200         6.44         6.07
     124     12.401     18.795    -42.979      1.200         6.44         6.07
     125     12.401     16.110    -42.979      1.200         6.44         6.07
     126     12.401     13.425    -42.979      1.200         6.44         6.07
     127     12.401     10.740    -42.979      1.200         6.44         6.07
     128     12.401      8.055    -42.979      1.200         6.44         6.07
     129     12.401      5.370    -42.979      1.200         6.44         6.07
     130     12.401      2.685    -42.979      1.200         6.44         6.07
     131     12.401     -2.685    -42.979      1.200         6.44         6.07
     132     12.401     -5.370    -42.979      1.200         6.44         6.07
     133     12.401     -8.055    -42.979      1.200         6.44         6.07
     134     12.401    -10.740    -42.979      1.200         6.44         6.07
     135     12.401    -13.425    -42.979      1.200         6.44         6.07
     136     12.401    -16.110    -42.979      1.200         6.44         6.07
     137     12.401    -18.795    -42.979      1.200         6.44         6.07
     138     10.076    -20.137    -42.979      1.200         6.44         6.07
     139      7.751    -18.795    -42.979      1.200         6.44         6.07
     140      5.426    -17.452    -42.979      1.200         6.44         6.07
     141      3.100    -16.110    -42.979      1.200         6.44         6.07
     142      0.775    -14.767    -42.979      1.200         6.44         6.07
     143     -1.550    -13.425    -42.979      1.200         6.44         6.07
     144     -3.875    -12.082    -42.979      1.200         6.44         6.07
     145     -8.526     -9.397    -42.979      1.200         6.44         6.07
     146    -10.851     -8.055    -42.979      1.200         6.44         6.07
     147    -13.176     -6.712    -42.979      1.200         6.44         6.07
     148    -15.502     -5.370    -42.979      1.200         6.44         6.07
     149    -17.827     -4.027    -42.979      1.200         6.44         6.07
     150    -20.152     -2.685    -42.979      1.200         6.44         6.07
     151    -22.477     -1.342    -42.979      1.200         6.44         6.07
     152      0.000      0.000    -29.415      3.544        19.66        54.80
     153      0.000      0.000    -26.641      3.831        21.25        64.04
     154      0.000      0.000    -23.868      4.119        22.85        74.00
     155      0.000      0.000    -21.094      4.406        24.44        84.67
     156      0.000      0.000    -18.321      4.694        26.04        96.07
     157      0.000      0.000    -15.547      4.981        27.63       108.19
     158      0.000      0.000    -12.774      5.269        29.23       121.03
