Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	31090.39	0.00	-10173.54
0.10	28757.08	0.00	-10521.04
0.20	26296.94	0.00	-10827.03
0.30	23715.05	0.00	-11090.28
0.40	21017.50	0.00	-11309.77
0.50	18211.46	0.00	-11484.62
0.60	15305.18	0.00	-11614.15
0.70	12308.00	0.00	-11697.84
0.80	9230.37	0.00	-11735.36
0.90	6083.81	0.00	-11726.58
1.00	2880.89	0.00	-11671.51
1.10	-364.84	0.00	-11570.38
1.20	-3638.91	0.00	-11423.59
1.30	-6925.99	0.00	-11231.71
1.40	-10210.04	0.00	-10995.51
1.50	-13474.38	0.00	-10715.91
1.60	-16701.81	0.00	-10394.02
1.70	-19874.78	0.00	-10031.11
1.80	-22975.51	0.00	-9628.62
1.90	-25986.16	0.00	-9188.12
2.00	-28888.97	0.00	-8711.36
2.10	-31666.43	0.00	-8200.22
2.20	-34301.45	0.00	-7656.72
2.30	-36777.53	0.00	-7083.01
2.40	-39078.89	0.00	-6481.34
2.50	-41190.67	0.00	-5854.09
2.60	-43099.05	0.00	-5203.73
2.70	-44791.39	0.00	-4532.84
2.80	-46256.39	0.00	-3844.06
2.90	-47484.18	0.00	-3140.11
3.00	-48466.42	0.00	-2423.77
3.10	-49196.41	0.00	-1697.86
3.20	-49669.15	0.00	-965.25
3.30	-49881.39	0.00	-228.84
3.40	-49862.67	0.00	508.49
3.50	-49705.85	0.00	1243.80
3.60	-49416.90	0.00	1974.21
3.70	-48995.30	0.00	2696.82
3.80	-48440.32	0.00	3408.79
3.90	-47751.07	0.00	4107.31
4.00	-46926.55	0.00	4789.62
4.10	-45965.70	0.00	5453.02
4.20	-44867.51	0.00	6094.91
4.30	-43631.05	0.00	6712.74
4.40	-42255.58	0.00	7304.08
4.50	-40740.67	0.00	7866.60
4.60	-39086.24	0.00	8398.06
4.70	-37292.69	0.00	8896.39
4.80	-35360.99	0.00	9359.60
4.90	-33292.76	0.00	9785.88
5.00	-31090.39	0.00	10173.54
5.10	-28757.08	0.00	10521.04
5.20	-26296.94	0.00	10827.03
5.30	-23715.05	0.00	11090.28
5.40	-21017.50	0.00	11309.77
5.50	-18211.46	0.00	11484.62
5.60	-15305.18	0.00	11614.15
5.70	-12308.00	0.00	11697.84
5.80	-9230.37	0.00	11735.36
5.90	-6083.81	0.00	11726.58
6.00	-2880.89	0.00	11671.51
6.10	364.84	0.00	11570.38
6.20	3638.91	0.00	11423.59
6.30	6925.99	0.00	11231.71
6.40	10210.04	0.00	10995.51
6.50	13474.38	0.00	10715.91
6.60	16701.81	0.00	10394.02
6.70	19874.78	0.00	10031.11
6.80	22975.51	0.00	9628.62
6.90	25986.16	0.00	9188.12
7.00	28888.97	0.00	8711.36
7.10	31666.43	0.00	8200.22
7.20	34301.45	0.00	7656.72
7.30	36777.53	0.00	7083.01
7.40	39078.89	0.00	6481.34
7.50	41190.67	0.00	5854.09
7.60	43099.05	0.00	5203.73
7.70	44791.39	0.00	4532.84
7.80	46256.39	0.00	3844.06
7.90	47484.18	0.00	3140.11
8.00	48466.42	0.00	2423.77
8.10	49196.41	0.00	1697.86
8.20	49669.15	0.00	965.25
8.30	49881.39	0.00	228.84
8.40	49862.67	0.00	-508.49
8.50	49705.85	0.00	-1243.80
8.60	49416.90	0.00	-1974.21
8.70	48995.30	0.00	-2696.82
8.80	48440.32	0.00	-3408.79
8.90	47751.07	0.00	-4107.31
9.00	46926.55	0.00	-4789.62
9.10	45965.70	0.00	-5453.02
9.20	44867.51	0.00	-6094.91
9.30	43631.05	0.00	-6712.74
9.40	42255.58	0.00	-7304.08
