Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-29490.18	0.00	-1540.59
0.10	-30929.88	0.00	-1371.12
0.20	-32209.48	0.00	-1196.23
0.30	-33320.05	0.00	-1016.62
0.40	-34253.77	0.00	-833.00
0.50	-35004.00	0.00	-646.10
0.60	-35565.40	0.00	-456.64
0.70	-35933.93	0.00	-265.38
0.80	-36106.94	0.00	-73.07
0.90	-36104.12	0.00	119.52
1.00	-36005.18	0.00	311.64
1.10	-35817.61	0.00	502.54
1.20	-35540.82	0.00	691.45
1.30	-35173.93	0.00	877.63
1.40	-34715.86	0.00	1060.34
1.50	-34165.35	0.00	1238.88
1.60	-33521.02	0.00	1412.52
1.70	-32781.43	0.00	1580.59
1.80	-31945.13	0.00	1742.42
1.90	-31010.76	0.00	1897.37
2.00	-29977.12	0.00	2044.84
2.10	-28843.26	0.00	2184.24
2.20	-27608.54	0.00	2315.01
2.30	-26272.74	0.00	2436.65
2.40	-24836.13	0.00	2548.68
2.50	-23299.52	0.00	2650.64
2.60	-21664.40	0.00	2742.15
2.70	-19932.94	0.00	2822.83
2.80	-18108.08	0.00	2892.37
2.90	-16193.58	0.00	2950.50
3.00	-14194.06	0.00	2996.98
3.10	-12115.01	0.00	3031.63
3.20	-9962.82	0.00	3054.32
3.30	-7744.80	0.00	3064.96
3.40	-5469.12	0.00	3063.50
3.50	-3144.86	0.00	3049.95
3.60	-781.90	0.00	3024.36
3.70	1609.09	0.00	2986.84
3.80	4016.71	0.00	2937.53
3.90	6428.94	0.00	2876.63
4.00	8833.18	0.00	2804.37
4.10	11216.40	0.00	2721.05
4.20	13565.19	0.00	2626.99
4.30	15865.92	0.00	2522.56
4.40	18104.87	0.00	2408.17
4.50	20268.29	0.00	2284.28
4.60	22342.63	0.00	2151.38
4.70	24314.59	0.00	2009.98
4.80	26171.27	0.00	1860.66
4.90	27900.36	0.00	1703.99
5.00	29490.18	0.00	1540.59
5.10	30929.88	0.00	1371.12
5.20	32209.48	0.00	1196.23
5.30	33320.05	0.00	1016.62
5.40	34253.77	0.00	833.00
5.50	35004.00	0.00	646.10
5.60	35565.40	0.00	456.64
5.70	35933.93	0.00	265.38
5.80	36106.94	0.00	73.07
5.90	36104.12	0.00	-119.52
6.00	36005.18	0.00	-311.64
6.10	35817.61	0.00	-502.54
6.20	35540.82	0.00	-691.45
6.30	35173.93	0.00	-877.63
6.40	34715.86	0.00	-1060.34
6.50	34165.35	0.00	-1238.88
6.60	33521.02	0.00	-1412.52
6.70	32781.43	0.00	-1580.59
6.80	31945.13	0.00	-1742.42
6.90	31010.76	0.00	-1897.37
7.00	29977.12	0.00	-2044.84
7.10	28843.26	0.00	-2184.24
7.20	27608.54	0.00	-2315.01
7.30	26272.74	0.00	-2436.65
7.40	24836.13	0.00	-2548.68
7.50	23299.52	0.00	-2650.64
7.60	21664.40	0.00	-2742.15
7.70	19932.94	0.00	-2822.83
7.80	18108.08	0.00	-2892.37
7.90	16193.58	0.00	-2950.50
8.00	14194.06	0.00	-2996.98
8.10	12115.01	0.00	-3031.63
8.20	9962.82	0.00	-3054.32
8.30	7744.80	0.00	-3064.96
8.40	5469.12	0.00	-3063.50
8.50	3144.86	0.00	-3049.95
8.60	781.90	0.00	-3024.36
8.70	-1609.09	0.00	-2986.84
8.80	-4016.71	0.00	-2937.53
8.90	-6428.94	0.00	-2876.63
9.00	-8833.18	0.00	-2804.37
9.10	-11216.40	0.00	-2721.05
9.20	-13565.19	0.00	-2626.99
9.30	-15865.92	0.00	-2522.56
9.40	-18104.87	0.00	-2408.17
9.50	-20268.29	0.00	-2284.28
9.60	-22342.63	0.00	-2151.38
9.70	-24314.59	0.00	-2009.98
9.80	-26171.27	0.00	-1860.66
9.90	-27900.36	0.00	-1703.99
10.00	-29490.18	0.00	-1540.59
10.10	-30929.88	0.00	-1371.12
10.20	-32209.48	0.00	-1196.23
10.30	-33320.05	0.00	-1016.62
10.40	-34253.77	0.00	-833.00
10.50	-35004.00	0.00	-646.10
10.60	-35565.40	0.00	-456.64
10.70	-35933.93	0.00	-265.38
10.80	-36106.94	0.00	-73.07
10.90	-36104.12	0.00	119.52
11.00	-36005.18	0.00	311.64
11.10	-35817.61	0.00	502.54
11.20	-35540.82	0.00	691.45
11.30	-35173.93	0.00	877.63
11.40	-34715.86	0.00	1060.34
11.50	-34165.35	0.00	1238.88
11.60	-33521.02	0.00	1412.52
11.70	-32781.43	0.00	1580.59
11.80	-31945.13	0.00	1742.42
11.90	-31010.76	0.00	1897.37
12.00	-29977.12	0.00	2044.84
12.10	-28843.26	0.00	2184.24
12.20	-27608.54	0.00	2315.01
12.30	-26272.74	0.00	2436.65
12.40	-24836.13	0.00	2548.68
12.50	-23299.52	0.00	2650.64
12.60	-21664.40	0.00	2742.15
12.70	-19932.94	0.00	2822.83
12.80	-18108.08	0.00	2892.37
12.90	-16193.58	0.00	2950.50
13.00	-14194.06	0.00	2996.98
13.10	-12115.01	0.00	3031.63
13.20	-9962.82	0.00	3054.32
13.30	-7744.80	0.00	3064.96
