Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	44265.47	0.00	-67403.52
0.10	39770.92	0.00	-67382.99
0.20	34953.05	0.00	-67096.53
0.30	29835.12	0.00	-66545.26
0.40	24445.45	0.00	-65731.38
0.50	18817.18	0.00	-64658.08
0.60	12987.97	0.00	-63329.61
0.70	6999.56	0.00	-61751.20
0.80	897.37	0.00	-59929.09
0.90	-5270.07	0.00	-57870.47
1.00	-11451.68	0.00	-55583.46
1.10	-17594.44	0.00	-53077.08
1.20	-23644.07	0.00	-50361.24
1.30	-29545.72	0.00	-47446.64
1.40	-35244.66	0.00	-44344.79
1.50	-40687.00	0.00	-41067.94
1.60	-45820.39	0.00	-37629.00
1.70	-50594.72	0.00	-34041.57
1.80	-54962.80	0.00	-30319.78
1.90	-58880.97	0.00	-26478.34
2.00	-62309.70	0.00	-22532.40
2.10	-65214.14	0.00	-18497.53
2.20	-67564.56	0.00	-14389.67
2.30	-69336.79	0.00	-10225.01
2.40	-70512.52	0.00	-6020.00
2.50	-71079.59	0.00	-1791.23
2.60	-71143.60	0.00	2444.60
2.70	-71200.70	0.00	6670.79
2.80	-71306.28	0.00	10870.65
2.90	-71451.80	0.00	15027.61
3.00	-71624.80	0.00	19125.27
3.10	-71809.17	0.00	23147.44
3.20	-71985.44	0.00	27078.27
3.30	-72131.13	0.00	30902.22
3.40	-72221.22	0.00	34604.22
3.50	-72228.60	0.00	38169.66
3.60	-72124.63	0.00	41584.45
3.70	-71879.68	0.00	44835.13
3.80	-71463.75	0.00	47908.87
3.90	-70847.03	0.00	50793.53
4.00	-70000.56	0.00	53477.73
4.10	-68896.80	0.00	55950.88
4.20	-67510.27	0.00	58203.22
4.30	-65818.09	0.00	60225.86
4.40	-63800.51	0.00	62010.81
4.50	-61441.44	0.00	63551.04
4.60	-58728.85	0.00	64840.45
4.70	-55655.20	0.00	65873.98
4.80	-52217.71	0.00	66647.52
4.90	-48418.64	0.00	67158.04
5.00	-44265.47	0.00	67403.52
5.10	-39770.92	0.00	67382.99
5.20	-34953.05	0.00	67096.53
5.30	-29835.12	0.00	66545.26
5.40	-24445.45	0.00	65731.38
5.50	-18817.18	0.00	64658.08
5.60	-12987.97	0.00	63329.61
5.70	-6999.56	0.00	61751.20
5.80	-897.37	0.00	59929.09
5.90	5270.07	0.00	57870.47
6.00	11451.68	0.00	55583.46
6.10	17594.44	0.00	53077.08
6.20	23644.07	0.00	50361.24
6.30	29545.72	0.00	47446.64
6.40	35244.66	0.00	44344.79
6.50	40687.00	0.00	41067.94
