Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	51554.49	0.00	-230684.64
0.10	35522.15	0.00	-230229.44
0.20	19148.96	0.00	-228865.63
0.30	2506.72	0.00	-226598.58
0.40	-14327.08	0.00	-223437.26
0.50	-31269.69	0.00	-219394.13
0.60	-48233.74	0.00	-214485.16
0.70	-65127.89	0.00	-208729.71
0.80	-81857.57	0.00	-202150.49
0.90	-98325.77	0.00	-194773.49
1.00	-114433.96	0.00	-186627.80
1.10	-130083.00	0.00	-177745.57
1.20	-145174.03	0.00	-168161.87
1.30	-159609.54	0.00	-157914.51
1.40	-173294.27	0.00	-147043.93
1.50	-186136.25	0.00	-135593.03
1.60	-198047.72	0.00	-123607.01
1.70	-208946.07	0.00	-111133.17
1.80	-218754.77	0.00	-98220.74
1.90	-227404.12	0.00	-84920.68
2.00	-234832.11	0.00	-71285.48
2.10	-240985.00	0.00	-57368.94
2.20	-245818.02	0.00	-43225.99
2.30	-249295.78	0.00	-28912.45
2.40	-251392.74	0.00	-14484.81
2.50	-252093.45	0.00	-0.00
2.60	-251799.27	0.00	14484.81
2.70	-250915.46	0.00	28912.45
2.80	-249438.35	0.00	43225.99
2.90	-247361.95	0.00	57368.94
3.00	-244678.14	0.00	71285.48
3.10	-241377.01	0.00	84920.68
3.20	-237447.19	0.00	98220.74
3.30	-232876.28	0.00	111133.17
3.40	-227651.37	0.00	123607.01
3.50	-221759.53	0.00	135593.03
3.60	-215188.41	0.00	147043.93
3.70	-207926.90	0.00	157914.51
3.80	-199965.65	0.00	168161.87
3.90	-191297.83	0.00	177745.57
4.00	-181919.66	0.00	186627.80
4.10	-171831.09	0.00	194773.49
4.20	-161036.33	0.00	202150.49
4.30	-149544.45	0.00	208729.71
4.40	-137369.84	0.00	214485.16
4.50	-124532.63	0.00	219394.13
4.60	-111059.11	0.00	223437.26
4.70	-96981.92	0.00	226598.58
4.80	-82340.34	0.00	228865.63
4.90	-67180.30	0.00	230229.44
5.00	-51554.49	0.00	230684.64
5.10	-35522.15	0.00	230229.44
5.20	-19148.96	0.00	228865.63
5.30	-2506.72	0.00	226598.58
5.40	14327.08	0.00	223437.26
