Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	5473.00	0.00	-7576.05
0.10	4457.03	0.00	-7585.96
0.20	3405.24	0.00	-7565.94
0.30	2322.05	0.00	-7516.05
0.40	1212.48	0.00	-7436.50
0.50	82.02	0.00	-7327.61
0.60	-1063.34	0.00	-7189.79
0.70	-2217.16	0.00	-7023.60
0.80	-3372.65	0.00	-6829.69
0.90	-4522.70	0.00	-6608.83
1.00	-5659.93	0.00	-6361.88
1.10	-6776.82	0.00	-6089.83
1.20	-7865.73	0.00	-5793.75
1.30	-8919.01	0.00	-5474.79
1.40	-9929.10	0.00	-5134.24
1.50	-10888.56	0.00	-4773.42
1.60	-11790.21	0.00	-4393.76
1.70	-12627.18	0.00	-3996.76
1.80	-13393.00	0.00	-3583.99
1.90	-14081.66	0.00	-3157.07
2.00	-14687.71	0.00	-2717.69
2.10	-15206.31	0.00	-2267.59
2.20	-15633.26	0.00	-1808.54
2.30	-15965.11	0.00	-1342.35
2.40	-16199.15	0.00	-870.87
2.50	-16333.46	0.00	-395.94
2.60	-16367.98	0.00	80.54
2.70	-16349.19	0.00	556.71
2.80	-16302.10	0.00	1030.68
2.90	-16226.19	0.00	1500.58
3.00	-16120.61	0.00	1964.56
3.10	-15984.26	0.00	2420.79
3.20	-15815.77	0.00	2867.47
3.30	-15613.55	0.00	3302.82
3.40	-15375.86	0.00	3725.15
3.50	-15100.80	0.00	4132.77
3.60	-14786.42	0.00	4524.08
3.70	-14430.72	0.00	4897.53
3.80	-14031.77	0.00	5251.66
3.90	-13587.73	0.00	5585.06
4.00	-13096.89	0.00	5896.42
4.10	-12557.81	0.00	6184.51
4.20	-11969.29	0.00	6448.20
4.30	-11330.50	0.00	6686.43
4.40	-10640.97	0.00	6898.28
4.50	-9900.68	0.00	7082.90
4.60	-9110.11	0.00	7239.57
4.70	-8270.23	0.00	7367.67
4.80	-7382.59	0.00	7466.69
4.90	-6449.28	0.00	7536.24
5.00	-5473.00	0.00	7576.05
5.10	-4457.03	0.00	7585.96
5.20	-3405.24	0.00	7565.94
5.30	-2322.05	0.00	7516.05
5.40	-1212.48	0.00	7436.50
5.50	-82.02	0.00	7327.61
5.60	1063.34	0.00	7189.79
5.70	2217.16	0.00	7023.60
5.80	3372.65	0.00	6829.69
5.90	4522.70	0.00	6608.83
6.00	5659.93	0.00	6361.88
6.10	6776.82	0.00	6089.83
6.20	7865.73	0.00	5793.75
6.30	8919.01	0.00	5474.79
6.40	9929.10	0.00	5134.24
6.50	10888.56	0.00	4773.42
6.60	11790.21	0.00	4393.76
6.70	12627.18	0.00	3996.76
6.80	13393.00	0.00	3583.99
6.90	14081.66	0.00	3157.07
7.00	14687.71	0.00	2717.69
7.10	15206.31	0.00	2267.59
7.20	15633.26	0.00	1808.54
7.30	15965.11	0.00	1342.35
7.40	16199.15	0.00	870.87
7.50	16333.46	0.00	395.94
7.60	16367.98	0.00	-80.54
7.70	16349.19	0.00	-556.71
7.80	16302.10	0.00	-1030.68
7.90	16226.19	0.00	-1500.58
8.00	16120.61	0.00	-1964.56
8.10	15984.26	0.00	-2420.79
8.20	15815.77	0.00	-2867.47
8.30	15613.55	0.00	-3302.82
8.40	15375.86	0.00	-3725.15
8.50	15100.80	0.00	-4132.77
8.60	14786.42	0.00	-4524.08
8.70	14430.72	0.00	-4897.53
8.80	14031.77	0.00	-5251.66
8.90	13587.73	0.00	-5585.06
9.00	13096.89	0.00	-5896.42
9.10	12557.81	0.00	-6184.51
9.20	11969.29	0.00	-6448.20
9.30	11330.50	0.00	-6686.43
9.40	10640.97	0.00	-6898.28
9.50	9900.68	0.00	-7082.90
9.60	9110.11	0.00	-7239.57
9.70	8270.23	0.00	-7367.67
9.80	7382.59	0.00	-7466.69
9.90	6449.28	0.00	-7536.24
10.00	5473.00	0.00	-7576.05
10.10	4457.03	0.00	-7585.96
10.20	3405.24	0.00	-7565.94
10.30	2322.05	0.00	-7516.05
10.40	1212.48	0.00	-7436.50
10.50	82.02	0.00	-7327.61
10.60	-1063.34	0.00	-7189.79
10.70	-2217.16	0.00	-7023.60
10.80	-3372.65	0.00	-6829.69
10.90	-4522.70	0.00	-6608.83
11.00	-5659.93	0.00	-6361.88
11.10	-6776.82	0.00	-6089.83
11.20	-7865.73	0.00	-5793.75
11.30	-8919.01	0.00	-5474.79
11.40	-9929.10	0.00	-5134.24
11.50	-10888.56	0.00	-4773.42
11.60	-11790.21	0.00	-4393.76
11.70	-12627.18	0.00	-3996.76
11.80	-13393.00	0.00	-3583.99
11.90	-14081.66	0.00	-3157.07
12.00	-14687.71	0.00	-2717.69
12.10	-15206.31	0.00	-2267.59
12.20	-15633.26	0.00	-1808.54
12.30	-15965.11	0.00	-1342.35
12.40	-16199.15	0.00	-870.87
12.50	-16333.46	0.00	-395.94
12.60	-16367.98	0.00	80.54
12.70	-16349.19	0.00	556.71
12.80	-16302.10	0.00	1030.68
12.90	-16226.19	0.00	1500.58
13.00	-16120.61	0.00	1964.56
13.10	-15984.26	0.00	2420.79
13.20	-15815.77	0.00	2867.47
13.30	-15613.55	0.00	3302.82
13.40	-15375.86	0.00	3725.15
13.50	-15100.80	0.00	4132.77
13.60	-14786.42	0.00	4524.08
13.70	-14430.72	0.00	4897.53
13.80	-14031.77	0.00	5251.66
13.90	-13587.73	0.00	5585.06
14.00	-13096.89	0.00	5896.42
14.10	-12557.81	0.00	6184.51
14.20	-11969.29	0.00	6448.20
14.30	-11330.50	0.00	6686.43
14.40	-10640.97	0.00	6898.28
14.50	-9900.68	0.00	7082.90
14.60	-9110.11	0.00	7239.57
14.70	-8270.23	0.00	7367.67
14.80	-7382.59	0.00	7466.69
14.90	-6449.28	0.00	7536.24
15.00	-5473.00	0.00	7576.05
15.10	-4457.03	0.00	7585.96
15.20	-3405.24	0.00	7565.94
15.30	-2322.05	0.00	7516.05
15.40	-1212.48	0.00	7436.50
15.50	-82.02	0.00	7327.61
15.60	1063.34	0.00	7189.79
15.70	2217.16	0.00	7023.60
15.80	3372.65	0.00	6829.69
15.90	4522.70	0.00	6608.83
16.00	5659.93	0.00	6361.88
16.10	6776.82	0.00	6089.83
16.20	7865.73	0.00	5793.75
16.30	8919.01	0.00	5474.79
16.40	9929.10	0.00	5134.24
16.50	10888.56	0.00	4773.42
16.60	11790.21	0.00	4393.76
16.70	12627.18	0.00	3996.76
16.80	13393.00	0.00	3583.99
16.90	14081.66	0.00	3157.07
17.00	14687.71	0.00	2717.69
17.10	15206.31	0.00	2267.59
17.20	15633.26	0.00	1808.54
17.30	15965.11	0.00	1342.35
17.40	16199.15	0.00	870.87
17.50	16333.46	0.00	395.94
17.60	16367.98	0.00	-80.54
17.70	16349.19	0.00	-556.71
17.80	16302.10	0.00	-1030.68
17.90	16226.19	0.00	-1500.58
18.00	16120.61	0.00	-1964.56
18.10	15984.26	0.00	-2420.79
18.20	15815.77	0.00	-2867.47
18.30	15613.55	0.00	-3302.82
18.40	15375.86	0.00	-3725.15
18.50	15100.80	0.00	-4132.77
18.60	14786.42	0.00	-4524.08
18.70	14430.72	0.00	-4897.53
18.80	14031.77	0.00	-5251.66
18.90	13587.73	0.00	-5585.06
19.00	13096.89	0.00	-5896.42
19.10	12557.81	0.00	-6184.51
19.20	11969.29	0.00	-6448.20
19.30	11330.50	0.00	-6686.43
19.40	10640.97	0.00	-6898.28
19.50	9900.68	0.00	-7082.90
19.60	9110.11	0.00	-7239.57
19.70	8270.23	0.00	-7367.67
19.80	7382.59	0.00	-7466.69
19.90	6449.28	0.00	-7536.24
20.00	5473.00	0.00	-7576.05
20.10	4457.03	0.00	-7585.96
20.20	3405.24	0.00	-7565.94
20.30	2322.05	0.00	-7516.05
20.40	1212.48	0.00	-7436.50
20.50	82.02	0.00	-7327.61
20.60	-1063.34	0.00	-7189.79
20.70	-2217.16	0.00	-7023.60
20.80	-3372.65	0.00	-6829.69
20.90	-4522.70	0.00	-6608.83
21.00	-5659.93	0.00	-6361.88
21.10	-6776.82	0.00	-6089.83
21.20	-7865.73	0.00	-5793.75
21.30	-8919.01	0.00	-5474.79
21.40	-9929.10	0.00	-5134.24
21.50	-10888.56	0.00	-4773.42
21.60	-11790.21	0.00	-4393.76
21.70	-12627.18	0.00	-3996.76
21.80	-13393.00	0.00	-3583.99
21.90	-14081.66	0.00	-3157.07
22.00	-14687.71	0.00	-2717.69
22.10	-15206.31	0.00	-2267.59
22.20	-15633.26	0.00	-1808.54
22.30	-15965.11	0.00	-1342.35
22.40	-16199.15	0.00	-870.87
22.50	-16333.46	0.00	-395.94
22.60	-16367.98	0.00	80.54
22.70	-16349.19	0.00	556.71
22.80	-16302.10	0.00	1030.68
22.90	-16226.19	0.00	1500.58
23.00	-16120.61	0.00	1964.56
23.10	-15984.26	0.00	2420.79
23.20	-15815.77	0.00	2867.47
23.30	-15613.55	0.00	3302.82
23.40	-15375.86	0.00	3725.15
23.50	-15100.80	0.00	4132.77
23.60	-14786.42	0.00	4524.08
