Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-21043.42	0.00	-10641.16
0.10	-22765.79	0.00	-9861.86
0.20	-24373.99	0.00	-9043.64
0.30	-25856.71	0.00	-8189.73
0.40	-27203.34	0.00	-7303.49
0.50	-28404.15	0.00	-6388.44
0.60	-29450.38	0.00	-5448.17
0.70	-30334.31	0.00	-4486.40
0.80	-31049.36	0.00	-3506.92
0.90	-31590.21	0.00	-2513.60
1.00	-31952.78	0.00	-1510.37
1.10	-32134.36	0.00	-501.17
1.20	-32147.72	0.00	510.01
1.30	-32076.09	0.00	1519.17
1.40	-31932.75	0.00	2522.33
1.50	-31716.98	0.00	3515.55
1.60	-31427.69	0.00	4494.88
1.70	-31063.49	0.00	5456.48
1.80	-30622.75	0.00	6396.55
1.90	-30103.61	0.00	7311.37
2.00	-29504.08	0.00	8197.33
2.10	-28822.12	0.00	9050.95
2.20	-28055.66	0.00	9868.84
2.30	-27202.75	0.00	10647.79
2.40	-26261.61	0.00	11384.71
2.50	-25230.73	0.00	12076.71
2.60	-24108.94	0.00	12721.04
2.70	-22895.54	0.00	13315.17
2.80	-21590.32	0.00	13856.75
2.90	-20193.70	0.00	14343.65
3.00	-18706.78	0.00	14773.93
3.10	-17131.37	0.00	15145.91
3.20	-15470.13	0.00	15458.12
3.30	-13726.53	0.00	15709.32
3.40	-11904.92	0.00	15898.52
3.50	-10010.58	0.00	16024.98
3.60	-8049.67	0.00	16088.19
3.70	-6029.29	0.00	16087.92
3.80	-3957.41	0.00	16024.15
3.90	-1842.87	0.00	15897.14
4.00	304.69	0.00	15707.39
4.10	2474.86	0.00	15455.65
4.20	4656.54	0.00	15142.92
4.30	6838.05	0.00	14770.42
4.40	9007.18	0.00	14339.63
4.50	11151.35	0.00	13852.25
4.60	13257.65	0.00	13310.20
4.70	15313.05	0.00	12715.62
4.80	17304.44	0.00	12070.86
4.90	19218.83	0.00	11378.46
5.00	21043.42	0.00	10641.16
5.10	22765.79	0.00	9861.86
5.20	24373.99	0.00	9043.64
5.30	25856.71	0.00	8189.73
5.40	27203.34	0.00	7303.49
5.50	28404.15	0.00	6388.44
5.60	29450.38	0.00	5448.17
5.70	30334.31	0.00	4486.40
5.80	31049.36	0.00	3506.92
5.90	31590.21	0.00	2513.60
6.00	31952.78	0.00	1510.37
6.10	32134.36	0.00	501.17
6.20	32147.72	0.00	-510.01
6.30	32076.09	0.00	-1519.17
