Time(s)	Fx(N)	Fy(N)	Fz(N)
0.00	-2615.55	0.00	-7036.05
0.10	-3382.31	0.00	-6801.22
0.20	-4128.50	0.00	-6539.50
0.30	-4850.69	0.00	-6251.31
0.40	-5545.43	0.00	-5937.23
0.50	-6209.32	0.00	-5598.04
0.60	-6838.98	0.00	-5234.69
0.70	-7431.13	0.00	-4848.33
0.80	-7982.63	0.00	-4440.29
0.90	-8490.45	0.00	-4012.11
1.00	-8951.77	0.00	-3565.52
1.10	-9363.99	0.00	-3102.43
1.20	-9724.77	0.00	-2624.93
1.30	-10032.01	0.00	-2135.27
1.40	-10283.96	0.00	-1635.85
1.50	-10479.18	0.00	-1129.18
1.60	-10616.58	0.00	-617.91
1.70	-10695.44	0.00	-104.76
1.80	-10715.43	0.00	407.51
1.90	-10676.60	0.00	916.06
2.00	-10579.39	0.00	1418.08
2.10	-10424.65	0.00	1910.77
2.20	-10215.70	0.00	2391.36
2.30	-9955.93	0.00	2857.16
2.40	-9646.96	0.00	3305.58
2.50	-9290.68	0.00	3734.16
2.60	-8889.25	0.00	4140.58
2.70	-8445.09	0.00	4522.67
2.80	-7960.83	0.00	4878.47
2.90	-7439.33	0.00	5206.21
3.00	-6883.63	0.00	5504.33
3.10	-6296.94	0.00	5771.51
3.20	-5682.62	0.00	6006.65
3.30	-5044.14	0.00	6208.90
3.40	-4385.08	0.00	6377.64
3.50	-3709.07	0.00	6512.48
3.60	-3019.79	0.00	6613.28
3.70	-2320.95	0.00	6680.12
3.80	-1616.23	0.00	6713.29
3.90	-909.29	0.00	6713.27
4.00	-203.73	0.00	6680.76
4.10	496.91	0.00	6616.59
4.20	1189.20	0.00	6521.79
4.30	1869.84	0.00	6397.48
4.40	2535.64	0.00	6244.92
4.50	3183.54	0.00	6065.47
4.60	3810.66	0.00	5860.54
4.70	4414.28	0.00	5631.62
4.80	4991.85	0.00	5380.22
4.90	5540.97	0.00	5107.90
5.00	6059.46	0.00	4816.20
5.10	6545.29	0.00	4506.65
5.20	6996.61	0.00	4180.77
5.30	7411.74	0.00	3840.04
5.40	7789.19	0.00	3485.92
5.50	8127.62	0.00	3119.81
5.60	8425.85	0.00	2743.05
5.70	8682.86	0.00	2356.95
5.80	8897.76	0.00	1962.77
5.90	9069.83	0.00	1561.72
6.00	9198.45	0.00	1154.96
6.10	9283.68	0.00	743.64
6.20	9327.63	0.00	328.85
6.30	9330.44	0.00	-88.31
6.40	9291.99	0.00	-506.76
6.50	9212.19	0.00	-925.43
6.60	9091.03	0.00	-1343.20
6.70	8928.57	0.00	-1758.98
6.80	8724.91	0.00	-2171.62
6.90	8480.26	0.00	-2579.93
7.00	8194.88	0.00	-2982.68
7.10	7869.16	0.00	-3378.59
7.20	7503.56	0.00	-3766.33
7.30	7098.68	0.00	-4144.50
7.40	6655.27	0.00	-4511.65
7.50	6174.19	0.00	-4866.25
7.60	5656.48	0.00	-5206.75
7.70	5103.35	0.00	-5531.53
7.80	4516.21	0.00	-5838.95
7.90	3896.66	0.00	-6127.31
8.00	3246.50	0.00	-6394.93
8.10	2567.76	0.00	-6640.09
8.20	1862.69	0.00	-6861.11
8.30	1133.79	0.00	-7056.33
8.40	383.75	0.00	-7224.13
8.50	-384.49	0.00	-7362.97
8.60	-1167.76	0.00	-7471.36
8.70	-1962.67	0.00	-7547.95
8.80	-2765.66	0.00	-7591.48
8.90	-3572.94	0.00	-7600.84
9.00	-4380.56	0.00	-7575.09
9.10	-5184.44	0.00	-7513.42
9.20	-5980.34	0.00	-7415.24
9.30	-6763.94	0.00	-7280.14
9.40	-7530.85	0.00	-7107.92
9.50	-8276.61	0.00	-6898.58
9.60	-8996.80	0.00	-6652.36
9.70	-9686.98	0.00	-6369.71
9.80	-10342.79	0.00	-6051.31
9.90	-10959.99	0.00	-5698.06
10.00	-11534.43	0.00	-5311.08
10.10	-12062.15	0.00	-4891.69
10.20	-12539.39	0.00	-4441.45
10.30	-12962.62	0.00	-3962.06
10.40	-13328.56	0.00	-3455.46
10.50	-13635.47	0.00	-2923.71
10.60	-13886.07	0.00	-2369.04
10.70	-14078.97	0.00	-1793.83
10.80	-14212.42	0.00	-1200.58
10.90	-14284.90	0.00	-591.86
11.00	-14295.15	0.00	29.63
11.10	-14242.12	0.00	661.14
11.20	-14125.03	0.00	1299.88
11.30	-13943.34	0.00	1942.99
11.40	-13696.73	0.00	2587.63
11.50	-13385.17	0.00	3230.90
11.60	-13008.83	0.00	3869.96
11.70	-12568.16	0.00	4501.95
11.80	-12063.83	0.00	5124.06
11.90	-11496.78	0.00	5733.49
12.00	-10868.16	0.00	6327.51
12.10	-10179.40	0.00	6903.43
12.20	-9432.15	0.00	7458.60
12.30	-8628.32	0.00	7990.45
12.40	-7770.06	0.00	8496.47
12.50	-6859.77	0.00	8974.19
12.60	-5900.09	0.00	9421.24
12.70	-4893.95	0.00	9835.29
12.80	-3844.49	0.00	10214.09
12.90	-2755.15	0.00	10555.45
13.00	-1629.60	0.00	10857.27
13.10	-471.80	0.00	11117.51
13.20	714.04	0.00	11334.22
13.30	1923.44	0.00	11505.51
13.40	3151.66	0.00	11629.61
13.50	4393.69	0.00	11704.84
13.60	5644.27	0.00	11729.62
13.70	6897.89	0.00	11702.49
13.80	8148.80	0.00	11622.13
13.90	9391.01	0.00	11487.37
14.00	10618.35	0.00	11297.18
14.10	11824.43	0.00	11050.74
14.20	13002.71	0.00	10747.42
14.30	14146.51	0.00	10386.79
14.40	15249.05	0.00	9968.70
14.50	16303.49	0.00	9493.23
14.60	17302.94	0.00	8960.75
14.70	18240.55	0.00	8371.94
14.80	19109.54	0.00	7727.80
14.90	19903.23	0.00	7029.68
15.00	20615.14	0.00	6279.28
15.10	21239.01	0.00	5478.69
15.20	21768.90	0.00	4630.36
15.30	22201.02	0.00	3737.17
15.40	22544.52	0.00	2802.39
15.50	22798.33	0.00	1829.70
15.60	22958.74	0.00	823.17
15.70	23022.26	0.00	-212.72
15.80	22985.69	0.00	-1273.09
15.90	22846.13	0.00	-2352.72
16.00	22601.04	0.00	-3446.00
16.10	22248.24	0.00	-4547.04
16.20	21786.03	0.00	-5649.61
16.30	21213.16	0.00	-6747.25
16.40	20528.93	0.00	-7833.28
16.50	19733.18	0.00	-8900.84
16.60	18826.40	0.00	-9942.95
16.70	17809.73	0.00	-10952.54
16.80	16685.00	0.00	-11922.56
16.90	15454.80	0.00	-12845.97
17.00	14122.47	0.00	-13715.86
17.10	12692.15	0.00	-14525.46
17.20	11168.81	0.00	-15268.24
17.30	9558.25	0.00	-15937.99
17.40	7867.10	0.00	-16528.81
17.50	6102.83	0.00	-17035.26
17.60	4273.72	0.00	-17452.33
17.70	2388.85	0.00	-17775.59
17.80	458.05	0.00	-18001.17
17.90	-1508.13	0.00	-18125.83
18.00	-3498.50	0.00	-18147.01
18.10	-5501.30	0.00	-18062.88
18.20	-7504.26	0.00	-17872.33
18.30	-9494.72	0.00	-17575.04
18.40	-11459.69	0.00	-17171.48
18.50	-13386.04	0.00	-16662.90
18.60	-15260.54	0.00	-16051.38
18.70	-17070.02	0.00	-15339.76
18.80	-18801.52	0.00	-14531.70
18.90	-20442.37	0.00	-13631.60
19.00	-21980.38	0.00	-12644.60
19.10	-23403.93	0.00	-11576.55
19.20	-24702.13	0.00	-10433.95
19.30	-25864.94	0.00	-9223.88
19.40	-26883.24	0.00	-7954.02
19.50	-27749.00	0.00	-6632.50
19.60	-28455.36	0.00	-5267.87
19.70	-28996.66	0.00	-3869.06
19.80	-29368.58	0.00	-2445.25
19.90	-29568.15	0.00	-1005.83
20.00	-29600.07	0.00	439.70
20.10	-29488.84	0.00	1881.80
20.20	-29237.59	0.00	3310.97
20.30	-28847.64	0.00	4717.83
20.40	-28320.98	0.00	6093.21
20.50	-27660.32	0.00	7428.21
20.60	-26869.03	0.00	8714.28
20.70	-25951.16	0.00	9943.30
20.80	-24911.43	0.00	11107.62
20.90	-23755.20	0.00	12200.15
21.00	-22488.47	0.00	13214.38
21.10	-21117.85	0.00	14144.45
21.20	-19650.54	0.00	14985.20
21.30	-18094.31	0.00	15732.16
21.40	-16457.44	0.00	16381.63
21.50	-14748.70	0.00	16930.65
21.60	-12977.31	0.00	17377.05
21.70	-11152.87	0.00	17719.42
21.80	-9285.33	0.00	17957.15
21.90	-7384.88	0.00	18090.35
22.00	-5461.97	0.00	18119.92
22.10	-3527.16	0.00	18047.45
22.20	-1591.08	0.00	17875.22
22.30	335.65	0.00	17606.19
22.40	2242.47	0.00	17243.89
22.50	4119.02	0.00	16792.46
22.60	5955.15	0.00	16256.53
22.70	7741.04	0.00	15641.21
22.80	9467.26	0.00	14952.01
22.90	11124.85	0.00	14194.80
23.00	12705.38	0.00	13375.75
23.10	14201.00	0.00	12501.27
23.20	15604.52	0.00	11577.95
23.30	16909.45	0.00	10612.50
23.40	18110.03	0.00	9611.69
23.50	19201.28	0.00	8582.33
23.60	20179.02	0.00	7531.15
23.70	21039.89	0.00	6464.85
23.80	21781.35	0.00	5389.94
23.90	22401.71	0.00	4312.79
24.00	22900.06	0.00	3239.54
24.10	23276.35	0.00	2176.10
24.20	23531.26	0.00	1128.08
24.30	23666.26	0.00	100.79
24.40	23683.53	0.00	-900.78
24.50	23585.93	0.00	-1872.00
24.60	23376.95	0.00	-2808.59
24.70	23060.65	0.00	-3706.66
24.80	22649.03	0.00	-4562.68
24.90	22158.85	0.00	-5373.51
25.00	21594.43	0.00	-6136.40
25.10	20959.99	0.00	-6848.98
25.20	20259.84	0.00	-7509.26
25.30	19498.42	0.00	-8115.59
25.40	18680.18	0.00	-8666.71
25.50	17809.68	0.00	-9161.70
25.60	16891.50	0.00	-9599.97
25.70	15930.25	0.00	-9981.25
25.80	14930.57	0.00	-10305.56
25.90	13897.13	0.00	-10573.23
26.00	12834.56	0.00	-10784.84
26.10	11747.54	0.00	-10941.25
26.20	10640.68	0.00	-11043.53
26.30	9518.61	0.00	-11092.98
26.40	8385.89	0.00	-11091.10
26.50	7247.05	0.00	-11039.59
26.60	6106.56	0.00	-10940.31
26.70	4968.83	0.00	-10795.27
26.80	3838.17	0.00	-10606.64
26.90	2718.80	0.00	-10376.69
27.00	1614.83	0.00	-10107.82
27.10	530.27	0.00	-9802.54
27.20	-531.04	0.00	-9463.42
27.30	-1565.39	0.00	-9093.12
27.40	-2569.24	0.00	-8694.37
27.50	-3539.23	0.00	-8269.94
27.60	-4472.19	0.00	-7822.65
27.70	-5365.18	0.00	-7355.34
27.80	-6215.47	0.00	-6870.89
27.90	-7020.55	0.00	-6372.18
28.00	-7778.19	0.00	-5862.09
28.10	-8486.40	0.00	-5343.49
28.20	-9143.46	0.00	-4819.23
28.30	-9747.96	0.00	-4292.13
28.40	-10298.73	0.00	-3764.98
28.50	-10794.94	0.00	-3240.52
28.60	-11236.02	0.00	-2721.40
28.70	-11621.73	0.00	-2210.23
28.80	-11952.12	0.00	-1709.53
28.90	-12227.52	0.00	-1221.73
29.00	-12448.59	0.00	-749.13
29.10	-12616.27	0.00	-293.94
29.20	-12731.76	0.00	141.76
29.30	-12796.56	0.00	556.05
29.40	-12812.42	0.00	947.13
29.50	-12781.33	0.00	1313.39
29.60	-12705.53	0.00	1653.37
29.70	-12587.44	0.00	1965.82
29.80	-12429.71	0.00	2249.65
29.90	-12235.13	0.00	2504.01
30.00	-12006.65	0.00	2728.22
30.10	-11747.36	0.00	2921.85
30.20	-11460.42	0.00	3084.68
30.30	-11151.48	0.00	3216.74
30.40	-10826.05	0.00	3318.28
30.50	-10487.01	0.00	3389.78
30.60	-10137.22	0.00	3431.98
30.70	-9779.49	0.00	3445.86
30.80	-9416.57	0.00	3432.62
30.90	-9051.13	0.00	3393.71
31.00	-8685.71	0.00	3330.79
31.10	-8322.76	0.00	3245.76
31.20	-7964.53	0.00	3140.72
31.30	-7613.14	0.00	3017.96
31.40	-7270.48	0.00	2879.95
31.50	-6938.24	0.00	2729.33
31.60	-6617.88	0.00	2568.88
31.70	-6310.60	0.00	2401.50
31.80	-6017.33	0.00	2230.20
31.90	-5738.72	0.00	2058.04
32.00	-5475.12	0.00	1888.14
32.10	-5226.59	0.00	1723.64
